object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
23,1,3,-6.30858,-0.473252,0.0997504,-1,2.22045e-16,0,2.22045e-16,1,0,1.99382,1.0688,0.115647,a
24,1,1,-7.88933,0.396992,1.12326,0,0,1,1,0,0,1.12014,0.415869,0.159198,a
25,1,20,-6.34468,-0.88458,1.00749,0,0,1,1,0,0,0.193647,0.142313,0.0610025,a
26,1,45,-7.46994,-1.91884,1.1393,0,0,1,0,1,-0,1.09996,0.971402,0.698596,a
27,1,20,-5.23814,-1.01072,0.301346,-0.92388,-0.382683,0,-0.382683,0.92388,0,0.162751,0.118405,0.106915,a
28,1,21,-5.11158,-1.26111,0.540966,1,0,0,-0,0,1,0.766943,0.522925,0.301834,a
29,1,0,-6.28502,-1.06648,1.15027,1,0,0,0,1,0,2.02074,1.72104,1.14435,a
30,1,39,-6.25138,-0.606215,1.1302,1,0,0,0,1,0,1.92081,1.16217,1.11015,a
31,1,41,-6.24197,0.328448,0.791637,1,0,0,0,1,0,0.547728,0.215084,0.193557,a
32,1,19,-5.12834,-1.50688,1.57184,0,0,1,1,0,0,0.549153,0.48578,0.0688209,a
33,1,19,-6.36272,0.532729,1.40373,1,0,0,-0,0,1,0.534787,0.502664,0.118784,a
34,1,657,-8.02624,-0.637746,0.829816,0,0,1,2.22045e-16,1,-0,0.676992,0.29527,0.112002,a
35,1,2,-6.27911,-1.08386,2.1538,1,0,0,0,1,0,1.96651,1.69036,0.101368,a
36,1,1544,-6.1586,0.455514,1.15315,0,0,1,-0.92388,0.382683,0,0.23586,0.159031,0.139726,a
37,1,20,-6.52214,-0.873028,1.00457,0,0,1,1,0,0,0.197438,0.0897419,0.0758385,a
38,1,19,-8.14282,-2.45954,1.20601,0,0,1,2.22045e-16,1,-0,1.02117,0.319693,0.0423112,a
39,1,107,-4.63514,-1.14331,0.192412,1,0,0,0,1,0,0.279514,0.17952,0.173952,a
40,1,107,-5.09848,-1.14052,0.199353,-1,2.22045e-16,0,2.22045e-16,1,0,0.322111,0.228457,0.182874,a
41,1,32,-6.20754,0.320502,0.30116,1,0,0,0,1,0,0.259885,0.227518,0.217547,a
42,1,20,-6.15957,-0.899453,0.997701,0,0,1,1,0,0,0.211276,0.157426,0.0496685,a
43,1,11,-5.81431,-1.31515,1.25902,0,0,1,0,1,-0,0.191172,0.134135,0.0764794,a
44,1,20,-5.07013,-0.99312,0.307974,1,0,0,-0,0,1,0.111795,0.0715152,0.0661107,a
45,1,81,-5.80124,0.474887,0.997148,0,0,1,0,1,-0,0.080892,0.0667849,0.0645595,a
46,1,81,-5.36155,-1.44561,0.967391,0,0,1,0,1,-0,0.116156,0.0830521,0.0407848,a
47,1,20,-5.55976,-1.31517,0.942865,2.22045e-16,1,0,-0,0,1,0.137552,0.0595535,0.0590084,a
48,1,375,-4.55448,-1.47119,0.975724,0,0,1,-1,2.22045e-16,0,0.091539,0.0800965,0.0796235,a
49,1,20,-4.88857,-1.02283,0.297308,-0.707107,0.707107,0,0,0,1,0.121389,0.0822257,0.0802904,a
50,1,11,-7.5625,-2.15562,2.2213,0,1,0,1,-0,0,0.0967648,0.067728,0.00398576,a
51,1,60,-7.46171,-1.84906,0.0780964,2.22045e-16,1,0,-1,2.22045e-16,0,0.915263,0.631632,0.062751,a
52,1,78,-5.15562,-0.604533,0.0277602,1,0,0,0,1,0,0.471532,0.339668,0.0148121,a
59,1,39,-4.38042,-1.52318,0.429914,0,0,1,-0.92388,0.382683,0,0.417671,0.0482211,0.0363006,a
62,1,56,-4.36833,-0.951934,0.46881,0,0,1,0,1,-0,0.0806327,0.0378057,0.0339835,a
63,1,65,-4.36262,-1.31342,0.846648,0,1,0,0,0,1,0.188618,0.0400586,0.0396621,a
