object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
0,0,0,-0.607915,-7.52309,5.73375,-1,2.22045e-16,0,0,0,1,3.08039,2.50073,2.44826,b
1,0,2,-0.774844,-7.54443,6.9454,-1,2.22045e-16,0,2.22045e-16,1,0,2.81614,2.33105,1.53944,b
2,0,8,1.23813,-7.55829,6.21461,-0.707107,0.707107,0,0,0,1,0.323235,0.21113,0.139358,b
3,0,5,-3.66613,-6.29151,4.32208,0,1,0,0,0,1,0.87746,0.819796,0.161194,b
4,0,5,-3.6637,-9.16101,4.35824,0,0,1,0,1,-0,0.81662,0.727473,0.16294,b
5,0,5,2.13104,-6.82404,4.24275,0,1,0,0,0,1,1.40561,0.878915,0.178982,b
6,0,37,-3.04617,-5.29812,4.44737,1,0,0,-0,0,1,0.251836,0.210826,0.0779684,b
7,0,25,-0.641677,-7.83012,3.68959,0,1,0,1,-0,0,1.10459,0.95894,0.34534,b
8,0,8,0.601723,-6.49915,6.7542,0,1,0,0,0,1,0.24199,0.209015,0.142804,b
10,0,39,-0.625814,-6.9395,5.06568,-1,2.22045e-16,0,2.22045e-16,1,0,2.96487,1.73031,1.68583,b
11,0,14,-3.1668,-7.66742,3.56423,0,1,0,1,-0,0,0.658834,0.474155,0.213418,b
12,0,9,-1.09895,-8.24377,3.88313,1,0,0,-0,0,1,0.365334,0.216646,0.149032,b
13,0,1,1.85105,-5.71949,4.46199,0,0,1,2.22045e-16,1,-0,1.10509,0.508595,0.178721,b
14,0,5,2.16953,-9.11884,4.24956,0,0,1,0,1,-0,0.884445,0.753438,0.153405,b
15,0,72,-2.35114,-5.34002,3.86234,0,0,1,-0.92388,0.382683,0,0.469404,0.322642,0.205878,b
16,0,9,-0.15864,-8.25156,3.86818,-1,2.22045e-16,0,0,0,1,0.360426,0.199308,0.156196,b
17,0,4,0.288414,-5.24015,5.04685,0,0,1,-1,2.22045e-16,0,0.293641,0.212407,0.0163074,b
18,0,8,1.72281,-6.54399,4.95561,0,1,0,0,0,1,0.259791,0.168367,0.0813673,b
19,0,44,-2.97316,-7.35096,3.7331,2.22045e-16,1,0,-1,2.22045e-16,0,0.185181,0.184246,0.0690993,b
20,0,-1,-0.326935,-7.79713,3.13023,0,1,0,1,-0,0,9.31086,4.44328,3.06446,b
21,0,13,-2.00106,-5.245,4.37594,0,0,1,1,0,0,0.96545,0.244844,0.0218024,b
22,0,44,-3.39413,-7.72657,3.72301,0,1,0,1,-0,0,0.136128,0.116373,0.0468049,b
23,0,9,-2.96051,-8.0794,3.72724,1,0,0,0,1,0,0.16443,0.149393,0.0504118,b
24,0,8,0.838648,-7.00436,6.6307,1,0,0,-0,0,1,0.14518,0.135164,0.107387,b
25,0,4,-1.4816,-5.24481,4.94354,1,0,0,-0,0,1,0.166082,0.163269,0.0204048,b
26,0,3,-0.653932,-7.52739,3.44635,1,0,0,0,1,0,2.97684,2.40386,0.110716,b
27,0,48,-3.484,-9.09201,3.47971,0,1,0,1,-0,0,0.781106,0.204683,0.115409,b
28,0,48,-3.49931,-6.18927,3.47312,0,1,0,1,-0,0,0.938891,0.195577,0.107257,b
66,0,0,-1.68037,-5.21039,4.43889,0,0,1,1,0,0,1.09092,0.671709,0.206115,b
78,0,69,0.489884,-5.27158,4.44689,0,0,1,1,0,0,1.09123,0.502954,0.0888062,b
