object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
273,8,2,6.61606,-10.787,6.14298,0,1,0,1,-0,0,2.18041,1.94065,0.103699,b
274,8,0,8.69924,-10.8216,4.81333,2.22045e-16,1,0,-0,0,1,2.10036,1.3791,0.0623245,b
275,8,4,8.69727,-9.69887,5.42244,0,0,1,2.22045e-16,1,-0,0.525022,0.388938,0.0485215,b
276,8,13,6.20434,-12.8471,4.84632,0,0,1,1,0,0,1.3415,0.402174,0.1289,b
277,8,0,6.75056,-10.7699,4.84192,0,1,0,1,-0,0,2.2139,1.83091,1.3864,b
278,8,39,6.74131,-10.9518,4.84273,0,1,0,1,-0,0,2.41677,2.05569,1.39027,b
279,8,13,7.27126,-12.8145,4.85203,0,0,1,1,0,0,1.3453,0.275118,0.149651,b
280,8,1,7.20693,-9.37838,4.741,0,0,1,-1,2.22045e-16,0,1.2469,1.00476,0.0603995,b
281,8,16,5.05369,-10.9685,4.69758,0,0,1,0.382683,0.92388,-0,0.205135,0.133413,0.0603407,b
282,8,1210,5.05602,-11.1452,4.18244,2.22045e-16,1,0,-0,0,1,0.737491,0.720275,0.243191,b
283,8,1,4.94424,-9.01958,4.76025,0,0,1,0,1,-0,1.29627,0.408376,0.0986879,b
284,8,25,7.51896,-11.1602,4.04075,-1,2.22045e-16,0,2.22045e-16,1,0,1.0318,0.810357,0.555631,b
285,8,0,5.90714,-10.8104,4.83994,0,1,0,0,0,1,2.17835,1.37355,1.13618,b
286,8,18,8.40028,-10.1622,4.63559,1,0,0,-0,0,1,0.155873,0.153527,0.125695,b
287,8,15,8.22242,-9.96645,4.42086,0,0,1,-0.382683,0.92388,0,0.162618,0.124623,0.108307,b
288,8,9,8.20904,-10.8988,4.40902,0,1,0,1,-0,0,0.309011,0.236251,0.156985,b
289,8,4,8.67692,-11.6883,5.43361,0,0,1,2.22045e-16,1,-0,0.537233,0.418365,0.0280256,b
290,8,4,5.33984,-12.9089,5.00448,0,0,1,-1,2.22045e-16,0,0.39669,0.317179,0.0192976,b
291,8,4,4.8119,-11.1376,5.15012,0,1,0,0,0,1,0.682825,0.676972,0.0301495,b
292,8,18,8.34095,-12.1288,4.63807,-0.707107,-0.707107,0,0,0,1,0.141563,0.135708,0.108574,b
293,8,5,6.76869,-13.0296,5.08607,0,0,1,1,0,0,0.829086,0.364046,0.182349,b
294,8,16,5.04683,-11.6161,4.51896,-0.382683,0.92388,0,0,0,1,0.184477,0.140751,0.104647,b
296,8,16,5.04468,-11.3013,4.5646,0,1,0,0,0,1,0.0859256,0.0841076,0.0317888,b
297,8,26,8.2649,-10.1361,3.95093,0,0,1,0,1,-0,0.438724,0.368773,0.185583,b
298,8,9,8.28215,-11.4987,4.41996,0,1,0,1,-0,0,0.270216,0.257627,0.141263,b
299,8,28,5.31625,-12.4382,4.04309,-0.707107,-0.707107,0,-0.707107,0.707107,0,0.453783,0.450143,0.283255,b
300,8,418,5.40714,-12.4298,4.00786,-0.92388,-0.382683,0,-0.382683,0.92388,0,0.226138,0.187327,0.17826,b
301,8,4,4.84588,-9.90437,5.0512,2.22045e-16,1,0,-0,0,1,0.45183,0.396775,0.0223053,b
302,8,16,4.99865,-10.6015,4.62979,-0.92388,0.382683,0,0.382683,0.92388,0,0.183002,0.160092,0.158763,b
303,8,26,8.29,-12.3456,3.94673,0,0,1,2.22045e-16,1,-0,0.431481,0.388308,0.244515,b
304,8,19,4.86442,-11.3966,4.88848,0,0,1,0,1,-0,0.396135,0.323948,0.0657005,b
305,8,9,8.07615,-11.1665,4.39971,-0.707107,0.707107,0,-0.707107,-0.707107,0,0.22158,0.194178,0.126123,b
306,8,3,6.686,-10.7406,3.58304,2.22045e-16,1,0,-1,2.22045e-16,0,2.19278,1.86232,0.130583,b
307,8,16,5.01429,-10.8126,4.61884,0,0,1,-0.92388,0.382683,0,0.07447,0.062118,0.0482367,b
308,8,4,8.20015,-12.4184,4.38327,-0.382683,-0.92388,0,0,0,1,0.143385,0.123273,0.061107,b
414,8,2,5.93459,-9.97223,2.83592,1,0,0,0,1,0,3.19214,2.99761,0.157048,b
