object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
101,6,0,-0.378586,6.24585,1.0812,0.707107,0.707107,0,-0,0,1,1.94509,1.42488,0.313656,z
102,6,0,-1.17304,4.00457,1.07544,0,0,1,-0.382683,0.92388,0,1.41754,0.797517,0.0914082,z
103,6,0,2.1318,5.60058,1.08299,-0.382683,0.92388,0,0,0,1,2.56611,1.43237,0.469799,z
104,6,3,0.744185,5.50279,-0.303949,1,0,0,0,1,0,2.2765,2.25881,0.0531171,z
106,6,1,-0.589554,3.66744,0.69008,0,0,1,1,0,0,1.03154,0.416856,0.15229,z
107,6,0,1.16396,3.28287,1.08114,-1,2.22045e-16,0,0,0,1,1.99771,1.42678,0.0549812,z
108,6,8,0.292388,5.04042,1.13072,0,0,1,0.92388,0.382683,-0,1.03384,0.81868,0.184621,z
109,6,5,2.59297,5.86119,1.13061,-0.382683,0.92388,0,0,0,1,0.724006,0.652955,0.0692877,z
110,6,17,2.51644,5.82521,1.1232,-0.382683,0.92388,0,0,0,1,0.837131,0.833142,0.139155,z
111,6,38,-1.25375,3.96814,0.683209,0,0,1,-0.382683,0.92388,0,1.01844,0.444504,0.134315,z
112,6,39,1.3195,5.16633,1.19554,-0.382683,0.92388,0,0,0,1,2.6688,1.31031,0.930528,z
