object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
551,17,39,20.7108,6.88831,1.30829,0,0,1,0.382683,0.92388,-0,1.36101,1.04372,0.975683,a
552,17,0,20.4651,6.26627,1.28544,0,0,1,-1,2.22045e-16,0,1.34237,0.98437,0.0910976,a
553,17,435,20.6763,7.73187,1.62181,0,0,1,-1,2.22045e-16,0,0.555236,0.41787,0.0408134,a
554,17,0,19.3773,6.68903,1.16431,0,0,1,2.22045e-16,1,-0,1.21914,0.405653,0.0249367,a
555,17,56,20.7319,7.21351,0.398451,-1,2.22045e-16,0,0,0,1,0.644238,0.457091,0.0489266,a
556,17,20,20.151,7.3899,1.14225,0,0,1,0,1,-0,0.239112,0.145947,0.0657129,a
557,17,285,21.2656,7.66316,1.61297,0,0,1,-1,2.22045e-16,0,0.152209,0.103237,0.0864346,a
558,17,4,20.1635,6.20815,1.95782,0,0,1,-1,2.22045e-16,0,0.234385,0.209812,0.0199316,a
559,17,8,21.1635,6.38929,1.43382,0,0,1,-0.92388,0.382683,0,0.801076,0.366514,0.154681,a
560,17,1,21.0977,6.32892,1.16553,0,0,1,1,0,0,1.22342,0.417795,0.101028,a
561,17,20,20.1468,6.35953,1.18118,0,0,1,-1,2.22045e-16,0,0.363142,0.309146,0.120146,a
562,17,0,20.5103,7.4845,1.28269,0,0,1,-1,2.22045e-16,0,1.33731,1.00114,0.378926,a
563,17,3,20.4959,6.73682,-0.0237271,1,0,0,0,1,0,1.11772,0.525619,0.0403026,a
564,17,2,20.4892,6.67969,2.64587,-1,2.22045e-16,0,2.22045e-16,1,0,1.00806,0.49835,0.0632061,a
565,17,11,20.4983,6.68774,2.49202,0.382683,0.92388,0,-0,0,1,0.113404,0.108734,0.105662,a
566,17,5,19.8036,7.21191,1.26894,0,0,1,-1,2.22045e-16,0,1.33118,0.308121,0.0840545,a
567,17,0,21.4568,6.66807,1.3184,0,0,1,2.22045e-16,1,-0,1.37482,0.482926,0.114824,a
568,17,0,19.4418,6.68169,1.28039,0,0,1,2.22045e-16,1,-0,1.34017,0.492225,0.0846891,a
569,17,285,20.199,7.68661,1.66967,0,0,1,-1,2.22045e-16,0,0.201462,0.104629,0.0867984,a
570,17,646,19.7189,6.67997,0.310422,0,0,1,1,0,0,0.368438,0.364948,0.264921,a
571,17,47,20.733,7.46276,0.908241,-1,2.22045e-16,0,2.22045e-16,1,0,0.645243,0.298176,0.1167,a
572,17,17,20.8536,6.11228,1.17847,0,0,1,1,0,0,0.992237,0.26156,0.140776,a
573,17,257,20.0854,6.2789,1.55063,1,0,0,-0,0,1,0.373868,0.10623,0.0915852,a
574,17,132,21.2575,7.59796,0.972879,0,1,0,0,0,1,0.135421,0.108754,0.102665,a
575,17,81,21.0282,7.65496,0.957486,0,0,1,0,1,-0,0.0921318,0.0674007,0.0407743,a
576,17,38,21.542,6.64227,1.15052,0,0,1,2.22045e-16,1,-0,1.19797,0.361776,0.0733986,a
577,17,817,19.4565,7.0216,0.11208,0,0,1,1,0,0,0.166073,0.0823774,0.0693049,a
578,17,4,19.3928,6.66124,0.759378,2.22045e-16,1,0,-0,0,1,0.156898,0.0898938,0.0274591,a
579,17,70,20.7304,7.48736,0.775384,1,0,0,0,1,0,0.213225,0.12595,0.0813013,a
580,17,61,20.7335,7.5982,0.973359,2.22045e-16,1,0,-0,0,1,0.0981429,0.0843432,0.0246935,a
581,17,183,21.3738,7.33777,0.980056,0,1,0,0,0,1,0.105732,0.0216569,0.00450611,a
