object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
622,21,6,7.48968,-14.0349,-2.05828,0,0,1,0,1,-0,0.467119,0.317836,0.288331,z
623,21,0,8.09601,-13.5735,-1.74214,1,0,0,0,1,0,3.41348,2.0959,1.68551,z
624,21,54,7.97435,-12.1523,-2.92098,1,0,0,0,1,0,0.854249,0.393241,0.308606,z
625,21,142,10.7784,-14.6626,-2.71028,0,0,1,1,0,0,0.559089,0.280373,0.199706,z
626,21,6,8.03731,-13.4268,-2.08032,0,0,1,0,1,-0,0.419658,0.348454,0.321963,z
627,21,54,5.2452,-13.489,-2.91747,0,1,0,1,-0,0,0.759143,0.452798,0.332237,z
628,21,3,8.09677,-13.2204,-3.2191,1,0,0,0,1,0,3.41272,2.49378,0.236576,z
629,21,54,10.7031,-13.4364,-2.9601,-0.382683,0.92388,0,-0.92388,-0.382683,0,0.750596,0.533247,0.299818,z
630,21,6,8.64084,-13.8863,-2.01909,0,0,1,0,1,-0,0.402589,0.279512,0.249588,z
631,21,14,8.04533,-13.7421,-2.86163,1,0,0,0,1,0,0.92852,0.723964,0.382446,z
632,21,142,5.21334,-14.8341,-2.70391,0,0,1,-1,2.22045e-16,0,0.548917,0.220729,0.20208,z
633,21,39,8.10091,-14.4269,-1.91449,-1,2.22045e-16,0,0,0,1,3.28467,1.33243,1.14443,z
