object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
156,5,0,2.70001,-5.40751,1.72022,2.22045e-16,1,0,-1,2.22045e-16,0,1.89306,1.70044,1.68786,b
157,5,3,2.71901,-5.45865,0.328088,0,1,0,1,-0,0,1.83554,1.68144,0.318473,b
158,5,13,4.17749,-6.53118,1.15354,0,0,1,2.22045e-16,1,-0,0.940658,0.394068,0.0905907,b
159,5,25,3.09589,-5.17813,0.731538,1,0,0,0,1,0,1.0373,0.754124,0.690722,b
160,5,2,2.5874,-5.42561,3.37037,0,1,0,1,-0,0,1.8303,1.55545,0.0449389,b
161,5,9,3.8529,-5.16077,0.456515,0,1,0,0,0,1,0.769823,0.397929,0.280193,b
162,5,48,2.73938,-7.00189,0.298165,1,0,0,0,1,0,0.549137,0.273629,0.24109,b
163,5,6,1.32644,-4.52552,0.586147,0,0,1,1,0,0,0.545703,0.3023,0.24769,b
164,5,13,1.07015,-5.10724,1.47243,0,0,1,0,1,-0,1.10429,0.465219,0.0834744,b
165,5,18,2.02397,-7.07059,1.19439,0,0,1,-0.382683,-0.92388,0,0.195269,0.126245,0.109504,b
166,5,39,2.70145,-5.43534,1.69572,2.22045e-16,1,0,-1,2.22045e-16,0,1.85699,1.69658,1.66115,b
167,5,107,1.27121,-5.99014,0.46922,0,0,1,0,1,-0,0.403459,0.335665,0.267606,b
168,5,127,1.65146,-7.02865,1.09384,2.22045e-16,1,0,-1,2.22045e-16,0,0.229527,0.209388,0.10981,b
169,5,1,1.18185,-3.94596,1.06947,0,0,1,-0.382683,-0.92388,0,1.0204,0.414722,0.205764,b
170,5,1104,3.74484,-6.91713,0.595544,0,0,1,0,1,-0,0.529851,0.383294,0.381654,b
171,5,13,2.82339,-7.23733,1.52618,0,0,1,-1,2.22045e-16,0,1.05139,0.464736,0.0776198,b
172,5,18,1.24155,-7.09643,1.20315,0,0,1,0.382683,0.92388,-0,0.186289,0.161519,0.102012,b
173,5,76,1.63193,-7.00227,0.569893,1,0,0,-0,0,1,0.626297,0.511821,0.281104,b
174,5,311,3.88817,-5.23587,0.91667,0.92388,0.382683,0,-0,0,1,0.213895,0.160057,0.120364,b
175,5,4,4.10699,-5.18427,1.78365,0,0,1,0,1,-0,0.35396,0.305633,0.0246258,b
176,5,18,3.89312,-4.16277,1.04787,0,0,1,0.382683,0.92388,-0,0.209675,0.118746,0.104503,b
177,5,85,1.63543,-7.24709,1.55416,1,0,0,-0,0,1,0.272589,0.212862,0.0277457,b
178,5,26,3.87427,-4.07724,0.484524,2.22045e-16,1,0,-0,0,1,0.460708,0.456567,0.243691,b
179,5,455,1.66329,-7.00137,1.17261,-0.707107,-0.707107,0,-0.707107,0.707107,0,0.140707,0.135696,0.0990402,b
