object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
255,15,34,5.75683,-11.8759,-0.639873,1,0,0,-0,0,1,1.47923,0.620981,0.366642,B
256,15,2,5.58872,-12.5457,1.69821,1,0,0,0,1,0,1.52253,0.940114,0.101893,B
257,15,22,6.29301,-11.7369,0.70109,1,0,0,-0,0,1,0.836,0.425456,0.165579,B
258,15,0,5.6,-12.5541,0.371315,0,0,1,1,0,0,1.70174,1.56299,1.21776,B
259,15,1348,5.68651,-13.4612,0.0500828,1,0,0,-0,0,1,1.32773,0.707537,0.0778928,B
260,15,21,5.11937,-11.9335,-0.379394,-1,2.22045e-16,0,2.22045e-16,1,0,0.238136,0.154944,0.09714,B
261,15,10,4.64083,-11.7205,-0.162833,0,0,1,0.92388,0.382683,-0,0.109103,0.106536,0.0856393,B
262,15,19,4.83029,-11.6281,0.709652,0,0,1,1,0,0,0.92627,0.392774,0.0469828,B
263,15,39,5.36228,-12.5579,0.410298,0,0,1,-1,2.22045e-16,0,1.60749,1.24659,1.0709,B
264,15,47,5.61225,-11.9054,-0.285986,1,0,0,0,1,0,1.29262,0.316134,0.0805627,B
265,15,10,4.62304,-11.8103,-0.17686,0,0,1,-0.382683,0.92388,0,0.107772,0.0876192,0.0552315,B
266,15,3,5.63678,-12.55,-1.20265,1,0,0,0,1,0,1.50897,0.959706,0.0795761,B
267,15,134,5.57167,-11.6946,-0.264006,0.92388,0.382683,0,-0.382683,0.92388,0,0.217638,0.206107,0.0406771,B
268,15,61,5.10749,-11.7909,-0.128653,0,0,1,-0.707107,-0.707107,0,0.14822,0.110986,0.0538305,B
269,15,10,4.48719,-11.6894,-0.13736,2.22045e-16,1,0,-0,0,1,0.0972428,0.0848702,0.052552,B
270,15,10,4.59458,-11.7112,-0.1526,0,0,1,0.382683,0.92388,-0,0.101789,0.0745962,0.0414875,B
