object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
672,16,39,11.5889,-0.460335,-1.69253,1,0,0,0,1,0,3.2049,2.52532,1.41588,d
673,16,6,11.7144,0.0888516,-2.48695,0,0,1,0,1,-0,0.497304,0.383968,0.310774,d
674,16,6,11.7073,-1.0024,-2.48876,0,0,1,2.22045e-16,1,-0,0.494253,0.4246,0.297707,d
675,16,0,13.9518,1.73853,-1.6925,0,0,1,-1,2.22045e-16,0,1.40488,0.848786,0.331545,d
676,16,6,12.6919,-1.14142,-2.44673,0,0,1,2.22045e-16,1,-0,0.453583,0.369589,0.293722,d
677,16,6,10.9874,-0.473394,-2.4428,0,0,1,-1,2.22045e-16,0,0.455485,0.37086,0.297113,d
678,16,101,11.5173,-2.7389,-1.8402,1,0,0,-0,0,1,3.02821,1.15778,0.204524,d
680,16,6,13.3398,-0.4954,-2.36525,0,0,1,-1,2.22045e-16,0,0.373047,0.372798,0.292824,d
681,16,17,13.039,-2.69737,-1.65714,-1,2.22045e-16,0,0,0,1,1.5011,0.974314,0.23248,d
683,16,14,12.9979,-2.24583,-2.52807,1,0,0,-0,0,1,0.718868,0.483607,0.297591,d
684,16,5,14.1279,2.00228,-1.7187,0,0,1,-1,2.22045e-16,0,0.652698,0.430353,0.0229917,d
685,16,14,12.6813,-0.494188,-2.56287,0,0,1,1,0,0,0.32497,0.25804,0.22859,d
686,16,16,12.7219,-2.23261,-1.94063,0.92388,0.382683,0,-0,0,1,0.177795,0.131908,0.120958,d
687,16,104,9.89684,-2.65559,-1.83993,-1,2.22045e-16,0,0,0,1,1.39112,1.15428,0.296733,d
688,16,0,11.5678,-2.52345,-1.69356,-1,2.22045e-16,0,0,0,1,2.97743,1.31288,0.0298285,d
689,16,6,12.6982,0.044187,-2.42277,0,0,1,2.22045e-16,1,-0,0.425476,0.370794,0.297481,d
690,16,15,14.5388,1.27797,-2.57302,0,0,1,0,1,-0,0.441679,0.360994,0.260427,d
692,16,16,13.2405,-2.13683,-1.86783,0,0,1,-0.707107,0.707107,0,0.192138,0.0828106,0.0718469,d
693,16,7,8.5715,-2.0653,-1.84183,0,0,1,2.22045e-16,1,-0,1.14335,0.474564,0.0410171,d
694,16,16,13.0716,-2.25568,-1.86885,0,0,1,0.707107,0.707107,-0,0.191378,0.0785472,0.0766737,d
695,16,14,11.6959,-0.526417,-2.60623,0,0,1,0,1,-0,0.384645,0.282597,0.251509,d
696,16,0,14.6653,-2.01453,-1.64367,0,0,1,-0.382683,-0.92388,0,1.35773,0.533005,0.168017,d
697,16,0,8.58127,-1.69268,-1.69232,0,0,1,2.22045e-16,1,-0,1.308,0.802125,0.0356684,d
698,16,3,11.6519,-0.506484,-2.96191,1,0,0,0,1,0,3.13682,2.47774,0.0604714,d
699,16,16,13.2513,-2.32429,-1.82771,0,0,1,-0.707107,0.707107,0,0.232002,0.0837831,0.0812329,d
810,16,101,8.57277,-1.16648,-1.76746,0,0,1,0,1,-0,1.21689,0.262391,0.0477729,d
