object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
376,17,39,10.45,0.929425,-2.0391,-1,2.22045e-16,0,2.22045e-16,1,0,3.24728,3.23949,1.76253,z
377,17,2,10.7778,1.17948,-0.548411,1,0,0,0,1,0,3.63018,3.23144,0.0788081,z
378,17,0,8.29172,1.16206,-2.15686,0,1,0,0,0,1,3.25655,1.64129,1.22124,z
379,17,417,12.7874,-0.488356,-3.00336,0.92388,0.382683,0,-0.382683,0.92388,0,1.43814,0.737322,0.51116,z
380,17,23,12.5079,2.56779,-3.12501,-1,2.22045e-16,0,2.22045e-16,1,0,1.1585,0.454577,0.394925,z
381,17,7,7.17261,2.46857,-2.02965,0,0,1,0,1,-0,1.48617,0.634993,0.0844252,z
382,17,20,12.4678,-0.0476542,-2.94793,0,0,1,-1,2.22045e-16,0,0.360331,0.277662,0.135455,z
383,17,107,7.52609,3.84748,-3.15125,0,0,1,0,1,-0,0.384406,0.317474,0.301453,z
384,17,67,8.39348,-1.60997,-3.66452,-1,2.22045e-16,0,2.22045e-16,1,0,1.08031,0.396604,0.128719,z
385,17,72,13.8277,2.54437,-3.19594,1,0,0,0,1,0,0.567697,0.489743,0.333615,z
386,17,9,12.5862,2.60171,-2.95696,1,0,0,-0,0,1,0.428924,0.229283,0.214316,z
387,17,8,9.95152,-1.72979,-1.83291,0,0,1,-0.707107,0.707107,0,1.31674,0.0960287,0.0608811,z
388,17,15,7.51338,3.9634,-2.44402,0,0,1,-0.382683,0.92388,0,0.389028,0.297869,0.193375,z
389,17,71,9.16012,4.12752,-2.51903,1,0,0,-0,0,1,0.269695,0.138816,0.0562615,z
390,17,8,7.24132,3.61687,-2.16605,2.22045e-16,1,0,-0,0,1,0.119383,0.0951902,0.0171492,z
392,17,3,10.7534,1.01626,-3.52764,1,0,0,0,1,0,3.65966,3.14975,0.113773,z
393,17,78,8.31138,2.30848,-3.50549,-1,2.22045e-16,0,2.22045e-16,1,0,0.594926,0.380775,0.0145876,z
