object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
85,4,-1,-8.9791,-3.33689,2.65087,0,1,0,1,-0,0,13.9371,4.47067,2.62552,l
138,4,33,-10.9402,-3.46862,0.53203,0,0,1,-0.382683,0.92388,0,0.525354,0.368085,0.33354,l
139,4,3,-10.5909,-5.90137,0.144854,0,1,0,1,-0,0,4.09497,3.06526,0.193785,l
140,4,39,-10.7357,-5.93438,1.41164,0,1,0,1,-0,0,4.10208,3.02875,1.45851,l
141,4,2,-10.3202,-5.67395,3.60705,0,1,0,1,-0,0,3.84909,2.62457,0.884963,l
142,4,28,-8.83678,-8.84618,0.535651,0,0,1,-0.382683,0.92388,0,0.478194,0.464386,0.413602,l
143,4,14,-13.1497,-5.54318,0.42829,0,1,0,1,-0,0,0.594182,0.393988,0.279399,l
144,4,89,-12.6792,-8.39727,1.18124,0,0,1,0,1,-0,1.21363,0.659477,0.22537,l
145,4,9,-8.70153,-5.38451,0.732411,0,1,0,0,0,1,0.266528,0.214982,0.184946,l
146,4,0,-10.2234,-5.91565,2.13487,0,1,0,1,-0,0,4.10689,2.72752,2.16272,l
147,4,46,-10.1446,-5.95161,0.355458,0,1,0,1,-0,0,0.566606,0.262121,0.245279,l
148,4,89,-12.5435,-2.93612,1.10076,0,0,1,2.22045e-16,1,-0,1.1263,0.716592,0.349835,l
149,4,23,-11.4459,-5.82675,0.488869,0,1,0,1,-0,0,1.16752,0.597047,0.486555,l
150,4,51,-10.304,-9.23288,0.729792,1,0,0,-0,0,1,1.0239,0.73936,0.29502,l
151,4,9,-11.4804,-6.64286,0.730144,1,0,0,0,1,0,0.202022,0.187855,0.18071,l
152,4,151,-7.98745,-9.39596,2.57052,0,0,1,0.382683,0.92388,-0,0.21089,0.152152,0.0870409,l
153,4,9,-9.47563,-3.38508,0.690639,1,0,0,-0,0,1,0.202609,0.193881,0.165103,l
154,4,104,-12.031,-9.5228,1.07843,0,0,1,1,0,0,1.08303,0.739956,0.447178,l
155,4,9,-8.6837,-5.00051,0.725564,0,0,1,0,1,-0,0.195553,0.19067,0.185923,l
156,4,68,-7.9566,-5.34155,1.12741,0,0,1,-0.382683,0.92388,0,0.351521,0.182017,0.178626,l
157,4,19,-8.59765,-1.87211,1.48733,0,0,1,-1,2.22045e-16,0,0.593633,0.361488,0.0268745,l
158,4,113,-8.81435,-4.50666,0.254871,0,0,1,0,1,-0,0.230035,0.191014,0.17708,l
159,4,28,-8.07971,-2.59764,0.459641,0.707107,0.707107,0,-0,0,1,0.536322,0.468353,0.393853,l
160,4,12,-7.98927,-9.23618,1.18358,0,0,1,0.707107,0.707107,-0,1.09111,0.395103,0.165316,l
161,4,23,-8.69081,-5.83274,0.489236,0,1,0,1,-0,0,1.17039,0.7228,0.485151,l
162,4,33,-9.5137,-3.41609,0.539948,0,0,1,2.22045e-16,1,-0,0.517639,0.37892,0.369267,l
163,4,9,-11.4361,-5.28744,0.708897,0.707107,0.707107,0,-0,0,1,0.337793,0.197016,0.192903,l
164,4,79,-10.1247,-7.4308,0.302325,-1,2.22045e-16,0,2.22045e-16,1,0,0.439165,0.333564,0.229759,l
165,4,4,-7.76695,-2.47898,1.53172,0,0,1,0,1,-0,0.529153,0.408586,0.0267863,l
166,4,32,-11.8053,-2.04074,0.299783,1,0,0,-0,0,1,0.249728,0.190893,0.182899,l
167,4,72,-10.2097,-3.39141,0.3506,0,0,1,-0.382683,0.92388,0,0.288545,0.272646,0.270426,l
168,4,392,-9.84834,-9.39224,2.1052,-1,2.22045e-16,0,0,0,1,1.30683,0.764515,0.113807,l
169,4,9,-10.9373,-3.39815,0.690142,0.92388,0.382683,0,-0,0,1,0.258082,0.204401,0.192085,l
170,4,9,-8.74887,-6.64902,0.709778,1,0,0,-0,0,1,0.222722,0.197501,0.193964,l
171,4,68,-7.9499,-6.21406,1.13631,0,0,1,0,1,-0,0.306617,0.185684,0.169705,l
172,4,9,-11.5075,-6.30454,0.7274,-0.382683,0.92388,0,0,0,1,0.22432,0.199699,0.191808,l
173,4,72,-8.61861,-2.05286,0.418695,-1,2.22045e-16,0,0,0,1,0.366559,0.32609,0.202146,l
174,4,9,-11.5137,-5.00384,0.71966,1,0,0,0,1,0,0.186536,0.186133,0.172052,l
175,4,9,-8.72927,-6.30094,0.731609,0.382683,0.92388,0,-0,0,1,0.232361,0.206643,0.166867,l
176,4,72,-7.96795,-5.80136,0.426538,0,1,0,0,0,1,0.757154,0.421802,0.272898,l
177,4,4,-10.2991,-1.85399,3.47332,1,0,0,-0,0,1,0.810781,0.375684,0.0332898,l
178,4,4,-10.2231,-9.39246,1.97853,-1,2.22045e-16,0,0,0,1,0.545912,0.416347,0.0230908,l
179,4,113,-11.3621,-4.49105,0.241212,0,0,1,-0.382683,0.92388,0,0.233236,0.183649,0.16944,l
180,4,9,-8.75205,-8.90304,0.647366,0.92388,0.382683,0,-0.382683,0.92388,0,0.29236,0.208414,0.151448,l
181,4,151,-12.6656,-9.38684,2.52064,0,0,1,1,0,0,0.178763,0.1237,0.110724,l
