object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
240,26,0,-1.02477,-6.61262,2.49218,1,0,0,-0,0,1,1.64077,0.25734,0.0318303,a
555,26,39,-1.90866,-8.65988,4.47115,1,0,0,0,1,0,2.59002,2.18096,1.38367,a
556,26,0,-1.95101,-8.7338,4.46251,-1,2.22045e-16,0,2.22045e-16,1,0,2.53043,2.10187,1.37457,a
557,26,5,0.614706,-7.13241,4.65759,0,0,1,0,1,-0,0.66871,0.463235,0.104418,a
558,26,45,-3.52645,-9.65193,4.48782,0,0,1,0,1,-0,1.35837,1.10428,1.01412,a
559,26,2,-1.95286,-8.72238,5.81842,1,0,0,0,1,0,2.53051,2.05701,0.0285277,a
560,26,5,-1.68161,-10.7521,4.3919,-1,2.22045e-16,0,0,0,1,1.10958,0.913653,0.171077,a
563,26,22,-4.51066,-9.79125,4.44915,0,1,0,0,0,1,0.303366,0.15699,0.0445604,a
565,26,7,-0.401109,-9.15997,4.25531,0,0,1,2.22045e-16,1,-0,1.16102,0.555652,0.122847,a
566,26,38,-2.38756,-6.58475,4.24316,0,0,1,-1,2.22045e-16,0,1.15571,0.537391,0.117945,a
567,26,5,0.577255,-9.68492,4.6374,0,0,1,0,1,-0,0.706458,0.394515,0.104108,a
569,26,1,-0.351904,-9.3869,4.16803,0,0,1,2.22045e-16,1,-0,1.04884,0.143291,0.0698306,a
572,26,65,-0.665285,-7.08093,3.98173,-1,2.22045e-16,0,2.22045e-16,1,0,1.23834,0.427589,0.102093,a
573,26,8,-3.02769,-10.3918,5.48305,0,0,1,0,1,-0,0.29016,0.260766,0.0977385,a
574,26,38,-2.99064,-7.74329,4.25103,0,0,1,2.22045e-16,1,-0,1.14563,0.561434,0.0915545,a
575,26,120,0.109794,-8.36083,4.02966,-1,2.22045e-16,0,0,0,1,0.334184,0.190263,0.0722699,a
576,26,61,-1.23822,-6.66223,4.09521,1,0,0,-0,0,1,0.201087,0.105762,0.0100822,a
577,26,4,-0.508771,-10.2442,4.67465,0,0,1,2.22045e-16,1,-0,0.29156,0.255567,0.0209327,a
578,26,21,-1.26925,-7.01483,3.91077,1,0,0,0,1,0,0.220916,0.185861,0.07162,a
579,26,21,0.00659853,-6.96245,3.89028,-1,2.22045e-16,0,2.22045e-16,1,0,0.152858,0.11159,0.0204939,a
