object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
141,6,0,4.48312,-3.75824,1.34185,0,1,0,0,0,1,1.66989,1.31686,0.154749,h
173,6,17,5.38367,-6.64633,1.28247,0,0,1,1,0,0,1.28621,1.20719,0.227852,h
175,6,525,4.95243,-2.91763,1.03061,0,0,1,2.22045e-16,1,-0,1.00507,0.812671,0.28762,h
176,6,39,5.48664,-5.30317,1.11746,0,1,0,0,0,1,1.57207,1.12511,1.08156,h
177,6,3,5.58333,-4.32641,0.0579022,2.22045e-16,1,0,-1,2.22045e-16,0,2.30606,1.3728,0.0655475,h
178,6,0,5.94552,-2.16502,1.15004,0,0,1,-1,2.22045e-16,0,1.09129,1.02419,0.0600647,h
179,6,0,6.08168,-4.77906,1.12207,0,0,1,2.22045e-16,1,-0,1.11417,0.528466,0.0448961,h
180,6,7,5.91376,-2.08528,1.0809,0,0,1,-1,2.22045e-16,0,1.02207,0.50086,0.0715823,h
181,6,432,6.16929,-6.3606,0.675516,0,0,1,1,0,0,0.659142,0.404657,0.100225,h
182,6,1,5.9114,-2.03845,1.03803,0,0,1,1,0,0,0.978755,0.427211,0.0285363,h
183,6,0,4.67739,-3.63347,1.1525,0,0,1,2.22045e-16,1,-0,1.09139,0.239009,0.0394003,h
184,6,0,5.41198,-5.20067,1.29005,0,0,1,-1,2.22045e-16,0,1.2814,1.00761,0.109141,h
185,6,0,4.91704,-4.77678,1.12871,0,0,1,0,1,-0,1.11461,0.458663,0.0492997,h
186,6,432,6.2084,-5.27764,0.980056,-1,2.22045e-16,0,0,0,1,0.154084,0.0975842,0.0555503,h
187,6,7,4.79109,-4.11227,1.17057,0,0,1,-0.382683,0.92388,0,1.07309,0.407711,0.0360827,h
