object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
144,3,3,-17.3542,9.04521,0.464708,-0.92388,0.382683,0,-0.382683,-0.92388,0,3.42279,1.8703,0.256166,f
145,3,23,-17.8203,7.69068,0.623363,-0.92388,0.382683,0,-0.382683,-0.92388,0,1.34412,0.524731,0.390712,f
146,3,0,-15.2878,7.5068,1.22169,0.382683,0.92388,0,-0,0,1,1.15923,1.00786,0.236315,f
147,3,0,-18.4348,8.08535,1.2456,-0.707107,0.707107,0,0,0,1,3.2942,1.01578,0.898857,f
148,3,39,-17.5036,9.11737,1.23363,-0.92388,0.382683,0,0.382683,0.92388,0,3.50656,1.96241,1.02997,f
149,3,0,-13.8062,8.95641,1.22924,0,0,1,2.22045e-16,1,-0,1.00019,0.512587,0.103506,f
150,3,9,-17.2453,7.34461,0.870238,0.92388,0.382683,0,-0.382683,0.92388,0,0.367521,0.307603,0.256979,f
151,3,22,-20.6867,10.0472,1.26471,0,0,1,-0.382683,-0.92388,0,1.00229,0.734232,0.212996,f
152,3,9,-20.0039,9.39786,0.744796,0,1,0,0,0,1,0.263054,0.179289,0.127945,f
153,3,2,-17.4767,8.99156,2.23723,-0.92388,0.382683,0,0.382683,0.92388,0,3.54467,1.93363,0.032711,f
154,3,89,-16.8782,10.0329,1.24234,-0.92388,0.382683,0,0,0,1,1.62975,1.00074,0.283086,f
155,3,0,-19.3386,10.7897,1.26172,1,0,0,-0,0,1,1.12991,0.999849,0.107076,f
156,3,5,-16.7289,6.62019,1.92755,0,0,1,-0.92388,0.382683,0,0.301971,0.198919,0.0310376,f
157,3,33,-20.0375,9.41103,0.583806,1,0,0,0,1,0,0.637888,0.4098,0.333398,f
158,3,5,-17.9962,7.46154,1.91915,-0.92388,0.382683,0,-0.382683,-0.92388,0,2.6848,0.323371,0.314922,f
159,3,33,-15.8065,7.76171,0.535426,-0.707107,0.707107,0,-0.707107,-0.707107,0,0.482959,0.432668,0.327424,f
160,3,12,-18.8696,10.5618,0.633997,1,0,0,-0,0,1,0.407798,0.380506,0.28389,f
161,3,5,-20.2395,8.63463,1.94939,0,0,1,-0.707107,0.707107,0,0.29647,0.186927,0.021677,f
162,3,1,-14.3915,8.4239,1.20547,0,0,1,-1,2.22045e-16,0,0.959971,0.36791,0.0730171,f
163,3,5,-18.6022,7.48556,1.93375,0,0,1,-0.707107,0.707107,0,0.296474,0.192887,0.0500072,f
164,3,26,-19.1751,8.59725,0.471761,-0.92388,0.382683,0,-0.382683,-0.92388,0,0.398532,0.342613,0.225182,f
165,3,26,-16.3913,6.95298,0.479239,0.382683,0.92388,0,-0.92388,0.382683,0,0.381202,0.364502,0.248819,f
166,3,5,-19.406,7.99812,1.94114,0,0,1,-0.92388,0.382683,0,0.30071,0.19274,0.0463886,f
167,3,37,-16.8714,9.913,1.22867,-0.92388,0.382683,0,0,0,1,0.411663,0.345034,0.0808674,f
168,3,9,-18.6344,8.01721,0.873366,-0.382683,0.92388,0,0.92388,0.382683,0,0.352453,0.299418,0.259029,f
169,3,5,-20.0287,10.7493,1.35323,0,0,1,-1,2.22045e-16,0,0.904682,0.200633,0.0492172,f
170,3,5,-17.6826,7.00272,1.93347,0,0,1,-0.92388,0.382683,0,0.295946,0.171279,0.0209883,f
171,3,0,-14.4552,8.50921,1.23333,0,0,1,-1,2.22045e-16,0,0.996547,0.591897,0.139239,f
172,3,9,-15.7029,7.67896,0.701234,0.707107,0.707107,0,-0,0,1,0.259672,0.16704,0.123633,f
173,3,113,-18.8799,9.45233,0.447032,-0.92388,0.382683,0,-0.382683,-0.92388,0,0.299078,0.276521,0.186578,f
174,3,113,-16.364,8.39701,0.500178,-0.92388,0.382683,0,0.382683,0.92388,0,0.297902,0.287736,0.112282,f
472,3,7,-14.2367,9.68789,1.33967,0,0,1,-0.92388,0.382683,0,0.887108,0.439223,0.0603373,f
492,3,101,-20.6018,10.3642,1.6753,0,0,1,-0.382683,-0.92388,0,0.609854,0.376213,0.0741745,f
