object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
74,2,0,0.161428,-4.49098,1.42276,0,1,0,0,0,1,1.72358,1.31099,0.0431588,b
75,2,25,-0.992958,-4.2208,0.658104,1,0,0,0,1,0,1.18809,0.920714,0.647868,b
76,2,1,-3.90719,-5.34894,1.10697,0,0,1,2.22045e-16,1,-0,1.08883,0.431221,0.0317552,b
77,2,0,-1.85508,-2.78719,1.36613,-1,2.22045e-16,0,0,0,1,2.05397,1.36089,0.0297722,b
78,2,39,-1.77956,-4.4733,1.37471,1,0,0,0,1,0,2.14485,1.76787,1.36407,b
79,2,9,-0.518053,-4.55188,0.930516,2.22045e-16,1,0,-0,0,1,0.308606,0.192831,0.157052,b
80,2,5,-3.33113,-6.23692,1.65691,0,0,1,-1,2.22045e-16,0,1.06529,0.600446,0.0421572,b
81,2,76,-2.10835,-5.95821,1.35018,0,0,1,1,0,0,1.33136,0.68161,0.284683,b
82,2,2,-1.87092,-4.49624,2.70796,-1,2.22045e-16,0,2.22045e-16,1,0,2.05128,1.72467,0.0344253,b
83,2,9,-0.177217,-3.93746,0.987177,2.22045e-16,1,0,-1,2.22045e-16,0,0.278817,0.194013,0.0657221,b
84,2,14,-3.72589,-4.29049,0.401533,2.22045e-16,1,0,-0,0,1,0.696648,0.383707,0.195977,b
85,2,1,-3.82798,-3.18686,1.04812,0,0,1,0,1,-0,1.03842,0.423411,0.0916222,b
86,2,0,-3.91434,-4.49787,1.41821,2.22045e-16,1,0,-0,0,1,1.72532,1.31388,0.0224721,b
87,2,9,-0.443573,-3.93537,0.954116,2.22045e-16,1,0,-0,0,1,0.372662,0.23448,0.194533,b
89,2,37,-3.88685,-4.11713,1.59565,2.22045e-16,1,0,-0,0,1,0.477012,0.303234,0.0345942,b
90,2,3,-1.79105,-4.48961,0.0553203,-1,2.22045e-16,0,2.22045e-16,1,0,2.1133,1.72464,0.0517048,b
91,2,1,-0.119373,-6.15511,1.07996,0,0,1,1,0,0,1.04313,0.330023,0.0814698,b
92,2,8,-0.0327505,-3.35823,1.44722,0,0,1,-0.92388,0.382683,0,0.638201,0.150819,0.0807484,b
93,2,9,-0.243796,-4.53353,0.957009,2.22045e-16,1,0,-1,2.22045e-16,0,0.335279,0.220309,0.146295,b
94,2,0,-1.86671,-6.1589,1.38193,-1,2.22045e-16,0,0,0,1,2.05022,1.3553,0.083652,b
95,2,26,-0.0337621,-3.0954,0.392664,0,0,1,0,1,-0,0.364807,0.323807,0.244235,b
96,2,9,-0.597497,-4.29785,0.981373,2.22045e-16,1,0,-0,0,1,0.398469,0.267303,0.218743,b
97,2,9,-0.157376,-3.58528,0.794513,0,0,1,1,0,0,0.203372,0.195389,0.0918119,b
98,2,131,-1.86269,-4.45451,2.53094,1,0,0,0,1,0,0.524328,0.508899,0.192852,b
99,2,48,-3.54297,-4.28012,0.260927,0,1,0,0,0,1,0.337791,0.246887,0.166623,b
100,2,7,0.260899,-5.58095,1.11248,0,0,1,0,1,-0,1.07907,0.552581,0.0917849,b
101,2,4,-2.71953,-2.77279,1.44429,0,0,1,-1,2.22045e-16,0,0.152534,0.116918,0.00909829,b
102,2,1239,-3.32698,-5.98038,0.319265,-1,2.22045e-16,0,0,0,1,0.596734,0.299988,0.263152,b
103,2,9,-0.263063,-4.76142,0.770929,-0.92388,-0.382683,0,0,0,1,0.286225,0.0906798,0.0875507,b
104,2,357,-3.90973,-4.7926,1.37911,2.22045e-16,1,0,-0,0,1,0.110122,0.0714513,0.013181,b
105,2,98,-2.73246,-2.76636,1.18918,0,0,1,-1,2.22045e-16,0,0.0765356,0.067436,0.00569308,b
