object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
102,4,39,13.0099,2.46935,1.16769,1,0,0,0,1,0,3.07318,2.3587,1.20851,f
103,4,4,9.95581,0.249861,1.56221,0,0,1,-0.382683,0.92388,0,0.784433,0.106711,0.0374305,f
104,4,0,12.2172,2.71779,1.31813,2.22045e-16,1,0,-0,0,1,2.14117,1.33621,0.347535,f
105,4,2,12.8671,2.48216,2.47028,1,0,0,0,1,0,2.96324,2.3715,0.201082,f
106,4,15,15.5713,4.54577,0.917053,0,0,1,1,0,0,0.743535,0.438024,0.282156,f
107,4,46,13.863,2.72564,0.219587,2.22045e-16,1,0,-1,2.22045e-16,0,0.461514,0.294546,0.227706,f
108,4,6,15.3459,3.49322,0.380427,-0.382683,-0.92388,0,0,0,1,0.809757,0.363469,0.325057,f
109,4,23,12.5587,2.64402,0.477083,2.22045e-16,1,0,-1,2.22045e-16,0,1.12077,0.43202,0.395454,f
110,4,0,14.0229,4.80054,1.16108,-1,2.22045e-16,0,0,0,1,1.91334,1.19376,0.0619655,f
111,4,6,14.9598,1.13382,0.541977,0,0,1,-0.382683,0.92388,0,0.534189,0.428439,0.399238,f
112,4,8,12.5093,0.703736,1.24053,0,0,1,0,1,-0,0.956905,0.557248,0.305937,f
113,4,5,15.9061,3.84747,0.993261,0,0,1,0,1,-0,1.02331,0.952566,0.170817,f
114,4,14,14.0156,4.55186,0.291102,-1,2.22045e-16,0,0,0,1,1.36039,0.33018,0.281289,f
115,4,0,15.8215,2.45889,2.18885,0,1,0,0,0,1,2.34824,0.200637,0.020947,f
116,4,6,13.4131,1.01479,0.540189,0,0,1,0.707107,0.707107,-0,0.532608,0.46087,0.440021,f
117,4,0,9.98937,0.590408,1.32793,0,0,1,0,1,-0,1.33507,0.39886,0.087924,f
118,4,52,13.1042,0.750055,0.795615,0,0,1,-0.382683,0.92388,0,0.292061,0.267068,0.149132,f
119,4,8,10.7677,0.704125,1.49576,0,0,1,-0.92388,0.382683,0,0.736577,0.121447,0.0426076,f
120,4,10,14.0793,4.62436,0.589913,1,0,0,0,1,0,0.211492,0.167875,0.0342546,f
121,4,6,12.3371,1.9372,0.731518,-0.707107,0.707107,0,0.707107,0.707107,0,0.424464,0.193893,0.188899,f
122,4,10,13.1867,4.62643,0.712985,1,0,0,0,1,0,0.260342,0.212598,0.156957,f
123,4,37,14.0157,4.79855,1.4093,-1,2.22045e-16,0,0,0,1,0.649614,0.405322,0.0469997,f
124,4,35,12.3778,1.28415,0.261193,0,0,1,-0.382683,0.92388,0,0.266699,0.186471,0.180485,f
125,4,10,12.4183,1.27694,1.0847,-0.382683,-0.92388,0,-0.92388,0.382683,0,0.147333,0.115992,0.114651,f
126,4,35,12.6455,1.44504,0.274882,0,0,1,0,1,-0,0.280333,0.163716,0.160511,f
127,4,40,15.6185,4.49105,0.198833,-0.92388,0.382683,0,0,0,1,0.225858,0.224486,0.130711,f
128,4,6,12.5876,3.25233,0.521398,-0.382683,-0.92388,0,0,0,1,0.305384,0.152374,0.141058,f
129,4,9,13.3449,0.945198,0.543662,-0.92388,0.382683,0,-0.382683,-0.92388,0,0.312123,0.174212,0.134015,f
130,4,17,15.997,1.55581,1.01556,2.22045e-16,1,0,-0,0,1,1.40975,1.01624,0.0878339,f
131,4,3,13.015,2.46532,0.0192888,-1,2.22045e-16,0,2.22045e-16,1,0,3.0681,2.35467,0.0644998,f
132,4,4,12.1369,2.92129,1.73601,0,1,0,0,0,1,0.54676,0.534825,0.032783,f
133,4,6,12.4579,3.45434,0.70763,0.707107,0.707107,0,-0.707107,0.707107,0,0.272764,0.170248,0.164908,f
134,4,14,14.1646,0.951121,0.425992,1,0,0,0,1,0,0.274621,0.255822,0.0596745,f
135,4,15,12.002,1.584,1.44348,2.22045e-16,1,0,-0,0,1,0.24076,0.230979,0.079607,f
136,4,6,14.9601,1.01846,0.533035,-0.92388,-0.382683,0,-0.382683,0.92388,0,0.293788,0.133178,0.133082,f
137,4,6,12.5594,2.07056,0.530748,-0.707107,0.707107,0,0,0,1,0.311815,0.161073,0.105744,f
138,4,10,15.033,4.71005,0.685454,1,0,0,-0,0,1,0.127193,0.123889,0.114587,f
139,4,10,12.0034,1.88314,1.27323,0.92388,0.382683,0,-0.382683,0.92388,0,0.0869433,0.07377,0.0323879,f
140,4,98,9.92578,0.398232,1.24596,0,0,1,2.22045e-16,1,-0,0.0468348,0.033443,0.00483179,f
141,4,78,13.9083,2.72952,-0.00264863,0,1,0,1,-0,0,1.10786,0.784567,0.0229873,f
250,4,15,12.0298,1.56399,1.59123,2.22045e-16,1,0,-0,0,1,0.531711,0.387357,0.0788531,f
262,4,17,12.0225,1.64391,1.7607,0,1,0,0,0,1,0.658713,0.589105,0.0814142,f
