object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
1608,55,5,59.6515,-17.1002,1.52429,1,0,0,-0,0,1,1.70612,1.43346,0.231204,o
1609,55,39,59.5995,-15.7637,1.51895,1,0,0,0,1,0,1.78473,1.57838,1.53169,o
1610,55,2,59.4339,-15.942,2.93547,1,0,0,0,1,0,1.48909,1.34896,0.0680408,o
1611,55,29,60.0873,-14.6405,1.47534,0,0,1,1,0,0,1.46411,0.799053,0.375183,o
1612,55,245,58.9415,-17.2895,0.832363,-1,2.22045e-16,0,0,0,1,0.983044,0.695588,0.0443373,o
1613,55,0,58.013,-15.9255,1.47907,0,0,1,2.22045e-16,1,-0,1.49771,1.40705,0.0851879,o
1614,55,11,58.6745,-15.9435,2.32786,0,1,0,1,-0,0,1.27351,0.108067,0.0998256,o
1615,55,8,60.1498,-14.4901,1.95012,0,0,1,-0.707107,-0.707107,0,0.411495,0.277722,0.092102,o
1616,55,1,58.1474,-14.7955,1.11195,0,0,1,0,1,-0,1.11066,0.554067,0.0765553,o
1617,55,0,58.8604,-14.3599,1.36105,0,0,1,1,0,0,1.365,0.771683,0.138974,o
1619,55,55,59.4134,-15.9091,2.71673,1,0,0,0,1,0,1.47212,0.353549,0.259567,o
1620,55,11,60.2189,-15.9711,2.30701,0,1,0,1,-0,0,1.28278,0.113676,0.0884336,o
1621,55,3,59.4289,-15.7243,0.0540015,0,1,0,1,-0,0,1.53686,1.47406,0.0796555,o
