object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
94,4,219,1.80392,10.3211,-1.09308,0,0,1,0,1,-0,0.908473,0.558748,0.0808682,s
95,4,0,-1.77487,11.0091,-0.110423,2.22045e-16,1,0,-0,0,1,0.568116,0.421543,0.0707069,s
96,4,249,-0.286152,10.3113,-1.66418,0,0,1,-1,2.22045e-16,0,1.82232,1.55942,1.21872,s
97,4,0,-0.00482559,11.4416,-0.874444,-1,2.22045e-16,0,0,0,1,1.31094,0.670111,0.155312,s
98,4,365,-1.27021,11.6638,-0.0224959,1,0,0,-0,0,1,0.474845,0.335045,0.181927,s
99,4,39,-0.0346441,10.6262,-1.00017,1,0,0,-0,0,1,1.85733,1.25121,0.929831,s
100,4,1,-2.33019,10.3914,-2.50536,0,0,1,2.22045e-16,1,-0,0.997805,0.476154,0.0764775,s
101,4,0,1.46047,9.7716,-1.38377,0,0,1,2.22045e-16,1,-0,1.19966,0.725167,0.37971,s
102,4,466,-0.428485,10.3181,-1.45339,0,0,1,-1,2.22045e-16,0,1.62568,0.794548,0.36763,s
104,4,0,-2.10545,9.81857,-2.46226,0,0,1,-0.92388,0.382683,0,1.04094,0.323849,0.0417819,s
105,4,91,1.54301,10.2966,-1.94426,2.22045e-16,1,0,-1,2.22045e-16,0,0.655186,0.284775,0.0712671,s
106,4,0,-1.89645,10.5645,-2.06358,0,0,1,2.22045e-16,1,-0,1.43151,1.23174,0.506316,s
107,4,1626,-0.338753,9.23166,-1.98334,-1,2.22045e-16,0,0,0,1,1.57278,1.50965,0.187084,s
108,4,3,-1.56128,10.0972,-3.4387,2.22045e-16,1,0,-1,2.22045e-16,0,0.81925,0.795401,0.070033,s
109,4,1115,-1.09856,10.8261,-2.79441,0,0,1,-0.707107,-0.707107,0,0.560867,0.421445,0.314984,s
111,4,0,1.59117,10.9192,-0.72244,0,0,1,-0.92388,0.382683,0,0.508814,0.306028,0.0516453,s
113,4,365,0.83306,11.3476,-0.610971,0,0,1,-0.92388,0.382683,0,0.924598,0.562787,0.195762,s
114,4,0,-0.23893,11.5989,0.00455417,-1,2.22045e-16,0,0,0,1,1.0118,0.256625,0.255356,s
115,4,22,-1.38861,11.647,-2.26316,1,0,0,0,1,0,0.346217,0.140429,0.133931,s
116,4,0,1.51564,10.9961,-1.60117,0,0,1,-0.707107,0.707107,0,0.397794,0.344856,0.134453,s
117,4,0,-2.04804,10.9201,-2.45877,0,0,1,-0.92388,-0.382683,0,1.03698,0.295746,0.0663332,s
119,4,663,-0.0694098,11.113,-1.38653,-0.92388,0.382683,0,0,0,1,1.71417,1.03427,0.688584,s
120,4,625,1.28449,10.7406,-0.555205,0,0,1,2.22045e-16,1,-0,0.65446,0.495828,0.0585129,s
121,4,0,-1.72643,9.99071,-0.477319,2.22045e-16,1,0,-0,0,1,0.665626,0.164579,0.0650763,s
122,4,75,1.56581,10.3062,-1.79859,0,1,0,1,-0,0,0.320646,0.279422,0.200734,s
123,4,1264,-1.76101,9.61659,-2.52332,0,0,1,0,1,-0,0.255272,0.123498,0.113244,s
125,4,0,0.309308,10.6823,0.180036,1,0,0,0,1,0,1.04249,0.456129,0.136441,s
126,4,8,-1.84062,9.72339,0.084166,-0.707107,-0.707107,0,-0.707107,0.707107,0,0.106654,0.106582,0.0927667,s
127,4,0,-1.37273,10.6261,-0.63174,-1,2.22045e-16,0,0,0,1,0.428606,0.327013,0.0735435,s
128,4,1055,-0.103674,11.6452,0.0367369,0,0,1,-1,2.22045e-16,0,0.270064,0.228355,0.172956,s
129,4,22,-1.08345,11.4168,-2.25638,-1,2.22045e-16,0,2.22045e-16,1,0,0.436787,0.19516,0.0418979,s
130,4,22,-1.29946,11.4377,-1.92258,-0.92388,0.382683,0,0.382683,0.92388,0,0.26887,0.142886,0.0394402,s
131,4,663,0.238959,9.20822,-2.82662,-1,2.22045e-16,0,0,0,1,0.983197,0.482427,0.145464,s
132,4,2,-1.6058,10.7579,-0.951285,-0.707107,0.707107,0,0.707107,0.707107,0,0.373796,0.194062,0.0429826,s
133,4,2,-1.78872,10.0089,-0.728893,2.22045e-16,1,0,-0,0,1,0.673725,0.134754,0.118317,s
134,4,0,-1.48466,11.6757,-1.69366,0,0,1,1,0,0,0.32618,0.22282,0.120615,s
135,4,1152,1.69594,9.88257,-1.94482,1,0,0,0,1,0,0.104886,0.0938067,0.0522879,s
136,4,22,-1.36775,11.3639,-2.59746,-0.92388,0.382683,0,-0.382683,-0.92388,0,0.429485,0.243338,0.102112,s
137,4,22,-0.685754,11.1503,-2.91984,0,0,1,-0.92388,0.382683,0,0.384245,0.362299,0.236084,s
139,4,8,-0.477914,10.3952,-2.82847,-1,2.22045e-16,0,2.22045e-16,1,0,0.484726,0.407765,0.168837,s
140,4,415,-2.28008,10.7493,-2.65837,0,0,1,2.22045e-16,1,-0,0.166702,0.113142,0.0540692,s
