object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
1134,31,0,11.0002,-1.24266,5.13235,2.22045e-16,1,0,-0,0,1,2.36352,2.2518,0.124751,b
1135,31,9,7.7442,-0.644795,3.69158,2.22045e-16,1,0,-1,2.22045e-16,0,0.445231,0.245914,0.144121,b
1136,31,25,8.29591,-0.627736,3.88194,0,1,0,1,-0,0,1.18023,1.15349,1.0518,b
1137,31,2,9.09596,-1.59806,5.15389,0,1,0,0,0,1,2.76097,2.26928,1.97145,b
1138,31,0,7.24331,-1.54303,5.11606,2.22045e-16,1,0,-0,0,1,2.73318,2.29327,0.127857,b
1139,31,18,10.7858,-2.16757,3.63575,0,0,1,-0.707107,0.707107,0,0.712394,0.189852,0.182804,b
1140,31,7,7.14447,-2.53253,3.98093,0,0,1,2.22045e-16,1,-0,1.10057,0.97604,0.0756834,b
1141,31,9,7.9394,-0.670041,3.64977,0,1,0,1,-0,0,0.220107,0.113259,0.0966926,b
1143,31,14,10.8675,0.704344,3.13496,0,1,0,0,0,1,0.404692,0.261881,0.254446,b
1145,31,4,11.0735,0.460059,4.55977,0,0,1,2.22045e-16,1,-0,0.345706,0.28451,0.0265532,b
1146,31,1,7.57187,-3.52345,3.92632,0,0,1,-0.92388,0.382683,0,1.02197,0.525262,0.166233,b
1147,31,0,8.73382,-4.21198,5.36277,-1,2.22045e-16,0,0,0,1,1.60027,0.472041,0.0890965,b
1148,31,51,10.4826,-3.57617,3.88547,0,0,1,0.707107,0.707107,-0,0.919388,0.81131,0.310065,b
1149,31,13,8.75412,-4.22833,4.1266,-1,2.22045e-16,0,0,0,1,1.42096,1.2184,0.232529,b
1151,31,0,10.6342,-3.87644,5.41725,0,0,1,0.707107,0.707107,-0,0.623376,0.533574,0.107822,b
1152,31,5,8.43558,-4.34359,4.09424,0,0,1,1,0,0,1.13977,0.92466,0.159327,b
1153,31,305,10.9614,-3.48353,4.96949,0,0,1,2.22045e-16,1,-0,0.224665,0.154128,0.104875,b
1155,31,0,7.34156,1.07869,5.43505,0,0,1,-0.92388,0.382683,0,1.98812,0.213302,0.0997174,b
1160,31,12,10.8266,-0.607266,3.95259,0,0,1,2.22045e-16,1,-0,1.073,0.634982,0.26927,b
1161,31,18,7.31769,-1.95872,3.81886,0,0,1,-0.382683,0.92388,0,0.349959,0.166014,0.134928,b
1162,31,4,11.067,-1.82915,4.58876,0,0,1,2.22045e-16,1,-0,0.349695,0.299469,0.0217528,b
1163,31,39,9.10872,-1.63954,3.96129,0,1,0,1,-0,0,2.79887,1.9901,1.20303,b
1164,31,66,9.0806,0.221342,6.10795,-0.92388,0.382683,0,0.382683,0.92388,0,0.693134,0.669457,0.107648,b
1165,31,35,10.9021,0.117723,3.77331,0,0,1,-0.382683,-0.92388,0,0.0757443,0.0583991,0.0503761,b
1166,31,14,10.8946,0.100393,3.35643,0,0,1,-0.92388,0.382683,0,0.384335,0.286567,0.213828,b
1167,31,37,10.4928,-3.73754,4.97713,-0.707107,-0.707107,0,0,0,1,0.369511,0.219721,0.0802601,b
1168,31,18,7.2965,0.741491,3.91672,0,0,1,0,1,-0,0.25508,0.166565,0.136905,b
1169,31,9,7.49592,-1.34482,3.6991,0,1,0,0,0,1,0.660834,0.465906,0.298318,b
1170,31,132,7.59065,-1.97077,3.55796,0,1,0,0,0,1,0.168969,0.0868887,0.0857995,b
1172,31,39,7.67419,-3.80916,4.51626,0,0,1,-0.382683,-0.92388,0,0.302944,0.208098,0.128237,b
1173,31,4,7.15345,-2.00913,4.56603,0,0,1,2.22045e-16,1,-0,0.150994,0.127008,0.0127285,b
1174,31,39,7.49317,0.904021,3.54675,0,1,0,1,-0,0,0.108604,0.0945563,0.0749519,b
1175,31,4,7.15474,-2.22923,4.3169,2.22045e-16,1,0,-0,0,1,0.119452,0.0982487,0.0109222,b
1176,31,39,10.2444,-4.13585,4.88292,-0.707107,0.707107,0,0,0,1,0.172975,0.123134,0.107321,b
1177,31,39,7.48865,0.559737,3.54099,2.22045e-16,1,0,-0,0,1,0.0676561,0.0580066,0.0401318,b
