object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
371,19,0,4.332,4.99348,2.30927,0,0,1,0,1,-0,2.13682,1.18392,0.236006,c
372,19,17,5.23827,6.14783,1.91422,0,0,1,1,0,0,1.75218,1.12791,0.295861,c
373,19,7,5.46149,3.84689,1.54757,0,0,1,1,0,0,1.35387,0.794191,0.194573,c
374,19,2,5.54361,5.04752,4.46063,1,0,0,0,1,0,1.41407,1.16037,0.0589697,c
375,19,0,6.92535,5.06674,2.32218,0,0,1,0,1,-0,2.13512,1.16401,0.0695093,c
376,19,7,6.98032,4.97571,1.88073,0,0,1,0,1,-0,1.6999,0.800784,0.180571,c
377,19,1,4.63421,4.18204,1.36674,0,0,1,-0.707107,0.707107,0,1.17956,0.495636,0.116673,c
378,19,321,4.75874,5.55454,0.972747,0,0,1,0.707107,0.707107,-0,0.791322,0.583165,0.321642,c
379,19,0,5.57255,4.01593,2.92992,0,0,1,1,0,0,1.55252,1.409,0.206657,c
380,19,0,5.52818,6.16033,2.34035,0,0,1,-1,2.22045e-16,0,2.14111,1.42858,0.0799561,c
381,19,1,6.53981,4.34505,1.33823,0,0,1,-0.707107,-0.707107,0,1.15622,0.533302,0.155034,c
382,19,3,5.65205,5.04325,0.213302,1,0,0,0,1,0,1.45165,1.39122,0.0547315,c
383,19,17,6.95393,4.98993,2.78958,2.22045e-16,1,0,-0,0,1,0.500568,0.271854,0.183987,c
384,19,39,5.0482,4.71783,1.1593,-0.707107,0.707107,0,0,0,1,1.44987,0.934359,0.655215,c
385,19,241,4.4079,4.47492,1.09276,0.707107,0.707107,0,-0,0,1,0.0291122,0.0288645,0.0241152,c
386,19,1166,5.325,3.90919,2.88549,0,0,1,1,0,0,0.0728663,0.0448859,0.0404346,c
387,19,241,6.15824,4.19346,1.08371,-0.707107,0.707107,0,0,0,1,0.030473,0.0266569,0.0248486,c
