object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
73,12,105,9.72779,-1.65643,3.70653,0,1,0,0,0,1,1.31281,0.564237,0.10483,b
420,12,0,7.0697,-5.0687,1.20766,0,0,1,1,0,0,1.19049,0.914966,0.114337,b
452,12,3,7.56492,-1.92936,0.0537598,0,1,0,1,-0,0,3.27351,2.08328,0.0838673,b
454,12,19,5.54971,0.810425,1.56887,0,0,1,2.22045e-16,1,-0,0.489194,0.314888,0.0686762,b
455,12,39,7.5476,-1.6522,1.40955,0,1,0,1,-0,0,3.33843,2.14422,1.43145,b
456,12,0,7.56791,-1.81806,1.38852,0,1,0,1,-0,0,3.38646,2.15118,1.37859,b
457,12,1,6.22662,-3.18028,1.07661,0,0,1,1,0,0,1.07047,0.4649,0.100506,b
458,12,26,9.40528,-0.560745,0.450944,0,1,0,0,0,1,1.7887,0.433067,0.275671,b
459,12,12,6.01965,-0.353923,0.484625,2.22045e-16,1,0,-1,2.22045e-16,0,1.09345,0.544588,0.510189,b
460,12,13,7.73501,1.44588,1.88872,1,0,0,-0,0,1,1.94151,0.790877,0.127436,b
461,12,0,5.52881,0.890994,1.36212,0,0,1,0,1,-0,1.38243,0.804927,0.104012,b
462,12,33,6.44308,0.88128,0.495397,-0.382683,-0.92388,0,0,0,1,0.472111,0.471796,0.465055,b
463,12,25,8.50968,-0.564374,0.549041,1,0,0,0,1,0,1.16915,0.94826,0.541801,b
464,12,5,7.60941,1.46685,1.94388,1,0,0,-0,0,1,0.900832,0.705086,0.110768,b
465,12,4,5.86906,-0.397317,1.67789,0,1,0,0,0,1,0.798704,0.513158,0.0852957,b
466,12,89,8.86359,-2.91023,1.07683,0,0,1,1,0,0,1.05943,0.694599,0.352523,b
467,12,1,6.73716,-4.05295,1.10808,0,0,1,0,1,-0,1.09023,0.806011,0.135963,b
468,12,33,6.34906,-1.77899,0.576849,0,0,1,1,0,0,0.56703,0.52202,0.452157,b
469,12,9,9.18227,-0.141736,0.808301,0,1,0,1,-0,0,0.302608,0.19977,0.183644,b
470,12,8,7.46916,-4.24209,1.75485,0,1,0,0,0,1,0.908454,0.775182,0.242499,b
471,12,18,9.45255,-0.64195,1.38209,0,1,0,1,-0,0,1.58621,0.239449,0.174208,b
472,12,7,5.76908,-2.35697,1.09927,0,0,1,2.22045e-16,1,-0,1.09189,0.890281,0.140963,b
473,12,7,7.25411,-4.97955,1.16629,0,0,1,1,0,0,1.15786,0.597198,0.188348,b
474,12,51,7.8083,1.16116,0.613109,1,0,0,-0,0,1,0.790352,0.594108,0.20822,b
475,12,4,9.63387,-0.625564,1.60691,0,1,0,0,0,1,0.687156,0.497698,0.0589633,b
476,12,9,9.51584,-0.0676868,1.00838,0,1,0,1,-0,0,0.801448,0.166089,0.104317,b
477,12,279,7.93462,-2.98322,0.787043,0,0,1,1,0,0,0.77788,0.25187,0.248826,b
478,12,4,5.97651,-0.4282,1.13711,0,0,1,0,1,-0,0.170134,0.150328,0.125575,b
479,12,9,9.12023,-0.78783,0.932988,0,1,0,0,0,1,0.435791,0.322638,0.246592,b
480,12,9,9.25227,-1.17367,0.746858,-1,2.22045e-16,0,2.22045e-16,1,0,0.232783,0.230723,0.225523,b
481,12,4,7.71553,-4.05967,1.5107,0,1,0,0,0,1,0.309934,0.252076,0.0717685,b
482,12,9,8.86774,-0.48573,0.808282,0,1,0,0,0,1,0.281807,0.198533,0.174123,b
483,12,1,6.82879,-5.11606,1.0682,0,0,1,-1,2.22045e-16,0,1.05012,0.148915,0.0813932,b
485,12,78,8.60423,0.487353,0.271879,-1,2.22045e-16,0,2.22045e-16,1,0,0.907888,0.270098,0.253291,b
