object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
63,6,-1,4.00772,-4.79534,3.15887,-1,2.22045e-16,0,2.22045e-16,1,0,7.05651,6.12277,5.60721,l
200,6,3,4.60348,-4.79913,0.135888,0,1,0,1,-0,0,2.96392,2.30645,0.142251,l
201,6,340,2.60978,-4.05236,1.34552,0,0,1,-0.382683,-0.92388,0,0.394279,0.222934,0.12446,l
202,6,36,5.33899,-6.85732,0.718302,0.92388,0.382683,0,-0,0,1,0.24703,0.207636,0.188394,l
203,6,566,2.49871,-4.84559,1.8604,0,1,0,0,0,1,3.01235,1.84113,0.286003,l
204,6,28,5.3039,-3.1124,0.45365,0,1,0,1,-0,0,0.660798,0.44055,0.417408,l
205,6,566,6.772,-4.85548,1.8531,0,1,0,0,0,1,3.01982,1.83509,0.312548,l
206,6,14,2.69123,-4.9569,0.545774,0,1,0,0,0,1,1.09739,0.539422,0.364842,l
207,6,18,2.76606,-6.30899,0.979149,0,0,1,-1,2.22045e-16,0,0.972927,0.259023,0.254189,l
208,6,6,5.38171,-6.91077,0.613181,0,0,1,-0.382683,0.92388,0,0.580657,0.550516,0.47297,l
209,6,110,4.6418,-4.85339,3.52302,0.382683,0.92388,0,-0.92388,0.382683,0,0.531251,0.52322,0.158901,l
210,6,36,6.40244,-4.30935,0.796616,0,1,0,1,-0,0,0.435445,0.187541,0.159822,l
211,6,6,3.89015,-6.67481,0.488031,0,0,1,-0.707107,0.707107,0,0.449794,0.313161,0.252706,l
212,6,28,4.3522,-3.07166,0.467852,2.22045e-16,1,0,-1,2.22045e-16,0,0.652107,0.544963,0.430215,l
213,6,36,4.28115,-3.17118,0.458488,1,0,0,0,1,0,0.293091,0.164724,0.121857,l
214,6,169,6.41338,-3.675,1.24254,0,0,1,1,0,0,0.307848,0.287221,0.113708,l
215,6,14,4.6193,-7.02578,0.523273,0,0,1,0,1,-0,0.479743,0.247555,0.239995,l
216,6,105,2.42131,-5.21167,1.74575,2.22045e-16,1,0,-0,0,1,2.33652,1.72564,0.139645,l
217,6,36,6.22864,-5.05684,0.703889,2.22045e-16,1,0,-1,2.22045e-16,0,1.00621,0.259337,0.231979,l
218,6,23,6.26675,-5.03851,0.533485,0,1,0,1,-0,0,1.22733,0.653327,0.502,l
219,6,340,2.74463,-4.40093,1.35543,0,0,1,0,1,-0,0.406143,0.321052,0.108219,l
220,6,14,4.81535,-5.02191,0.399227,0,1,0,1,-0,0,0.588781,0.517342,0.369421,l
221,6,6,2.67787,-3.42911,0.486486,0,0,1,1,0,0,0.47678,0.334477,0.304574,l
222,6,1464,2.50745,-5.16808,1.19801,0,1,0,0,0,1,0.466577,0.321138,0.142306,l
223,6,39,5.85355,-4.44416,1.84171,2.22045e-16,1,0,-0,0,1,2.6386,1.82301,1.2282,l
224,6,36,6.45708,-5.77145,0.91178,2.22045e-16,1,0,-1,2.22045e-16,0,0.446093,0.190557,0.103989,l
225,6,14,6.48443,-3.63723,0.537443,0,0,1,1,0,0,0.50753,0.425758,0.398145,l
226,6,36,5.33495,-3.01535,0.70584,1,0,0,-0,0,1,0.347618,0.222462,0.196539,l
227,6,44,6.7873,-6.43631,0.703124,0,1,0,1,-0,0,0.180859,0.121392,0.0783113,l
228,6,14,6.43196,-6.60277,0.448819,1,0,0,0,1,0,0.477911,0.462765,0.418765,l
229,6,18,6.43782,-6.40841,1.25551,0,0,1,-0.382683,0.92388,0,0.593616,0.256154,0.24944,l
230,6,32,6.69862,-7.12892,0.303443,0,0,1,-1,2.22045e-16,0,0.258897,0.238321,0.185845,l
231,6,36,6.43923,-5.03209,0.728385,0,1,0,0,0,1,0.372061,0.232139,0.198724,l
232,6,36,4.29485,-2.95416,0.693253,1,0,0,-0,0,1,0.35691,0.221554,0.187935,l
233,6,44,6.38065,-6.76016,0.689764,1,0,0,0,1,0,0.172489,0.0666101,0.0645421,l
234,6,36,5.36136,-3.21974,0.520464,-1,2.22045e-16,0,0,0,1,0.28333,0.154513,0.0927101,l
235,6,332,5.0956,-6.44533,0.155322,0.92388,0.382683,0,-0.382683,0.92388,0,0.241947,0.178315,0.122993,l
