object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
82,5,0,-4.6591,-2.40701,1.04361,0,1,0,1,-0,0,1.1153,1.06606,1.05629,a
83,5,22,-5.33592,-2.51152,1.17491,0,0,1,0,1,-0,0.686081,0.284226,0.250691,a
84,5,39,-4.76911,-2.24378,1.03018,1,0,0,-0,0,1,1.18014,1.03823,1.00595,a
86,5,27,-4.84064,-2.66495,0.40977,-0.92388,0.382683,0,0,0,1,0.437872,0.416148,0.296667,a
87,5,119,-5.3594,-1.85775,0.939082,0,0,1,0,1,-0,0.916286,0.316475,0.290693,a
88,5,2,-4.65857,-2.47098,2.11329,1,0,0,0,1,0,1.06117,1.02999,0.105793,a
89,5,19,-4.06379,-1.52168,1.49442,0,0,1,1,0,0,0.431112,0.420279,0.0746503,a
90,5,11,-4.20804,-2.24449,2.16226,0,1,0,1,-0,0,0.476075,0.281868,0.0570376,a
91,5,3,-4.32374,-2.50019,0.0117959,2.22045e-16,1,0,-1,2.22045e-16,0,1.00677,0.811182,0.032212,a
92,5,12,-4.16337,-1.87178,0.413081,-0.92388,0.382683,0,0,0,1,0.533817,0.420386,0.217596,a
93,5,21,-4.10391,-1.7131,0.762538,-1,2.22045e-16,0,2.22045e-16,1,0,0.490892,0.253155,0.101804,a
94,5,11,-4.07502,-1.54058,1.89431,-1,2.22045e-16,0,2.22045e-16,1,0,0.364625,0.10108,0.0834342,a
95,5,1,-3.62579,-3.12022,1.01044,0,0,1,0,1,-0,1.02401,0.352397,0.13176,a
96,5,113,-4.3833,-2.85958,0.195173,0.382683,0.92388,0,-0,0,1,0.215629,0.207721,0.152366,a
97,5,50,-4.6788,-1.62562,0.158861,0,0,1,1,0,0,0.160627,0.14796,0.143797,a
98,5,184,-4.51662,-3.18291,0.924367,-0.92388,0.382683,0,0.382683,0.92388,0,0.102271,0.0542922,0.0481501,a
