object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
0,0,39,1.87888,-0.87124,1.00557,0,0,1,-0.707107,0.707107,0,1.2021,1.0273,0.885213,c
1,0,2,1.66915,-0.660359,2.11391,-0.707107,0.707107,0,-0.707107,-0.707107,0,0.66705,0.607076,0.0843422,c
2,0,797,1.9489,0.0977233,1.14375,0,0,1,-0.707107,0.707107,0,1.0172,0.326095,0.0936493,c
3,0,89,1.97002,-1.77099,1.10173,0,0,1,-0.707107,0.707107,0,1.0857,0.339112,0.324966,c
4,0,1,2.20222,-0.47666,1.08508,0,0,1,0,1,-0,1.07026,0.417996,0.145858,c
5,0,89,1.59719,-1.12653,1.0985,0,0,1,-0.92388,0.382683,0,1.08705,0.472749,0.245038,c
6,0,7,2.68607,-1.00249,1.10306,0,0,1,-0.707107,0.707107,0,1.08786,0.506429,0.126724,c
7,0,1251,1.68265,-0.279987,0.986289,0,0,1,0.707107,0.707107,-0,0.729001,0.365554,0.270412,c
8,0,0,1.29951,-0.459754,1.09844,0,0,1,0.382683,0.92388,-0,1.07534,0.626267,0.354902,c
9,0,2,2.47569,-1.14696,2.11858,0,1,0,1,-0,0,1.08111,0.585722,0.11364,c
10,0,89,1.44417,-0.327111,1.1915,0,0,1,-0.707107,-0.707107,0,0.90684,0.404499,0.187013,c
11,0,8,1.96287,-1.82722,1.89497,-0.707107,0.707107,0,0,0,1,0.311279,0.28869,0.279619,c
12,0,10,2.06773,-1.90013,1.82646,0.382683,0.92388,0,-0,0,1,0.293401,0.284017,0.223322,c
13,0,171,2.34316,-0.539432,1.16161,0,0,1,-0.707107,0.707107,0,1.02445,0.354379,0.0568739,c
14,0,7,2.11378,-1.01563,1.06109,0,0,1,-0.707107,-0.707107,0,1.04552,0.387679,0.11335,c
15,0,290,1.4837,-0.406296,2.00689,-0.707107,-0.707107,0,0,0,1,0.253105,0.157287,0.12324,c
18,0,3,1.83798,-1.12493,0.0261971,-0.707107,0.707107,0,0.707107,0.707107,0,1.00839,0.670763,0.0598045,c
