object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
132,8,0,8.84114,-1.02549,1.46393,0,0,1,0.707107,0.707107,-0,1.50088,0.714711,0.646291,e
133,8,39,6.26888,-3.37642,1.384,1,0,0,0,1,0,3.12244,2.88894,1.56947,e
134,8,7,3.24749,-5.40992,1.34017,0,0,1,0,1,-0,1.35899,0.710956,0.101057,e
135,8,5,5.50957,-6.08109,1.2337,1,0,0,-0,0,1,2.25651,1.42918,0.236758,e
136,8,6,8.90312,-1.17912,0.371203,0,0,1,0,1,-0,0.401155,0.333082,0.326978,e
137,8,0,9.20993,-0.611914,1.75623,0,0,1,1,0,0,0.851586,0.24794,0.111712,e
138,8,3,6.2839,-3.61235,-0.0146064,1,0,0,0,1,0,3.09775,2.80496,0.180872,e
139,8,271,4.81813,-1.98711,1.86819,-1,2.22045e-16,0,0,0,1,1.36426,0.830917,0.123323,e
140,8,13,7.99287,-5.83383,1.30519,0,0,1,-0.92388,-0.382683,0,1.32629,0.43668,0.172817,e
141,8,4,8.64849,-0.949306,1.66048,0,0,1,1,0,0,0.744268,0.599764,0.14034,e
142,8,77,5.23988,-1.96759,1.51876,-1,2.22045e-16,0,0,0,1,1.81493,1.01571,0.167157,e
143,8,0,5.07599,-2.01059,-0.221947,-1,2.22045e-16,0,2.22045e-16,1,0,1.25191,0.0973585,0.0821672,e
144,8,0,5.79908,-5.87288,2.77399,-1,2.22045e-16,0,0,0,1,2.59933,0.189753,0.107309,e
145,8,6,8.48922,-1.24286,0.376734,0,0,1,1,0,0,0.399045,0.388074,0.35474,e
146,8,67,5.95236,-1.92663,-0.197649,1,0,0,0,1,0,0.390503,0.172418,0.0959602,e
162,8,271,5.45299,-1.96276,2.25662,-1,2.22045e-16,0,0,0,1,2.64531,1.26414,0.182011,e
