object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
46,3,3,-0.852859,2.00099,0.0275109,1,0,0,0,1,0,1.31026,1.01881,0.0536729,a
47,3,39,-1.31001,1.8769,1.36905,1,0,0,-0,0,1,1.79562,1.36317,1.18325,a
48,3,1,0.394751,2.17397,1.22477,0,0,1,0,1,-0,1.19446,0.411996,0.0734037,a
50,3,70,-0.0261239,1.34104,0.629952,-1,2.22045e-16,0,0,0,1,0.489089,0.310546,0.27836,a
51,3,0,-1.32245,0.982043,1.28304,-1,2.22045e-16,0,0,0,1,1.78705,1.26422,0.106404,a
52,3,27,-0.398401,1.33115,0.264126,-1,2.22045e-16,0,2.22045e-16,1,0,0.606671,0.284392,0.232046,a
53,3,2,-1.31069,2.00486,2.52826,1,0,0,0,1,0,1.79361,1.06132,0.0363246,a
54,3,0,-2.01151,1.98637,1.2774,0,0,1,2.22045e-16,1,-0,1.25735,0.391084,0.142284,a
55,3,0,-1.96943,3.02277,1.26635,0,0,1,1,0,0,1.26068,1.13163,0.0437005,a
56,3,0,0.414608,1.75636,1.28679,0,0,1,0,1,-0,1.26321,0.805221,0.0715089,a
57,3,0,-3.05936,2.7148,1.31737,0,0,1,0,1,-0,1.18628,0.298888,0.0476297,a
58,3,0,-2.01813,2.36786,1.27062,0,0,1,-1,2.22045e-16,0,1.255,0.124702,0.040452,a
59,3,0,-3.08286,1.14011,1.31856,0,0,1,2.22045e-16,1,-0,1.18991,0.159278,0.0311332,a
60,3,19,-0.0168279,0.869095,1.90559,0,0,1,-1,2.22045e-16,0,0.628556,0.484385,0.143012,a
61,3,0,-0.232283,2.57127,1.29722,0,0,1,-1,2.22045e-16,0,1.26713,0.647434,0.0289675,a
62,3,0,-0.859281,2.80556,1.2875,0,0,1,0,1,-0,1.25538,0.247427,0.0215251,a
63,3,94,-1.70923,1.91676,0.259536,0,0,1,0,1,-0,0.244858,0.22564,0.193741,a
64,3,20,0.401057,1.68432,1.01163,0,0,1,2.22045e-16,1,-0,0.122267,0.114214,0.0646477,a
65,3,0,-0.128306,0.780001,2.14915,0,0,1,1,0,0,0.592842,0.580416,0.0878692,a
66,3,20,-1.24561,2.88633,1.02667,0,0,1,1,0,0,0.174934,0.141232,0.0525681,a
67,3,184,-1.16525,1.1258,0.650667,0,0,1,1,0,0,0.0881156,0.0712925,0.0549279,a
68,3,167,-1.93669,1.322,0.163012,0,1,0,1,-0,0,0.330107,0.286598,0.0445454,a
69,3,3,-2.56938,1.99761,0.103249,0,1,0,1,-0,0,1.02187,0.507002,0.0973664,a
