object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
59,3,23,-8.34763,2.93483,2.92848,0,1,0,1,-0,0,0.777251,0.457488,0.426167,b
60,3,39,-6.40481,3.04029,3.65639,1,0,0,0,1,0,2.65554,1.86706,1.17238,b
61,3,25,-6.43701,2.35624,2.88713,0,1,0,1,-0,0,1.09878,0.820352,0.371968,b
62,3,0,-6.27696,4.7561,3.66423,-1,2.22045e-16,0,0,0,1,2.54264,1.16311,0.0313246,b
63,3,8,-5.48128,1.46783,3.67138,0,0,1,-1,2.22045e-16,0,1.12187,0.86423,0.189731,b
64,3,6,-5.14019,4.45778,2.91738,0,0,1,1,0,0,0.376422,0.345212,0.329007,b
65,3,76,-6.35121,4.46696,2.96791,-1,2.22045e-16,0,0,0,1,0.90836,0.45492,0.301898,b
66,3,3,-6.25141,2.95786,2.60833,1,0,0,0,1,0,2.52198,1.80139,0.124318,b
67,3,89,-3.76564,3.54451,3.69071,0,1,0,0,0,1,1.22922,1.13662,0.0502231,b
68,3,5,-5.06638,4.80422,4.12481,-1,2.22045e-16,0,0,0,1,0.746871,0.702518,0.0777979,b
69,3,2,-8.22137,3.00823,4.50121,2.22045e-16,1,0,-1,2.22045e-16,0,1.75191,0.614132,0.155632,b
70,3,5,-6.293,1.28833,3.96651,-1,2.22045e-16,0,0,0,1,1.48201,0.668741,0.0826568,b
71,3,5,-8.88804,2.97955,3.855,0,1,0,0,0,1,1.21947,0.527473,0.127736,b
72,3,2,-7.38429,3.03051,4.72333,2.22045e-16,1,0,-1,2.22045e-16,0,1.7296,0.24898,0.0922692,b
73,3,4,-6.07076,4.75023,3.94812,0,0,1,-1,2.22045e-16,0,0.318367,0.263342,0.0181682,b
74,3,0,-6.81086,1.3091,3.56286,1,0,0,-0,0,1,2.02234,1.04763,0.0618495,b
75,3,4,-8.08925,4.75289,3.79719,1,0,0,-0,0,1,0.24507,0.194619,0.0178964,b
76,3,1,-4.08555,1.55108,3.61342,0,0,1,-0.707107,0.707107,0,1.06511,0.422771,0.109026,b
77,3,4,-7.57027,4.7492,4.01505,1,0,0,-0,0,1,0.217668,0.18355,0.0198135,b
78,3,4,-7.05521,4.74875,4.3008,0,0,1,1,0,0,0.240373,0.206105,0.0181065,b
79,3,4,-5.16653,1.26039,4.049,-1,2.22045e-16,0,0,0,1,0.183162,0.160246,0.00838834,b
80,3,9,-6.45728,1.60447,3.35073,1,0,0,0,1,0,0.662258,0.384565,0.206209,b
82,3,26,-7.629,1.55323,2.86331,0,0,1,2.22045e-16,1,-0,0.364247,0.285339,0.241847,b
83,3,4,-8.7993,4.46146,3.9346,0,0,1,0,1,-0,0.286249,0.240497,0.0201473,b
84,3,4,-6.07791,4.75089,4.46108,1,0,0,-0,0,1,0.236099,0.194621,0.016773,b
85,3,4,-7.04941,4.74853,3.8086,0,0,1,-1,2.22045e-16,0,0.240373,0.223347,0.0188093,b
86,3,7,-3.73183,1.79947,3.67292,0,0,1,0,1,-0,1.11778,0.546597,0.0963748,b
87,3,4,-8.09683,4.7528,4.1967,-1,2.22045e-16,0,0,0,1,0.2404,0.193533,0.016288,b
88,3,4,-8.25762,1.27812,3.9877,0,0,1,-1,2.22045e-16,0,0.303543,0.206668,0.0273768,b
89,3,26,-5.22842,1.5508,2.85845,0,0,1,-1,2.22045e-16,0,0.320604,0.235727,0.225686,b
90,3,4,-6.56295,4.74874,3.71678,0,0,1,1,0,0,0.183465,0.1374,0.0200837,b
91,3,4,-6.58382,4.74695,4.42677,0,0,1,1,0,0,0.183276,0.14525,0.0183158,b
92,3,4,-6.57463,4.74197,4.06406,-1,2.22045e-16,0,0,0,1,0.162307,0.123835,0.0138078,b
93,3,4,-8.81616,1.55352,3.92594,0,0,1,2.22045e-16,1,-0,0.340539,0.275538,0.0186262,b
94,3,4,-8.56039,4.75257,3.94475,0,0,1,-1,2.22045e-16,0,0.227884,0.188879,0.0165708,b
152,3,0,-4.08511,1.22337,4.1082,-1,2.22045e-16,0,0,0,1,1.84905,1.74842,0.178991,b
337,3,39,-8.2831,3.82243,2.51101,0,1,0,1,-0,0,0.940587,0.508013,0.0392113,b
339,3,2,-8.42485,3.07117,2.31315,0,1,0,1,-0,0,1.75757,0.602898,0.0255485,b
406,3,2,-5.68063,3.08717,2.25251,-1,2.22045e-16,0,2.22045e-16,1,0,1.90478,1.68945,0.10441,b
423,3,49,-6.21888,1.35554,1.65916,1,0,0,-0,0,1,1.43872,0.691268,0.0614176,b
430,3,0,-6.28439,3.08881,1.65612,2.22045e-16,1,0,-1,2.22045e-16,0,1.75023,1.40032,0.674067,b
433,3,66,-6.83263,3.14282,2.21835,0.92388,0.382683,0,-0.382683,0.92388,0,0.55074,0.47936,0.130864,b
471,3,1,-4.21899,1.23356,3.65613,0,0,1,-1,2.22045e-16,0,1.11338,0.416516,0.13288,b
