object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
538,25,39,-15.6888,3.07997,1.23286,0,1,0,0,0,1,1.68507,1.24857,1.10613,j
540,25,1657,-14.6808,3.08441,1.36865,0,1,0,0,0,1,1.67774,1.35896,0.0584173,j
541,25,74,-16.4904,3.07204,1.58823,0,1,0,0,0,1,0.826924,0.692088,0.299041,j
542,25,2,-15.7148,3.07818,2.71896,0,1,0,1,-0,0,1.69996,1.08684,0.0323383,j
543,25,229,-16.4697,3.06673,1.24453,0,1,0,0,0,1,1.68985,1.25074,0.301991,j
544,25,229,-14.8235,2.46617,1.78545,2.22045e-16,1,0,-0,0,1,1.07108,0.50049,0.188509,j
545,25,1657,-16.7564,3.07145,2.50878,0,1,0,0,0,1,1.69541,0.224199,0.0465403,j
546,25,1,-15.0937,4.66097,1.13582,0,0,1,1,0,0,1.12697,0.523878,0.118354,j
547,25,42,-15.5786,1.41003,1.73203,1,0,0,-0,0,1,0.42995,0.32668,0.0167551,j
550,25,1657,-15.6951,3.05675,1.36202,0,1,0,0,0,1,1.68536,1.36213,1.06823,j
551,25,1657,-15.7277,4.74297,1.3684,0,0,1,-1,2.22045e-16,0,1.3605,1.0716,0.04036,j
552,25,47,-16.618,2.57474,0.932226,0.382683,0.92388,0,-0.92388,0.382683,0,0.22723,0.162351,0.0195819,j
553,25,1438,-14.8145,3.40098,1.17369,0,0,1,0,1,-0,0.0987685,0.0762023,0.0627818,j
554,25,21,-15.0456,2.47128,0.741177,0,1,0,1,-0,0,0.351747,0.246743,0.174492,j
555,25,1438,-14.7708,3.20967,1.11676,0,0,1,1,0,0,0.17248,0.133195,0.091812,j
556,25,1438,-14.8143,2.96543,1.18537,0,0,1,0,1,-0,0.104342,0.0766779,0.0712967,j
557,25,10,-16.5478,3.06019,1.09246,0,1,0,1,-0,0,0.344571,0.179787,0.179765,j
