object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
50,2,39,-0.0879486,-2.62689,1.64679,-1,2.22045e-16,0,2.22045e-16,1,0,4.1247,3.10397,2.43563,n
51,2,2,-0.0743239,-3.09442,3.057,1,0,0,0,1,0,4.1017,2.59245,1.03576,n
52,2,12,-3.65646,-4.5753,0.108799,2.22045e-16,1,0,-0,0,1,1.11124,0.665902,0.436033,n
53,2,29,-2.15786,-1.27213,1.79201,0,0,1,-0.707107,0.707107,0,2.13995,0.213716,0.202758,n
54,2,0,-3.7615,-3.31271,1.73836,0,0,1,0.382683,0.92388,-0,2.26494,2.25075,0.663961,n
55,2,88,1.77198,-3.96548,-0.306409,-0.92388,0.382683,0,0.382683,0.92388,0,0.378296,0.333026,0.224521,n
56,2,6,-1.58747,-3.37265,-0.0192912,-0.382683,0.92388,0,0,0,1,0.544047,0.526652,0.436746,n
57,2,29,1.35935,-5.49394,1.28018,0,0,1,1,0,0,1.84986,0.880819,0.241101,n
58,2,0,3.7284,-2.63152,1.76952,2.22045e-16,1,0,-0,0,1,3.11829,2.34247,0.34309,n
59,2,29,-2.55831,-5.58952,1.26484,0,0,1,-0.92388,0.382683,0,1.81114,0.216668,0.119737,n
60,2,7,-3.79696,-2.76278,1.23837,0,0,1,2.22045e-16,1,-0,1.07088,0.549778,0.192498,n
61,2,14,-2.91862,-1.66707,-0.0893287,-1,2.22045e-16,0,2.22045e-16,1,0,0.722234,0.623464,0.454732,n
62,2,14,-0.838061,-4.21827,-0.273336,-0.92388,0.382683,0,0.382683,0.92388,0,0.496416,0.383208,0.273148,n
63,2,25,2.38474,-3.82016,-0.0547692,0.382683,0.92388,0,-0.92388,0.382683,0,1.10187,0.500252,0.49595,n
64,2,15,-0.795878,-4.35298,0.134049,-0.707107,0.707107,0,0.707107,0.707107,0,0.258627,0.224082,0.143851,n
65,2,29,1.90486,-0.90794,1.66724,0,0,1,0.92388,0.382683,-0,2.1938,0.28778,0.268334,n
66,2,20,1.05911,-4.06631,-0.0578267,-0.382683,0.92388,0,0.92388,0.382683,0,0.196015,0.0973484,0.0589973,n
68,2,6,-0.631691,-3.2056,-0.0168484,2.22045e-16,1,0,-0,0,1,0.58813,0.529402,0.517569,n
69,2,3,-0.137521,-5.53623,-0.709418,-1,2.22045e-16,0,2.22045e-16,1,0,1.29206,0.160135,0.0837983,n
70,2,6,-2.72479,-1.52099,0.0315873,0,0,1,0,1,-0,0.55898,0.339474,0.280703,n
71,2,25,1.18125,-3.55448,-0.0465784,2.22045e-16,1,0,-1,2.22045e-16,0,1.11191,0.527303,0.482006,n
72,2,1,3.59912,-3.26131,0.480508,0,0,1,2.22045e-16,1,-0,1.02645,0.510519,0.0518248,n
73,2,31,-0.136086,-1.25473,-0.157195,1,0,0,0,1,0,2.23343,0.669725,0.388837,n
74,2,10,-3.2387,-1.22364,0.511923,1,0,0,-0,0,1,0.2192,0.210159,0.143405,n
75,2,1,-3.9212,-2.73709,1.28159,0,0,1,2.22045e-16,1,-0,0.956313,0.48648,0.0653894,n
76,2,3,0.0509924,-2.72966,-0.535404,-1,2.22045e-16,0,2.22045e-16,1,0,3.81668,3.01657,0.151803,n
77,2,20,2.35486,-4.17388,-0.0749212,-0.707107,0.707107,0,-0.707107,-0.707107,0,0.187764,0.118734,0.0608569,n
