object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
85,2,0,-8.53108,-10.2225,1.37309,-0.92388,0.382683,0,0,0,1,3.20133,1.84645,0.705147,s
86,2,71,-9.13891,-9.31943,0.243935,-0.92388,-0.382683,0,-0.382683,0.92388,0,1.60644,1.37099,0.947645,s
87,2,3,-8.94881,-7.70608,-0.0916651,0.92388,0.382683,0,-0.382683,0.92388,0,1.90068,0.433471,0.143152,s
88,2,11,-8.41907,-9.44589,2.55919,0,0,1,0.92388,0.382683,-0,0.971566,0.55397,0.51943,s
89,2,33,-10.1022,-8.00709,0.593021,0,0,1,0.92388,0.382683,-0,0.512935,0.29053,0.172368,s
90,2,0,-6.33597,-9.0459,-0.0340048,-0.382683,0.92388,0,0,0,1,2.01024,1.07854,0.141182,s
91,2,2,-8.34013,-9.57466,3.28825,-0.382683,0.92388,0,0.92388,0.382683,0,2.3636,2.21463,0.219843,s
92,2,53,-7.16083,-6.96489,1.55737,0,0,1,-0.382683,0.92388,0,1.62596,0.397374,0.109509,s
93,2,39,-8.34743,-9.65233,1.17605,-0.382683,0.92388,0,0,0,1,2.30741,2.30717,2.21903,s
94,2,110,-8.2801,-9.1684,3.09506,-0.92388,0.382683,0,0.382683,0.92388,0,0.711828,0.361669,0.193218,s
95,2,120,-6.12307,-9.39611,0.627113,0,0,1,-0.382683,0.92388,0,0.139141,0.0434898,0.0376534,s
96,2,31,-7.53306,-8.60955,-0.742866,-0.382683,0.92388,0,0.92388,0.382683,0,1.03434,0.910474,0.583198,s
