object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
543,25,0,0.283515,15.3074,1.51481,0,1,0,0,0,1,2.65801,1.53992,0.966335,h
544,25,329,0.312869,15.2444,2.93592,0,1,0,1,-0,0,2.2532,0.843691,0.0778109,h
545,25,14,-0.290503,14.5491,0.510968,0,1,0,0,0,1,0.845357,0.518979,0.246258,h
546,25,3,0.292918,15.1667,0.0241048,0,1,0,1,-0,0,2.5172,0.93614,0.0524708,h
547,25,12,0.0870461,17.7481,0.587618,0,0,1,1,0,0,0.590333,0.545124,0.200316,h
548,25,1,1.19463,13.7795,1.23983,0,0,1,0,1,-0,1.24185,0.502409,0.0400441,h
549,25,62,-0.51214,15.5242,1.5994,0,0,1,0,1,-0,0.297852,0.256608,0.0153522,h
550,25,62,-0.500779,13.9195,1.61906,0,1,0,0,0,1,0.280962,0.238819,0.0277405,h
551,25,62,1.14625,14.7633,1.46735,0,0,1,2.22045e-16,1,-0,0.384929,0.360745,0.0427606,h
552,25,62,-0.501982,14.685,1.60737,2.22045e-16,1,0,-0,0,1,0.349831,0.295453,0.0262247,h
553,25,62,0.682508,15.7064,1.57631,0,1,0,0,0,1,0.325993,0.264801,0.0237574,h
554,25,150,-0.224014,17.8732,1.71795,0,0,1,1,0,0,0.180368,0.149468,0.105957,h
555,25,39,0.34285,15.5727,1.48982,0,1,0,0,0,1,2.40385,1.5042,0.873672,h
556,25,11,0.0820804,16.8523,2.80134,0,1,0,1,-0,0,0.227985,0.227536,0.058419,h
557,25,200,0.424444,17.7967,1.1652,0,1,0,1,-0,0,0.143606,0.123667,0.0473536,h
558,25,11,0.10437,14.0554,2.81074,0,1,0,1,-0,0,0.252606,0.21843,0.0529921,h
