object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
0,0,0,-2.51056,-8.39683,1.24412,1,0,0,-0,0,1,1.53427,1.23091,0.0745912,a
1,0,2,-2.52283,-7.6952,2.46667,1,0,0,0,1,0,1.53042,0.750351,0.0454652,a
2,0,119,-3.26885,-7.708,1.08073,0,0,1,2.22045e-16,1,-0,1.03962,0.752076,0.0689367,a
3,0,1,-1.35232,-8.32201,1.04868,0,0,1,-0.92388,0.382683,0,1.04678,0.351669,0.117089,a
4,0,0,-2.51047,-6.98689,1.28132,-1,2.22045e-16,0,0,0,1,1.54239,1.19315,0.0752845,a
5,0,3,-2.12017,-7.87493,0.0549109,1,0,0,0,1,0,1.21627,0.576169,0.0550448,a
6,0,27,-2.97719,-7.28536,0.413707,0,0,1,0,1,-0,0.398828,0.36184,0.338724,a
7,0,16,-2.84058,-7.05787,1.8751,1,0,0,-0,0,1,0.414653,0.151663,0.11968,a
8,0,64,-2.80127,-8.36656,0.753112,1,0,0,-0,0,1,0.0619447,0.0464408,0.0438423,a
9,0,0,-1.00488,-7.68372,1.64894,0,0,1,0,1,-0,0.813073,0.752923,0.0362964,a
10,0,19,-1.76014,-6.86189,1.6777,1,0,0,-0,0,1,0.782817,0.560129,0.196087,a
11,0,56,-1.85215,-7.42611,0.571961,-0.92388,0.382683,0,0,0,1,0.90001,0.569439,0.324889,a
12,0,21,-1.75895,-7.20597,0.891577,1,0,0,-0,0,1,0.790453,0.403476,0.293968,a
13,0,155,-3.37464,-7.70977,2.06786,0,1,0,1,-0,0,0.730045,0.150659,0.0974858,a
15,0,39,-2.50907,-7.53572,1.22233,1,0,0,-0,0,1,1.53621,1.2185,0.909317,a
16,0,20,-2.8165,-8.38113,1.26151,0,0,1,1,0,0,0.381748,0.288322,0.084918,a
17,0,20,-1.03288,-7.28086,1.49087,0,1,0,0,0,1,0.233218,0.192453,0.0593311,a
18,0,22,-2.84834,-7.05501,1.57465,1,0,0,-0,0,1,0.447144,0.242472,0.125115,a
19,0,0,-0.987066,-7.31281,1.67158,0,0,1,0,1,-0,0.790702,0.394123,0.0192713,a
20,0,0,-3.99025,-7.7013,2.33877,2.22045e-16,1,0,-0,0,1,0.73867,0.13734,0.0733509,a
21,0,192,-2.36026,-7.05032,0.975451,0,0,1,-0.707107,0.707107,0,0.0910476,0.0671101,0.0399128,a
