object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
0,0,25,-12.9428,-4.47559,3.71775,-1,2.22045e-16,0,2.22045e-16,1,0,1.15347,1.03932,0.837262,b
1,0,0,-11.9201,-2.55534,4.03795,-1,2.22045e-16,0,0,0,1,2.17053,1.16276,0.0581656,b
2,0,0,-11.9065,-6.74006,4.0532,1,0,0,-0,0,1,2.17024,1.17123,0.0829711,b
3,0,5,-11.2919,-6.73436,4.01085,0,0,1,1,0,0,1.12898,1.0399,0.138106,b
4,0,43,-11.9101,-4.66102,4.95926,1,0,0,0,1,0,2.16323,2.12439,0.266603,b
5,0,89,-9.7087,-5.73118,3.92881,0,0,1,0,1,-0,1.04584,1.00482,0.0520434,b
6,0,3,-11.8886,-4.64083,2.94967,1,0,0,0,1,0,2.21807,2.16128,0.0904703,b
7,0,22,-10.0021,-4.27331,3.83867,0,0,1,0,1,-0,0.958698,0.513059,0.281943,b
8,0,0,-13.9796,-4.6696,3.79305,0,1,0,0,0,1,2.13519,0.913887,0.14168,b
9,0,0,-9.75732,-4.68667,4.04454,0,1,0,0,0,1,2.09984,1.1747,0.0514011,b
10,0,9,-13.6331,-4.34442,3.91511,2.22045e-16,1,0,-1,2.22045e-16,0,0.666944,0.396772,0.295502,b
11,0,26,-13.8535,-3.11418,3.2987,0,0,1,0,1,-0,0.4096,0.409056,0.253875,b
12,0,18,-10.1757,-6.59077,3.95894,0,0,1,-0.382683,0.92388,0,0.373814,0.274743,0.206852,b
13,0,1,-9.81395,-2.96174,3.92937,0,0,1,0,1,-0,1.06012,0.433887,0.0903001,b
14,0,22,-13.5236,-6.13794,3.46186,-0.707107,0.707107,0,0,0,1,0.730775,0.582213,0.332505,b
15,0,8,-12.0066,-2.73162,4.67318,0,0,1,1,0,0,0.415688,0.389285,0.100191,b
17,0,39,-11.9026,-4.63337,3.97908,1,0,0,0,1,0,2.18307,2.17175,1.11171,b
18,0,18,-13.8841,-3.1793,3.83183,0,0,1,0.382683,0.92388,-0,0.233251,0.200407,0.197945,b
19,0,4,-12.0561,-2.56099,4.42763,0,0,1,1,0,0,0.345052,0.269729,0.0136745,b
20,0,15,-13.2646,-6.48311,4.1732,0,0,1,-0.707107,0.707107,0,0.188266,0.151537,0.0745546,b
374,0,2,-11.2943,-4.31511,2.39225,0,1,0,1,-0,0,3.72076,2.74161,0.121088,b
395,0,37,-13.8183,-5.45479,1.94459,0,1,0,0,0,1,0.650455,0.458254,0.139953,b
