object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
606,25,3,-5.31882,-10.1429,3.98804,0,1,0,1,-0,0,2.97037,2.84589,0.183821,n
607,25,23,-7.72559,-9.91049,4.22844,2.22045e-16,1,0,-1,2.22045e-16,0,0.948054,0.551239,0.418702,n
608,25,2,-5.33057,-10.0096,6.72195,1,0,0,0,1,0,2.88617,2.78253,0.243178,n
609,25,5,-8.23228,-9.99099,4.93324,0,1,0,0,0,1,1.54129,1.12486,0.107106,n
610,25,4,-3.48911,-7.2507,5.72306,1,0,0,-0,0,1,0.514555,0.401063,0.071177,n
611,25,0,-5.32199,-12.7627,5.22214,-1,2.22045e-16,0,0,0,1,2.85724,1.40109,0.0606427,n
612,25,89,-4.72335,-12.4828,4.80842,0,0,1,-1,2.22045e-16,0,0.973348,0.542721,0.308509,n
613,25,0,-5.31328,-7.40907,5.32131,-1,2.22045e-16,0,0,0,1,2.89293,1.49989,0.261068,n
614,25,46,-5.52246,-10.0394,4.12339,-1,2.22045e-16,0,2.22045e-16,1,0,0.714081,0.586177,0.300206,n
615,25,39,-5.40401,-10.1388,4.89683,0,1,0,1,-0,0,2.97613,2.93387,1.08558,n
616,25,4,-5.66543,-7.21933,5.62437,0,0,1,1,0,0,0.617808,0.553706,0.0552032,n
617,25,23,-5.26854,-8.45411,4.29537,1,0,0,0,1,0,1.48235,0.581504,0.471842,n
618,25,15,-3.54317,-8.57092,4.7156,0,0,1,1,0,0,0.892896,0.691254,0.417246,n
619,25,33,-3.52111,-10.6312,4.28519,2.22045e-16,1,0,-1,2.22045e-16,0,0.558171,0.50853,0.458911,n
620,25,7,-3.43247,-12.8596,4.99528,0,0,1,1,0,0,1.16145,0.84129,0.105289,n
621,25,0,-8.04092,-9.96699,5.30364,0,1,0,0,0,1,2.80042,1.49,0.29695,n
622,25,8,-3.65462,-12.6635,4.95097,0,0,1,-0.382683,0.92388,0,0.99734,0.31746,0.130375,n
623,25,33,-7.801,-12.0031,4.45163,0,0,1,0,1,-0,0.647408,0.63331,0.390188,n
624,25,33,-3.53012,-9.63112,4.29155,0,1,0,1,-0,0,0.538415,0.521959,0.457535,n
625,25,6,-7.82329,-8.07119,4.47572,0,0,1,1,0,0,0.612752,0.391838,0.357654,n
626,25,10,-5.50777,-10.1296,4.50027,-0.92388,-0.382683,0,-0.382683,0.92388,0,0.29577,0.19979,0.157402,n
627,25,7,-6.22559,-12.9291,4.97263,0,0,1,-1,2.22045e-16,0,1.15126,1.01928,0.193593,n
628,25,18,-7.92479,-12.4563,4.65591,0,0,1,0.92388,0.382683,-0,0.575803,0.328024,0.239355,n
629,25,18,-7.79151,-7.58435,4.83034,0,0,1,-0.92388,-0.382683,0,0.423209,0.225095,0.117885,n
630,25,40,-6.54567,-12.9341,4.08068,0,0,1,1,0,0,0.258912,0.189157,0.16223,n
631,25,4,-8.14599,-12.3685,5.67002,0,0,1,0,1,-0,0.322409,0.287476,0.0467849,n
