object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
574,25,7,-2.49669,6.85351,4.72852,0,0,1,-1,2.22045e-16,0,1.31644,0.954111,0.0326624,c
599,25,0,-2.62378,9.11154,4.8123,2.22045e-16,1,0,-0,0,1,2.33652,1.39228,1.06527,c
600,25,5,-3.69826,7.7994,5.06776,0,0,1,2.22045e-16,1,-0,0.769833,0.39709,0.179391,c
602,25,22,-3.42421,10.0502,4.72471,0,1,0,0,0,1,1.37754,1.24339,0.257751,c
603,25,39,-2.61693,9.11291,4.80759,0,1,0,0,0,1,2.32938,1.3886,1.04918,c
604,25,1,-2.41948,9.07987,4.67716,0,0,1,0,1,-0,1.24808,0.389778,0.110708,c
605,25,22,-1.98692,10.6609,5.58002,2.22045e-16,1,0,-0,0,1,0.753774,0.59331,0.244141,c
606,25,7,-2.94216,8.64083,4.8167,0,0,1,1,0,0,1.37766,0.682158,0.110801,c
607,25,2,-2.80131,9.22205,6.12278,2.22045e-16,1,0,-1,2.22045e-16,0,2.18136,0.829221,0.0842803,c
608,25,11,-2.75554,9.43144,6.14046,-0.707107,0.707107,0,0.707107,0.707107,0,0.176774,0.169168,0.054013,c
609,25,9,-1.9797,10.8457,4.88434,0,1,0,0,0,1,0.569352,0.317766,0.232675,c
611,25,5,-2.68656,11.4876,5.4354,-1,2.22045e-16,0,0,0,1,0.419826,0.397,0.107257,c
612,25,1,-2.27206,7.41774,4.74979,0,0,1,0.382683,0.92388,-0,1.34127,0.485655,0.208461,c
613,25,11,-2.82759,10.647,6.14852,-0.382683,0.92388,0,0.92388,0.382683,0,0.187806,0.12149,0.0504112,c
614,25,7,-2.96333,6.91944,4.74653,0,0,1,1,0,0,1.32309,0.503997,0.143444,c
615,25,22,-3.47121,7.81287,4.17721,0,1,0,1,-0,0,0.446351,0.13051,0.0737734,c
616,25,10,-3.54156,8.08408,4.52733,0,0,1,0.707107,0.707107,-0,0.228917,0.0347252,0.0241171,c
