object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
34,3,7,11.6691,-14.8998,3.86719,0,0,1,-0.92388,0.382683,0,1.0213,0.0726682,0.03501,a
38,3,0,10.0361,-15.8569,4.05067,1,0,0,0,1,0,1.72688,1.23668,1.21278,a
39,3,1,8.93454,-14.9402,3.84862,0,0,1,-1,2.22045e-16,0,1.01087,0.429044,0.056654,a
40,3,19,11.0473,-15.8752,3.94302,0,0,1,1,0,0,0.91882,0.331001,0.0782099,a
41,3,16,9.75738,-16.9329,4.18384,0,0,1,0,1,-0,0.415288,0.178127,0.174642,a
42,3,56,9.43441,-16.5255,3.30658,1,0,0,-0,0,1,0.908624,0.463423,0.0700626,a
43,3,3,10.0216,-15.5968,2.89086,1,0,0,0,1,0,1.70601,0.970068,0.0556624,a
44,3,1,9.35762,-15.1894,3.85855,0,0,1,0.382683,0.92388,-0,1.01631,0.416541,0.116017,a
45,3,12,9.42895,-17.0042,4.48891,1,0,0,-0,0,1,0.906049,0.722276,0.232158,a
46,3,0,9.42742,-17.0478,4.54601,1,0,0,-0,0,1,0.899435,0.716798,0.188547,a
47,3,2,9.40737,-15.9758,5.21411,2.22045e-16,1,0,-1,2.22045e-16,0,1.10183,0.846924,0.0566642,a
48,3,2,11.0373,-15.279,5.2005,-1,2.22045e-16,0,2.22045e-16,1,0,0.55008,0.518456,0.0729587,a
49,3,346,11.0868,-14.8882,4.04005,0,0,1,-1,2.22045e-16,0,0.776553,0.412397,0.147506,a
50,3,39,9.89206,-16.0276,4.14529,-0.707107,-0.707107,0,0,0,1,1.74944,1.12013,0.741724,a
51,3,21,9.43445,-16.7444,3.66966,1,0,0,0,1,0,0.221814,0.148404,0.0979376,a
52,3,16,9.06962,-16.9586,3.86517,0,1,0,1,-0,0,0.139485,0.132111,0.0915767,a
53,3,20,8.59321,-16.4099,3.792,0,0,1,0,1,-0,0.22483,0.112176,0.0688663,a
54,3,70,9.42839,-16.7707,3.72573,1,0,0,0,1,0,0.898817,0.315267,0.0708948,a
55,3,2,10.258,-17.0613,5.12546,0,1,0,0,0,1,0.164338,0.0829959,0.0530076,a
