object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
125,6,39,-4.32442,4.5999,2.09756,1,0,0,-0,0,1,5.44345,1.68918,0.969651,h
127,6,2,0.000593126,4.57162,3.23508,-1,2.22045e-16,0,2.22045e-16,1,0,1.08577,0.783659,0.255518,h
128,6,0,-5.94459,5.23227,2.62966,0,0,1,1,0,0,1.3235,0.499699,0.163978,h
129,6,0,-5.44755,5.20274,1.84071,0,0,1,0,1,-0,0.395111,0.105033,0.0340676,h
131,6,0,-8.8278,4.24389,2.46087,0,0,1,-0.382683,0.92388,0,1.09974,0.0722787,0.0313354,h
134,6,71,-7.62518,4.29644,-0.368602,1,0,0,-0,0,1,1.82996,1.25438,0.0954726,h
165,6,0,-3.45669,4.1227,0.323825,-1,2.22045e-16,0,0,0,1,0.656537,0.369328,0.0777204,h
411,6,3,-1.96346,0.333034,0.374945,-1,2.22045e-16,0,2.22045e-16,1,0,6.31792,3.35916,0.220961,h
417,6,0,-1.13715,3.7023,3.67122,0,0,1,1,0,0,0.212581,0.101398,0.0304794,h
423,6,0,-7.40431,4.90791,-0.341202,1,0,0,-0,0,1,3.96178,1.40565,0.692605,h
424,6,39,-8.44176,4.96776,-0.318701,1,0,0,-0,0,1,2.92433,1.38245,0.718256,h
425,6,71,-8.41878,4.33249,-0.264456,-1,2.22045e-16,0,0,0,1,1.95179,1.13103,0.0829821,h
428,6,2,-3.86506,4.64526,0.412822,1,0,0,0,1,0,0.376732,0.306825,0.264634,h
429,6,30,-7.32031,4.32953,-0.158694,-1,2.22045e-16,0,0,0,1,1.49323,0.837967,0.0683734,h
430,6,42,-8.63535,5.33799,-0.296163,0,0,1,-1,2.22045e-16,0,0.650158,0.552718,0.0329678,h
432,6,4,-4.96653,5.33926,-0.279162,0,0,1,-1,2.22045e-16,0,0.650047,0.543174,0.0283148,h
