object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
219,20,1,-0.556502,0.61397,1.10509,0,0,1,0,1,-0,1.09756,0.619314,0.147209,e
220,20,0,1.97191,-0.472935,2.04068,-0.92388,0.382683,0,0,0,1,2.38629,2.0676,1.86165,e
221,20,0,0.679936,-5.02887,1.77056,-0.92388,0.382683,0,0,0,1,1.95418,1.67238,0.920137,e
222,20,2,1.94059,-2.21327,3.68651,0,1,0,1,-0,0,3.49357,2.7353,0.433566,e
223,20,0,-0.129995,-0.590123,2.07031,0,0,1,2.22045e-16,1,-0,2.0427,1.92522,0.700022,e
224,20,39,1.89284,-2.27093,2.01623,0,1,0,1,-0,0,3.55971,2.72308,2.05845,e
225,20,6,-0.361057,-2.04959,0.570091,0,0,1,1,0,0,0.520619,0.331514,0.241999,e
226,20,6,-0.372516,-3.90181,0.602934,0,0,1,1,0,0,0.544733,0.340398,0.267486,e
227,20,3,1.88842,-2.28253,0.320504,2.22045e-16,1,0,-1,2.22045e-16,0,3.53112,2.70781,0.391756,e
228,20,1,2.2053,-0.739568,0.165747,0,1,0,0,0,1,0.199846,0.128631,0.0234135,e
