object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
91,14,5,7.71567,4.80124,-0.365402,-1,2.22045e-16,0,0,0,1,0.894702,0.422237,0.165234,s
96,14,30,6.73085,6.05536,-1.00158,-1,2.22045e-16,0,0,0,1,1.24463,0.985406,0.0557961,s
118,14,0,6.94878,4.80608,1.13941,-0.92388,0.382683,0,0,0,1,1.651,1.1267,0.563096,s
229,14,31,7.09399,5.35646,1.37503,1,0,0,-0,0,1,1.53482,1.46408,0.748555,s
231,14,0,9.8048,5.13145,0.991106,0,0,1,0,1,-0,1.26862,0.962646,0.177345,s
232,14,39,7.80852,5.13842,1.25307,1,0,0,-0,0,1,2.17955,1.57427,0.975154,s
233,14,0,7.99475,6.05536,1.06968,1,0,0,-0,0,1,1.97846,1.21976,0.0552516,s
234,14,0,6.59408,4.85929,2.70629,1,0,0,-0,0,1,1.02793,0.124779,0.106462,s
235,14,31,9.1805,5.22236,2.57609,0,1,0,1,-0,0,0.900399,0.785714,0.260245,s
236,14,0,7.7295,6.05482,1.41761,1,0,0,-0,0,1,2.20031,1.42192,0.0687001,s
237,14,2,9.17533,5.15141,2.26406,0,1,0,1,-0,0,0.933273,0.788978,0.0351985,s
239,14,31,9.09231,4.56596,-0.112291,1,0,0,0,1,0,0.648046,0.351953,0.166186,s
273,14,71,7.65479,4.78929,3.47806,1,0,0,-0,0,1,0.662768,0.50077,0.0570664,s
277,14,71,5.96976,4.81805,3.4399,-1,2.22045e-16,0,0,0,1,0.868455,0.534914,0.0935349,s
284,14,140,6.85323,4.78923,3.53173,0,0,1,1,0,0,0.602647,0.110421,0.0723267,s
285,14,71,8.04863,5.01338,3.09398,1,0,0,-0,0,1,0.430465,0.410296,0.0802984,s
287,14,140,8.36377,5.04185,3.10391,0,0,1,1,0,0,0.413176,0.170424,0.0907671,s
