object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
178,9,0,-2.30478,2.2055,1.66682,0.707107,0.707107,0,-0,0,1,1.73099,1.64341,0.0613229,b
179,9,5,0.546122,-0.24629,1.84049,0,0,1,-0.707107,-0.707107,0,0.968003,0.76396,0.0652669,b
180,9,0,-0.787242,1.03689,1.59422,0.707107,0.707107,0,-0.707107,0.707107,0,1.98346,1.9201,1.61207,b
181,9,0,1.30062,1.70945,1.57394,0,0,1,-0.707107,0.707107,0,1.57173,0.895136,0.0552455,b
182,9,3,-0.812985,1.05528,3.34096,0.707107,0.707107,0,-0.707107,0.707107,0,1.92589,1.88716,0.0658884,b
183,9,1,-1.33203,-1.00968,1.24498,0,0,1,-0.707107,0.707107,0,1.26357,0.454963,0.118317,b
184,9,0,0.317237,2.67741,1.65847,0,0,1,-1,2.22045e-16,0,1.66479,1.56111,0.762856,b
185,9,37,0.785352,0.466109,1.07483,0.707107,0.707107,0,-0,0,1,0.396894,0.289332,0.0773361,b
186,9,1,-0.915591,3.07958,1.2249,0,0,1,-0.707107,0.707107,0,1.21714,0.527251,0.100551,b
187,9,0,2.15415,2.4872,0.494104,-0.707107,-0.707107,0,0,0,1,1.02741,0.490485,0.204746,b
188,9,7,1.1357,2.03404,1.29122,0,0,1,-0.707107,0.707107,0,1.29732,0.557733,0.160838,b
189,9,1,1.18357,2.66386,1.19222,0,0,1,-0.707107,-0.707107,0,1.1971,0.45883,0.0699527,b
190,9,39,-0.0717664,1.81246,1.6064,0.707107,0.707107,0,-0.707107,0.707107,0,3.3228,1.88241,1.59789,b
191,9,0,2.45223,3.27374,3.05119,-0.707107,0.707107,0,0.707107,0.707107,0,0.590141,0.568732,0.0374959,b
193,9,0,-0.0347148,0.348369,3.13394,0.707107,0.707107,0,-0.707107,0.707107,0,1.90485,0.867185,0.189851,b
194,9,9,-2.50599,1.05739,0.756471,0.707107,0.707107,0,-0.707107,0.707107,0,0.389547,0.182645,0.176534,b
196,9,2,-2.09157,-0.211768,3.21235,-0.707107,0.707107,0,0.707107,0.707107,0,1.85775,0.164956,0.110686,b
197,9,9,-2.24756,1.60905,0.738293,-0.707107,-0.707107,0,0,0,1,0.39864,0.215049,0.129462,b
198,9,304,-1.57385,3.0407,1.26951,0,0,1,0.707107,0.707107,-0,1.26231,0.511485,0.0857936,b
199,9,9,-2.68012,1.21862,0.889277,0.707107,0.707107,0,-0.707107,0.707107,0,0.35798,0.119198,0.0640655,b
200,9,9,-2.0731,1.5152,0.756098,0.707107,0.707107,0,-0,0,1,0.338544,0.176453,0.169171,b
202,9,8,2.52277,3.57891,0.218529,-0.707107,0.707107,0,0,0,1,0.447556,0.239089,0.207752,b
