object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
0,0,0,-13.1085,-4.7829,5.94508,2.22045e-16,1,0,-0,0,1,3.88715,2.87228,0.33852,m
1,0,0,-7.24899,-4.41717,5.84781,0,0,1,0,1,-0,2.79998,2.75534,0.106316,m
2,0,0,-11.2165,-8.63045,5.8662,0,0,1,-1,2.22045e-16,0,2.79837,1.85732,0.261461,m
3,0,13,-8.74865,-0.76024,5.90147,0,0,1,1,0,0,2.11371,0.934583,0.263534,m
4,0,51,-7.34011,-4.76491,3.69809,2.22045e-16,1,0,-0,0,1,1.00224,0.630643,0.321639,m
5,0,23,-10.129,-2.06788,3.62127,-1,2.22045e-16,0,0,0,1,1.45683,0.567098,0.470605,m
6,0,1,-7.2197,-1.85336,4.87606,0,0,1,0,1,-0,1.82116,0.879143,0.116865,m
7,0,0,-10.4664,-0.721761,5.94606,0,0,1,-1,2.22045e-16,0,2.85221,2.48657,0.226302,m
8,0,13,-11.5704,-0.7404,5.41248,0,0,1,-1,2.22045e-16,0,2.30874,1.04413,0.243378,m
9,0,1,-13.004,-4.59371,5.24058,0,0,1,0,1,-0,2.01387,1.17467,0.10024,m
10,0,169,-7.42253,-4.09898,4.78553,0,0,1,-0.382683,0.92388,0,0.534223,0.328107,0.325988,m
11,0,46,-9.99105,-4.57217,3.50051,0,1,0,1,-0,0,0.593493,0.417014,0.413227,m
12,0,3,-10.1316,-4.72041,3.24772,2.22045e-16,1,0,-1,2.22045e-16,0,4.03019,2.9544,0.221565,m
13,0,13,-13.1251,-7.71765,5.36535,0,0,1,0,1,-0,2.26924,0.956048,0.313407,m
14,0,110,-10.1344,-4.77591,5.62855,-0.382683,-0.92388,0,-0.92388,0.382683,0,0.699942,0.522334,0.263042,m
15,0,5,-11.4707,-0.548863,5.51599,0,0,1,-0.92388,0.382683,0,1.50688,0.651212,0.26738,m
16,0,13,-12.9305,-1.6731,5.57571,0,0,1,0,1,-0,2.46996,1.00578,0.17741,m
17,0,5,-13.4522,-7.72832,5.7809,0,0,1,2.22045e-16,1,-0,1.7392,0.676584,0.214889,m
18,0,5,-8.64471,-0.546071,5.43662,0,0,1,1,0,0,1.43252,0.584524,0.172668,m
19,0,33,-12.3169,-2.86565,3.73851,1,0,0,-0,0,1,0.714225,0.670525,0.389806,m
20,0,5,-13.4308,-1.59247,5.70369,0,0,1,0,1,-0,1.68209,0.599161,0.20317,m
21,0,169,-7.48503,-5.33642,4.81044,0,0,1,-0.382683,0.92388,0,0.539967,0.187242,0.162786,m
22,0,33,-7.67869,-6.34369,3.55601,0,0,1,1,0,0,0.50852,0.420447,0.342693,m
23,0,33,-7.60908,-2.7416,3.55757,0,0,1,1,0,0,0.503826,0.451704,0.411263,m
24,0,19,-7.32202,-4.77513,5.91228,0,0,1,0,1,-0,1.65597,0.955051,0.129169,m
25,0,9,-12.1407,-3.61105,3.64527,2.22045e-16,1,0,-0,0,1,0.228209,0.158455,0.126349,m
26,0,23,-12.0827,-4.69868,3.61826,2.22045e-16,1,0,-0,0,1,1.52814,0.552958,0.46853,m
27,0,169,-7.34804,-4.82406,4.63311,0,1,0,0,0,1,0.441255,0.364221,0.254602,m
29,0,33,-12.0352,-6.48051,3.59117,0,0,1,0,1,-0,0.48483,0.406921,0.384728,m
30,0,39,-10.2777,-4.66403,5.22861,0,1,0,1,-0,0,4.11003,3.17583,2.158,m
31,0,124,-10.1547,-8.44337,3.54472,-1,2.22045e-16,0,0,0,1,0.52611,0.459816,0.33069,m
32,0,9,-12.121,-5.79551,3.63146,0,1,0,1,-0,0,0.297943,0.238551,0.144528,m
376,0,2,-10.1776,-4.83844,2.33271,2.22045e-16,1,0,-1,2.22045e-16,0,3.99785,2.89887,0.326823,m
