object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
164,6,29,3.30468,-6.02249,0.0519117,1,0,0,0,1,0,0.421757,0.249841,0.093682,x
220,6,0,7.72567,-9.21792,1.22807,0,0,1,-1,2.22045e-16,0,1.16682,0.404934,0.119725,x
221,6,29,3.49483,-6.1745,1.50915,0,0,1,1,0,0,1.61826,0.484094,0.429843,x
222,6,58,5.00823,-9.86824,2.6677,-0.92388,0.382683,0,0.382683,0.92388,0,2.18116,0.826468,0.446116,x
223,6,702,6.32375,-8.08109,-0.00549413,1,0,0,0,1,0,3.3416,2.3412,0.173459,x
224,6,17,4.47338,-10.0357,1.09433,-0.92388,0.382683,0,0,0,1,1.59077,1.25994,0.204305,x
225,6,5,4.53538,-10.3506,1.17595,-0.92388,0.382683,0,0,0,1,1.64846,1.15063,0.211358,x
226,6,129,5.25637,-7.35902,1.043,0,0,1,-0.92388,0.382683,0,1.19304,1.07983,0.628405,x
227,6,276,8.79332,-7.75534,1.05193,0,0,1,0,1,-0,0.938258,0.283278,0.177972,x
228,6,0,8.98524,-6.62127,1.56031,0,0,1,-1,2.22045e-16,0,1.61286,0.710023,0.0641711,x
229,6,0,8.28752,-6.78751,1.6395,0,0,1,2.22045e-16,1,-0,1.00148,0.130768,0.0493779,x
230,6,39,4.22399,-8.88955,1.56971,-0.382683,0.92388,0,0,0,1,3.20446,1.54411,1.4766,x
231,6,286,8.57594,-6.32875,1.53961,0,0,1,1,0,0,1.63923,1.11021,0.568763,x
232,6,15,3.28296,-8.94173,0.201513,-0.707107,0.707107,0,0.707107,0.707107,0,0.773178,0.508906,0.347392,x
233,6,0,9.67211,-6.20935,1.54098,0,0,1,2.22045e-16,1,-0,1.60481,0.463323,0.0536752,x
234,6,29,8.58864,-5.98724,1.2824,0,0,1,1,0,0,1.38807,0.409676,0.241094,x
235,6,0,8.82816,-7.51227,0.246233,0,0,1,0,1,-0,0.0663758,0.0357661,0.0180249,x
