object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
166,6,83,5.1751,-10.1567,1.18888,0,1,0,0,0,1,1.1841,1.03193,0.113619,S
174,6,2,6.30039,-10.1322,2.62451,0,1,0,1,-0,0,1.75631,0.854571,0.249467,S
175,6,0,7.12747,-10.1376,1.41674,0,1,0,0,0,1,1.50098,0.999564,0.0515876,S
176,6,48,6.28822,-10.1424,0.433408,0,1,0,1,-0,0,1.77586,0.884184,0.276487,S
177,6,0,6.31803,-11.7377,1.42298,0,0,1,-1,2.22045e-16,0,0.998031,0.857651,0.188905,S
178,6,3,5.93464,-10.1388,0.183316,0,1,0,1,-0,0,1.31327,0.765594,0.0263958,S
179,6,0,6.27355,-8.52501,1.40257,0,0,1,1,0,0,0.989703,0.840822,0.16618,S
180,6,70,6.36541,-11.6849,0.564659,1,0,0,0,1,0,0.294207,0.22524,0.14262,S
181,6,109,5.39514,-10.1496,1.19902,0,1,0,0,0,1,1.18346,1.02164,0.33541,S
182,6,70,6.9338,-10.1405,0.555298,0,1,0,1,-0,0,0.238164,0.222187,0.131349,S
183,6,16,7.14477,-10.1019,1.31839,0,1,0,0,0,1,0.966249,0.906094,0.0307574,S
184,6,70,6.31895,-8.60283,0.554607,1,0,0,0,1,0,0.277631,0.235528,0.140636,S
185,6,0,5.47347,-10.1327,1.40849,0,1,0,0,0,1,1.47011,0.997399,0.0502071,S
186,6,61,6.3069,-8.46716,1.00871,0,0,1,2.22045e-16,1,-0,0.179979,0.105751,0.0551424,S
187,6,39,6.79912,-9.27517,1.62598,0,0,1,0,1,-0,1.20894,0.910019,0.264664,S
188,6,61,6.35744,-11.8356,0.928304,0,0,1,0,1,-0,0.0730403,0.0660176,0.0488546,S
189,6,61,6.29808,-8.44274,0.910567,0,0,1,0,1,-0,0.0830745,0.0668163,0.0446622,S
190,6,61,7.08168,-10.1201,0.964592,0,0,1,1,0,0,0.168654,0.0667112,0.0548034,S
191,6,61,6.33069,-11.7981,1.13663,-0.382683,0.92388,0,0,0,1,0.102097,0.0821885,0.0504255,S
192,6,61,7.04021,-10.1342,1.13196,1,0,0,-0,0,1,0.0923102,0.0836282,0.0371556,S
