object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
33,1,2,9.14182,-14.3105,3.72598,0,1,0,1,-0,0,2.6073,2.36861,0.188669,b
34,1,66,9.19221,-14.3177,3.55717,0,1,0,1,-0,0,0.643281,0.625961,0.344053,b
35,1,411,11.4861,-15.9027,3.14041,2.22045e-16,1,0,-0,0,1,0.427338,0.392041,0.0788503,b
36,1,0,9.16478,-14.4058,1.78668,0,1,0,1,-0,0,2.71359,2.41044,1.7981,b
37,1,272,7.72229,-16.9868,2.66425,1,0,0,-0,0,1,0.553082,0.19024,0.0109663,b
38,1,5,10.5815,-17.1038,1.62425,0,0,1,-1,2.22045e-16,0,1.01286,0.569936,0.094286,b
39,1,18,6.9478,-13.6217,1.42446,0,0,1,-0.92388,0.382683,0,0.492741,0.198534,0.179052,b
40,1,0,6.77113,-14.3204,1.7922,0,1,0,0,0,1,2.62116,1.79105,0.0587885,b
41,1,25,10.3535,-14.326,0.825906,1,0,0,0,1,0,1.1871,1.18275,0.819925,b
43,1,411,11.4782,-12.7061,3.12413,0,1,0,0,0,1,0.417106,0.376003,0.0852904,b
44,1,5,11.6339,-15.9248,2.00274,0,0,1,2.22045e-16,1,-0,0.876202,0.300246,0.0827637,b
45,1,227,7.48368,-16.4198,0.495239,0.92388,0.382683,0,-0.382683,0.92388,0,0.866503,0.497926,0.49409,b
46,1,83,11.5679,-12.6977,1.93132,0,0,1,2.22045e-16,1,-0,0.87433,0.343884,0.0634298,b
47,1,4,6.78228,-14.339,1.59683,0,0,1,0,1,-0,0.599573,0.475846,0.0355992,b
48,1,17,9.16692,-17.0342,1.72366,0,0,1,1,0,0,1.2011,0.599447,0.118118,b
49,1,26,11.2741,-15.9097,0.404673,0,1,0,0,0,1,0.461097,0.411489,0.26791,b
50,1,26,11.2556,-12.759,0.422451,0,1,0,0,0,1,0.481702,0.411289,0.281831,b
51,1,17,10.6011,-17.0387,1.57636,0,0,1,1,0,0,1.09125,0.601066,0.116106,b
52,1,8,8.4239,-17.1106,1.72361,0,0,1,-0.92388,0.382683,0,0.513941,0.242412,0.0874151,b
53,1,159,10.8533,-14.2739,0.986523,0,1,0,1,-0,0,0.973475,0.487959,0.281977,b
54,1,5,7.73212,-17.0728,1.59981,0,0,1,1,0,0,0.965609,0.559851,0.108739,b
55,1,5,9.14331,-17.0725,1.62328,0,0,1,1,0,0,1.00143,0.575011,0.118139,b
57,1,17,8.39242,-17.0452,1.65033,-1,2.22045e-16,0,0,0,1,1.31584,1.12779,0.142033,b
58,1,16,11.214,-12.6474,0.869123,1,0,0,-0,0,1,0.0968962,0.0939642,0.0765328,b
59,1,83,6.7452,-15.9481,1.65847,0,0,1,0,1,-0,1.15362,0.352387,0.0278418,b
60,1,18,6.95179,-15.0534,1.42349,0,0,1,1,0,0,0.496068,0.195195,0.179746,b
61,1,11,11.1239,-15.9065,1.89253,-0.382683,-0.92388,0,-0.92388,0.382683,0,0.220168,0.162358,0.11317,b
62,1,411,9.15863,-16.9033,3.11696,1,0,0,-0,0,1,2.15822,0.401267,0.0926552,b
63,1,5,11.6267,-12.7002,1.96867,0,0,1,0,1,-0,0.838425,0.301433,0.0811791,b
64,1,76,7.01423,-14.3267,0.485517,2.22045e-16,1,0,-0,0,1,0.921976,0.477491,0.261083,b
65,1,83,11.5815,-15.9298,2.00012,0,0,1,0,1,-0,0.878558,0.341314,0.0650926,b
66,1,39,9.21401,-14.7435,1.9515,1,0,0,0,1,0,2.50232,2.39804,1.93624,b
67,1,3,9.14634,-14.3094,0.0289249,0,1,0,1,-0,0,2.61987,2.37817,0.0414019,b
68,1,272,9.15876,-16.9836,2.71313,1,0,0,-0,0,1,0.561272,0.211424,0.0159464,b
69,1,411,6.82234,-15.9436,3.12443,2.22045e-16,1,0,-0,0,1,0.424402,0.377079,0.0634537,b
70,1,16,11.3501,-12.8589,0.892556,0.92388,0.382683,0,-0,0,1,0.180263,0.161846,0.149133,b
71,1,62,11.3678,-15.7341,0.871897,-0.92388,0.382683,0,0.382683,0.92388,0,0.157815,0.130195,0.127021,b
72,1,272,10.5678,-16.9714,2.71004,-1,2.22045e-16,0,0,0,1,0.550729,0.212794,0.0191412,b
73,1,83,6.73753,-12.7213,1.65329,0,0,1,0,1,-0,1.16017,0.343968,0.0336723,b
74,1,15,11.3593,-16.1441,1.02152,0,0,1,0.92388,0.382683,-0,0.25645,0.208523,0.187566,b
75,1,16,7.00739,-14.3389,1.03951,0,1,0,1,-0,0,0.158867,0.139861,0.11196,b
76,1,1307,11.1338,-12.7229,1.9037,-0.382683,0.92388,0,-0.92388,-0.382683,0,0.227145,0.16407,0.115336,b
77,1,8,11.4356,-12.6627,0.841233,0,1,0,1,-0,0,0.0974517,0.0959477,0.091696,b
