object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
964,29,97,-19.155,10.8683,1.15756,-0.92388,0.382683,0,0,0,1,0.299895,0.265983,0.121932,g
1113,29,85,-25.9441,12.3931,1.64397,-1,2.22045e-16,0,0,0,1,0.476058,0.240629,0.0266275,g
1174,29,597,-24.5752,20.862,1.12249,1,0,0,0,1,0,5.56681,1.40243,1.27777,g
1175,29,1091,-24.531,15.5548,1.27027,-1,2.22045e-16,0,2.22045e-16,1,0,3.12504,3.05086,1.45057,g
1176,29,39,-25.2613,16.7339,1.38684,1,0,0,0,1,0,6.46376,5.58007,1.55934,g
1177,29,1081,-24.6279,15.9636,2.75047,2.22045e-16,1,0,-1,2.22045e-16,0,1.8854,1.61885,0.196091,g
1178,29,0,-25.1396,17.4018,1.26715,1,0,0,0,1,0,6.14593,4.89202,1.4517,g
1179,29,0,-31.3424,15.7197,1.31219,0,1,0,0,0,1,3.11807,1.39533,0.155581,g
1180,29,2,-25.3814,17.4242,2.56302,1,0,0,0,1,0,6.34298,4.8882,0.247567,g
1181,29,1,-19.8229,11.9507,1.04294,0,0,1,-0.382683,0.92388,0,1.232,0.627389,0.108237,g
1182,29,0,-27.2351,21.329,1.30381,1,0,0,-0,0,1,4.48878,1.41772,0.937538,g
1183,29,0,-19.7393,22.1878,1.92346,1,0,0,-0,0,1,0.69919,0.257704,0.0799885,g
1184,29,5,-31.7388,19.8602,1.64676,0,0,1,0,1,-0,0.756641,0.401157,0.0714893,g
1185,29,0,-27.5917,12.418,1.44999,1,0,0,-0,0,1,2.06259,1.38833,0.0844784,g
1186,29,5,-25.721,21.0976,1.83382,0,0,1,1,0,0,0.425242,0.324895,0.0492125,g
1187,29,3,-25.0845,16.1116,0.111473,-1,2.22045e-16,0,2.22045e-16,1,0,6.21389,4.9867,0.311473,g
1188,29,11,-29.3089,15.1479,2.62792,0,1,0,1,-0,0,0.667538,0.157218,0.0555325,g
1189,29,12,-31.4273,19.9511,0.490793,0,1,0,0,0,1,1.14661,0.595523,0.309491,g
1190,29,1,-31.2516,15.4392,1.18553,0,0,1,0,1,-0,1.24299,0.489246,0.0211935,g
1191,29,0,-31.7369,19.8206,1.50506,2.22045e-16,1,0,-0,0,1,1.25229,1.21875,0.0695314,g
1192,29,210,-19.1285,19.0874,1.11395,0,1,0,0,0,1,1.69954,1.28644,0.109441,g
1193,29,0,-19.3797,11.2956,1.24204,0,0,1,-1,2.22045e-16,0,1.41263,0.574697,0.16912,g
1194,29,563,-27.3724,13.3289,0.171805,-0.382683,0.92388,0,0,0,1,0.422501,0.28701,0.248387,g
1195,29,11,-26.8806,17.0019,2.60539,2.22045e-16,1,0,-1,2.22045e-16,0,0.706716,0.185116,0.0784512,g
1196,29,10,-20.4674,12.6897,0.465048,0,0,1,-1,2.22045e-16,0,0.635907,0.160417,0.136435,g
1197,29,5,-30.4232,21.1386,1.76557,0,0,1,-1,2.22045e-16,0,0.41086,0.336543,0.0453711,g
1198,29,5,-28.0663,21.1139,1.79281,0,0,1,-1,2.22045e-16,0,0.437926,0.300669,0.0506401,g
1199,29,10,-31.4155,20.0719,0.97725,-0.382683,-0.92388,0,0,0,1,0.16825,0.13023,0.0898837,g
1200,29,1,-21.3424,12.5553,1.07706,0,0,1,-1,2.22045e-16,0,1.26698,0.918093,0.0395741,g
1201,29,22,-19.1249,11.1963,1.48216,1,0,0,-0,0,1,0.282503,0.211868,0.0571928,g
1202,29,11,-24.2666,18.9936,2.62129,0,1,0,1,-0,0,0.692723,0.198494,0.0635908,g
1203,29,0,-31.4688,18.5825,1.32077,0,0,1,-1,2.22045e-16,0,1.34994,0.256043,0.0322695,g
1204,29,210,-19.0967,15.0316,1.05277,0,1,0,0,0,1,1.7024,1.23595,0.0980549,g
1205,29,11,-22.8103,15.0272,2.57053,0,1,0,1,-0,0,0.144361,0.128507,0.0837076,g
1206,29,597,-19.3435,11.3106,1.74139,1,0,0,-0,0,1,0.572358,0.442853,0.161351,g
1207,29,10,-29.2459,20.9596,2.33677,-1,2.22045e-16,0,0,0,1,0.754802,0.162512,0.109827,g
1208,29,11,-29.225,19.0214,2.63451,2.22045e-16,1,0,-1,2.22045e-16,0,0.69212,0.213001,0.0669813,g
1209,29,0,-19.7532,11.6427,1.75514,0,0,1,-0.707107,0.707107,0,0.901351,0.689977,0.258672,g
1210,29,10,-31.4642,19.1132,1.08635,-1,2.22045e-16,0,2.22045e-16,1,0,0.278592,0.247178,0.24046,g
1211,29,4,-31.1704,17.2908,1.7188,2.22045e-16,1,0,-0,0,1,0.600599,0.370829,0.0501728,g
1212,29,8,-19.6157,11.3433,1.35504,0,0,1,-0.707107,0.707107,0,0.31074,0.143566,0.0626258,g
1213,29,8,-31.533,18.7057,0.408697,0,0,1,1,0,0,0.381362,0.218933,0.113292,g
1214,29,0,-22.9102,21.6806,2.2333,2.22045e-16,1,0,-0,0,1,0.626915,0.452215,0.0564976,g
1215,29,10,-31.4276,19.7508,0.976703,0,1,0,0,0,1,0.161529,0.133936,0.0985842,g
1216,29,22,-19.4091,11.1789,1.81913,-1,2.22045e-16,0,0,0,1,0.510189,0.12914,0.0358043,g
1361,29,528,-25.4759,16.1695,3.12653,2.22045e-16,1,0,-1,2.22045e-16,0,0.533172,0.120195,0.088117,g
1364,29,528,-25.9152,16.4761,3.12382,0,1,0,0,0,1,0.212372,0.0918638,0.075182,g
1369,29,528,-23.3578,16.305,3.12577,0,1,0,1,-0,0,0.317505,0.132758,0.0855757,g
1372,29,3,-22.7236,14.5355,3.41397,-1,2.22045e-16,0,2.22045e-16,1,0,3.85141,2.0029,0.136871,g
1373,29,410,-25.9805,14.8843,3.34605,1,0,0,0,1,0,0.422091,0.382978,0.0420802,g
1374,29,8,-20.997,12.3312,3.5006,1,0,0,0,1,0,0.212679,0.102725,0.0678223,g
