object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
111,9,-1,-5.34344,-3.3226,2.71778,1,0,0,0,1,0,3.46096,2.67911,2.43841,b
124,9,0,-6.54918,-3.58924,3.93827,0,1,0,1,-0,0,2.77692,2.06888,1.16684,b
125,9,15,-4.65327,-2.56247,3.89987,-0.382683,-0.92388,0,0,0,1,0.236779,0.178075,0.173315,b
126,9,2,-6.51549,-3.58444,5.11714,0,1,0,1,-0,0,2.74431,2.02119,0.149665,b
127,9,8,-5.6856,-3.08072,4.37097,-0.92388,0.382683,0,0,0,1,1.02808,0.747003,0.357589,b
128,9,25,-6.49244,-5.07443,3.50758,0,1,0,1,-0,0,1.27069,1.20769,0.698946,b
129,9,5,-5.65123,-0.784285,4.15976,0,0,1,1,0,0,0.845552,0.583342,0.112876,b
130,9,91,-7.96301,-0.867139,4.16333,0,0,1,-0.92388,-0.382683,0,0.87412,0.649696,0.307919,b
131,9,9,-6.45737,-5.73552,3.74988,1,0,0,0,1,0,0.848228,0.394112,0.231284,b
132,9,19,-4.55571,-1.99045,4.23768,0,1,0,0,0,1,0.5815,0.531308,0.0817606,b
133,9,91,-8.56082,-1.93599,4.20564,0,0,1,2.22045e-16,1,-0,0.774375,0.638427,0.135883,b
134,9,39,-6.55728,-3.51958,4.00107,0,1,0,1,-0,0,2.83283,2.13449,1.22995,b
135,9,26,-8.00019,-6.07897,3.21272,1,0,0,-0,0,1,0.418041,0.40429,0.287138,b
136,9,0,-4.54212,-3.60638,3.95365,0,0,1,0,1,-0,1.13888,0.774252,0.0839946,b
137,9,76,-4.79108,-2.01439,3.37622,0,1,0,0,0,1,0.831441,0.567608,0.247304,b
138,9,5,-8.53561,-5.25094,4.25369,0,0,1,0,1,-0,0.80915,0.633254,0.131684,b
139,9,5,-8.50407,-2.18423,4.06289,2.22045e-16,1,0,-0,0,1,1.28556,0.842268,0.198174,b
140,9,5,-8.55408,-3.58826,4.22905,0,0,1,0,1,-0,0.833736,0.605179,0.139319,b
141,9,0,-5.56797,-0.998585,5.16833,-1,2.22045e-16,0,2.22045e-16,1,0,0.379591,0.189402,0.0637429,b
142,9,4,-6.79563,-0.859825,4.25121,0,0,1,1,0,0,0.799755,0.586897,0.0201942,b
143,9,44,-4.74762,-1.45388,3.79253,0,1,0,1,-0,0,0.144153,0.12665,0.0809237,b
144,9,26,-5.03463,-6.05845,3.24543,-1,2.22045e-16,0,0,0,1,0.451215,0.421229,0.245107,b
145,9,33,-7.90135,-1.53558,3.19321,0,0,1,0.707107,0.707107,-0,0.422016,0.41821,0.393801,b
146,9,4,-6.73781,-0.869606,3.77119,0,0,1,1,0,0,0.438302,0.375356,0.0203778,b
147,9,3,-6.47164,-3.58272,2.99095,0,1,0,1,-0,0,2.6931,1.9843,0.223439,b
149,9,91,-5.29644,-0.754301,3.93981,0,0,1,-0.382683,0.92388,0,0.179219,0.0439248,0.0288731,b
150,9,6,-7.88621,-1.17504,3.34632,-0.92388,0.382683,0,0,0,1,0.0866277,0.0739461,0.0211781,b
151,9,76,-8.10006,-5.98906,3.57977,1,0,0,-0,0,1,0.0447431,0.0372401,0.0237558,b
152,9,6,-8.45482,-1.24088,3.02459,0,0,1,0,1,-0,0.0962127,0.0576873,0.0241542,b
232,9,2,-6.64201,-3.50607,2.45301,0,1,0,1,-0,0,2.73974,1.85263,0.104294,b
233,9,8,-8.33233,-0.863184,2.00173,0,0,1,0.92388,0.382683,-0,0.491788,0.264254,0.144276,b
240,9,19,-8.42988,-3.49824,1.85307,0,0,1,0,1,-0,0.477278,0.440727,0.0599084,b
