object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
391,18,1,2.39167,-5.3207,0.99534,0,0,1,-1,2.22045e-16,0,1.28325,0.447137,0.0893424,a
392,18,20,2.82034,-4.30347,0.78464,0,0,1,1,0,0,0.259205,0.121825,0.10052,a
393,18,7,1.9209,-4.77202,0.929052,0,0,1,2.22045e-16,1,-0,1.21159,0.576693,0.110581,a
394,18,0,2.77826,-5.39897,1.00912,0,0,1,-1,2.22045e-16,0,1.30094,0.806113,0.0472784,a
395,18,27,3.16497,-4.59166,0.117435,0,0,1,0,1,-0,0.412188,0.374712,0.229352,a
396,18,19,3.67071,-4.84058,1.39545,0,0,1,2.22045e-16,1,-0,0.632203,0.307249,0.0944086,a
397,18,0,3.56173,-4.82827,0.998882,0,0,1,2.22045e-16,1,-0,1.28769,0.617488,0.0449824,a
398,18,0,1.99768,-4.75258,1.04946,0,0,1,2.22045e-16,1,-0,1.23197,0.621848,0.0296656,a
399,18,3,2.68629,-4.84197,-0.161877,1,0,0,0,1,0,0.87471,0.586436,0.141603,a
400,18,8,1.86644,-4.24282,1.10728,0,0,1,-0.382683,-0.92388,0,1.32884,0.0428166,0.0229347,a
401,18,21,2.36545,-4.37011,0.399661,1,0,0,-0,0,1,0.378496,0.2624,0.257022,a
402,18,0,2.78801,-4.23384,0.989765,0,0,1,-1,2.22045e-16,0,1.28842,0.804735,0.106282,a
403,18,15,3.65821,-4.65888,0.870553,0,1,0,0,0,1,0.105778,0.0963942,0.0801995,a
405,18,12,2.3381,-4.36883,0.122773,0,0,1,-1,2.22045e-16,0,0.416708,0.348586,0.153245,a
406,18,19,2.35196,-4.16631,1.14605,0,0,1,1,0,0,0.614421,0.369933,0.0560694,a
407,18,241,2.63498,-5.25916,0.693086,1,0,0,0,1,0,0.06133,0.0321219,0.0297342,a
408,18,81,2.11901,-4.29097,0.701838,0,0,1,-1,2.22045e-16,0,0.12466,0.0577469,0.0459735,a
468,18,7,1.88589,-4.93815,0.911631,0,0,1,2.22045e-16,1,-0,1.19392,0.465929,0.0872012,a
