object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
25,1,38,-2.35264,0.0597586,-3.24173,0,0,1,-0.382683,0.92388,0,1.15564,0.461198,0.169888,a
26,1,0,-2.12347,-0.708046,-3.09649,0,0,1,-0.382683,0.92388,0,1.30739,1.26737,0.215035,a
27,1,0,-4.00677,-1.35087,-3.16926,-0.382683,0.92388,0,0,0,1,1.25759,1.2266,0.11483,a
28,1,39,-3.09135,-1.04988,-3.17368,-0.382683,0.92388,0,0,0,1,1.38275,1.35809,1.25404,a
29,1,0,-2.73489,-2.21914,-3.15622,0,0,1,-0.92388,-0.382683,0,1.21373,0.957357,0.106431,a
30,1,2,-3.12286,-1.05509,-1.94596,-0.382683,0.92388,0,-0.92388,-0.382683,0,1.31875,1.0379,0.030495,a
31,1,60,-3.35119,-1.74763,-4.30052,-0.382683,0.92388,0,-0.92388,-0.382683,0,0.697287,0.54274,0.0967534,a
32,1,1,-3.0319,0.243303,-3.37056,0,0,1,-0.92388,-0.382683,0,1.03536,0.458248,0.0951609,a
33,1,0,-3.51666,0.117652,-3.17746,0,0,1,-0.92388,-0.382683,0,1.22564,0.960504,0.0902302,a
34,1,27,-2.37781,-1.71664,-4.00814,-0.382683,0.92388,0,0,0,1,0.410055,0.367767,0.230579,a
35,1,70,-4.02633,-0.386021,-3.84736,0,0,1,-0.382683,0.92388,0,0.553315,0.343034,0.327892,a
36,1,19,-4.32126,-0.445558,-2.87111,0,0,1,-0.382683,0.92388,0,0.387621,0.302056,0.0451949,a
37,1,5,-3.89107,-1.99257,-3.03426,-0.382683,0.92388,0,0,0,1,0.149353,0.140388,0.0844424,a
38,1,61,-4.20697,-0.416718,-3.46897,0,0,1,-0.382683,0.92388,0,0.198365,0.164048,0.132066,a
39,1,1134,-3.19107,-2.3743,-3.26929,0,0,1,0.382683,0.92388,-0,0.0607225,0.0568504,0.0478022,a
40,1,3,-2.96055,-1.00423,-4.37172,-0.382683,0.92388,0,-0.92388,-0.382683,0,1.30487,1.10569,0.0471163,a
49,1,104,-2.28886,-0.017676,-2.97294,0,0,1,-0.382683,0.92388,0,1.42079,0.533363,0.0799468,a
