object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
265,13,629,6.75105,7.25828,-0.665226,-1,2.22045e-16,0,0,0,1,0.597195,0.310749,0.300993,k
266,13,86,8.73977,6.42226,-2.13261,0,0,1,-1,2.22045e-16,0,0.923153,0.462765,0.104386,k
267,13,8,6.73026,4.7794,-1.47255,0,0,1,0,1,-0,0.67808,0.580225,0.133394,k
268,13,5,11.6931,4.72604,-1.38565,2.22045e-16,1,0,-0,0,1,1.02595,0.563692,0.0452337,k
269,13,581,9.26911,4.46948,-2.6049,2.22045e-16,1,0,-1,2.22045e-16,0,0.846555,0.572555,0.464932,k
270,13,629,11.5825,4.73041,-0.650549,2.22045e-16,1,0,-0,0,1,1.13859,0.305957,0.140432,k
271,13,16,6.76851,4.76129,-2.17199,0,0,1,-0.382683,0.92388,0,0.147811,0.12249,0.113754,k
272,13,0,5.0686,5.61008,-1.71359,2.22045e-16,1,0,-0,0,1,1.51847,1.35704,0.0922289,k
273,13,24,6.37011,5.25821,-2.53877,0,0,1,0.707107,0.707107,-0,0.46028,0.376457,0.33391,k
274,13,24,7.24147,5.23208,-2.5662,0,0,1,0.707107,0.707107,-0,0.488053,0.331165,0.320937,k
275,13,34,9.52845,6.90507,-1.03125,0,0,1,-1,2.22045e-16,0,0.674714,0.216822,0.182492,k
276,13,34,8.08296,6.43824,-1.72099,-1,2.22045e-16,0,0,0,1,2.98192,1.33379,0.667951,k
277,13,34,5.64242,6.97938,-1.031,0,0,1,-1,2.22045e-16,0,0.674591,0.537276,0.18316,k
278,13,3,8.02903,4.51037,-3.00778,-1,2.22045e-16,0,2.22045e-16,1,0,3.0349,2.087,0.0737394,k
279,13,34,11.0301,6.43663,-1.0305,0,0,1,2.22045e-16,1,-0,0.675111,0.627561,0.578321,k
280,13,34,11.1114,3.15955,-1.57822,0,0,1,0.707107,0.707107,-0,1.206,0.669258,0.389492,k
281,13,7,10.4191,2.48511,-1.70507,0,0,1,1,0,0,1.34949,0.554126,0.118301,k
282,13,34,10.8905,4.41838,-2.50707,2.22045e-16,1,0,-0,0,1,1.98995,0.546821,0.154179,k
283,13,96,6.78829,4.78679,-2.58644,-0.382683,0.92388,0,0.92388,0.382683,0,0.619566,0.597663,0.283647,k
284,13,82,11.0726,5.15389,-2.2539,0,1,0,1,-0,0,1.90783,0.518382,0.147875,k
285,13,111,10.8483,2.83828,-1.7966,0,0,1,0,1,-0,0.972639,0.409204,0.115523,k
286,13,484,10.1479,6.92371,-0.76518,-1,2.22045e-16,0,0,0,1,0.452922,0.416037,0.16086,k
287,13,39,8.38238,5.39111,-1.70752,-1,2.22045e-16,0,2.22045e-16,1,0,3.22142,2.15429,1.35967,k
288,13,32,8.82336,4.73337,-2.35449,0,1,0,1,-0,0,0.332324,0.278234,0.191609,k
289,13,16,11.4491,6.80139,-1.9105,0,1,0,0,0,1,0.250736,0.219911,0.152495,k
290,13,484,10.1502,6.75993,-1.23381,-1,2.22045e-16,0,2.22045e-16,1,0,0.465328,0.319661,0.142486,k
291,13,47,6.24113,6.80571,-2.10788,-1,2.22045e-16,0,2.22045e-16,1,0,1.12656,0.322474,0.172529,k
292,13,32,8.81539,4.18654,-2.39073,-0.707107,0.707107,0,0.707107,0.707107,0,0.421247,0.311145,0.228801,k
293,13,18,9.15549,4.85065,-1.39708,1,0,0,0,1,0,0.118693,0.115581,0.114738,k
294,13,16,9.31432,4.47617,-2.02577,-0.707107,0.707107,0,0.707107,0.707107,0,0.148344,0.14601,0.129303,k
295,13,114,10.1423,6.70376,-2.2299,-1,2.22045e-16,0,2.22045e-16,1,0,0.501877,0.37585,0.149831,k
296,13,0,6.26058,7.2636,-1.28397,1,0,0,-0,0,1,1.11792,0.881323,0.269422,k
297,13,24,7.23288,4.35026,-2.57177,0,0,1,-0.707107,0.707107,0,0.494227,0.346761,0.308491,k
298,13,206,10.9881,5.663,-2.59658,2.22045e-16,1,0,-0,0,1,0.760305,0.455176,0.0768209,k
299,13,5,6.75563,7.27323,-1.42113,-1,2.22045e-16,0,0,0,1,0.412835,0.380857,0.0939248,k
300,13,21,11.3165,4.68463,-2.25542,0,1,0,1,-0,0,0.450894,0.267866,0.17532,k
301,13,0,10.0568,2.46822,-1.70788,0,0,1,1,0,0,1.35832,0.827117,0.0898883,k
302,13,24,6.33984,4.38175,-2.56827,0,0,1,0.707107,0.707107,-0,0.486684,0.364718,0.336446,k
303,13,0,11.146,5.44944,-1.51086,-0.382683,0.92388,0,0.92388,0.382683,0,2.19988,1.02739,0.629685,k
304,13,16,11.1942,6.95224,-2.02414,1,0,0,0,1,0,0.130655,0.109536,0.108969,k
305,13,82,9.69975,6.77881,-2.12006,1,0,0,0,1,0,0.390088,0.310587,0.0250671,k
306,13,16,11.5295,4.18731,-1.99254,0,0,1,1,0,0,0.14853,0.148356,0.0861483,k
307,13,18,9.14415,4.08378,-1.38934,0,0,1,-0.92388,0.382683,0,0.121764,0.121545,0.118508,k
308,13,16,11.5192,6.67014,-2.03037,0.707107,0.707107,0,-0.707107,0.707107,0,0.188007,0.106644,0.0973232,k
309,13,34,10.9572,6.7689,-1.61498,-1,2.22045e-16,0,0,0,1,0.346168,0.0307256,0.0217092,k
