object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
0,0,39,-16.2507,-30.0684,2.47886,1,0,0,0,1,0,2.64143,2.5928,2.48922,m
1,0,233,-16.7208,-30.0051,4.44243,1,0,0,0,1,0,2.29018,1.82611,0.550111,m
2,0,133,-15.7942,-30.6066,0.52694,0,0,1,-0.707107,0.707107,0,0.505732,0.368484,0.340508,m
3,0,0,-16.3971,-27.5208,2.4801,1,0,0,-0,0,1,2.54562,2.47896,0.27469,m
4,0,881,-15.9982,-30.0551,3.83601,2.22045e-16,1,0,-1,2.22045e-16,0,2.57923,2.06931,1.1137,m
5,0,5,-18.8915,-29.9759,1.84853,2.22045e-16,1,0,-0,0,1,2.1895,1.8385,0.104911,m
6,0,1,-14.1246,-32.3318,1.22022,0,0,1,-0.707107,-0.707107,0,1.21078,0.508901,0.171152,m
7,0,0,-16.3663,-29.9848,2.47627,0,1,0,1,-0,0,2.67465,2.64451,2.47735,m
8,0,133,-17.1863,-29.7912,0.632543,0,1,0,0,0,1,0.465321,0.39208,0.18132,m
9,0,0,-14.3854,-29.8544,2.4736,0,1,0,0,0,1,2.57273,2.4471,0.706841,m
10,0,2,-16.4132,-30.0635,4.69316,1,0,0,0,1,0,2.5902,2.57179,0.316288,m
11,0,317,-16.5245,-32.6009,1.52344,1,0,0,-0,0,1,2.33645,0.959535,0.0667152,m
12,0,1514,-14.1446,-28.2253,0.596374,0,0,1,0,1,-0,0.581199,0.450612,0.27407,m
13,0,210,-15.4458,-29.8639,2.55209,1,0,0,0,1,0,1.66854,1.32905,1.23678,m
14,0,7,-13.7638,-31.5037,1.23245,0,0,1,0,1,-0,1.22408,0.559158,0.15117,m
15,0,133,-16.9629,-30.3604,0.508297,0,0,1,0.707107,0.707107,-0,0.52124,0.45769,0.250829,m
16,0,3,-16.2519,-29.9166,0.132629,0,1,0,1,-0,0,2.74343,2.62364,0.156689,m
17,0,11,-14.9804,-29.9747,3.5514,2.22045e-16,1,0,-1,2.22045e-16,0,1.33057,0.195386,0.163643,m
18,0,66,-17.306,-28.1322,3.67573,0,0,1,0.382683,0.92388,-0,0.491387,0.317126,0.307455,m
19,0,11,-16.1584,-28.1244,3.48658,-1,2.22045e-16,0,2.22045e-16,1,0,0.651936,0.181069,0.0826168,m
20,0,0,-16.3254,-32.5199,2.46649,1,0,0,-0,0,1,2.64008,2.47895,0.144884,m
21,0,0,-13.817,-29.104,2.26243,0,0,1,0,1,-0,2.2517,1.95269,0.191466,m
22,0,133,-16.0186,-29.6341,0.474989,0,0,1,-1,2.22045e-16,0,0.493777,0.454071,0.414716,m
23,0,133,-16.8281,-28.337,0.531139,0,0,1,0.92388,0.382683,-0,0.494538,0.398773,0.36753,m
24,0,133,-16.6234,-29.2016,0.509165,-0.92388,0.382683,0,0,0,1,0.933937,0.518859,0.40181,m
25,0,11,-16.4541,-32.5199,2.943,1,0,0,-0,0,1,1.02466,0.244796,0.128317,m
26,0,133,-15.8089,-31.2384,0.520076,0,0,1,2.22045e-16,1,-0,0.518209,0.35108,0.338856,m
27,0,12,-18.5868,-29.9765,0.530475,0,1,0,0,0,1,0.980305,0.542469,0.333982,m
28,0,215,-16.4439,-30.1082,0.38061,0,1,0,1,-0,0,1.56231,0.773941,0.389488,m
29,0,1099,-14.187,-29.1062,4.31691,0,1,0,0,0,1,0.504201,0.449964,0.324213,m
30,0,867,-14.1206,-28.214,1.07571,0,1,0,0,0,1,0.346107,0.269742,0.249758,m
31,0,133,-17.1343,-31.197,0.511037,0,0,1,0,1,-0,0.520397,0.368423,0.271426,m
32,0,133,-15.8488,-28.9706,0.504334,0,0,1,0,1,-0,0.520589,0.391708,0.357239,m
33,0,133,-16.1909,-28.3549,0.499951,0,0,1,-0.382683,0.92388,0,0.50771,0.406092,0.350926,m
34,0,11,-16.1787,-31.8637,3.4793,1,0,0,0,1,0,0.665253,0.167523,0.0914605,m
35,0,66,-17.3383,-31.8507,3.70645,0,0,1,-0.92388,0.382683,0,0.522465,0.325514,0.293456,m
36,0,133,-16.7039,-31.8399,0.526737,0,0,1,1,0,0,0.541141,0.391084,0.331459,m
37,0,66,-14.9913,-28.1219,3.28312,0.707107,0.707107,0,-0.707107,0.707107,0,0.295907,0.281565,0.0537384,m
38,0,16,-18.6364,-29.2175,0.989989,0,0,1,-0.382683,0.92388,0,0.191506,0.0692321,0.0637388,m
39,0,11,-15.6618,-29.9312,2.87095,1,0,0,0,1,0,1.89811,1.30968,0.714432,m
41,0,66,-14.9836,-31.8323,3.6803,0,0,1,1,0,0,0.538428,0.313756,0.310921,m
42,0,50,-18.712,-28.9114,0.195789,0,0,1,1,0,0,0.186697,0.162083,0.154569,m
43,0,376,-16.4952,-30.1941,0.788466,1,0,0,0,1,0,0.147131,0.130605,0.0572304,m
44,0,175,-18.5312,-30.6121,0.878195,-0.707107,0.707107,0,0.707107,0.707107,0,0.143446,0.108628,0.0776949,m
45,0,321,-18.2655,-32.0857,0.930649,0,0,1,-0.707107,0.707107,0,0.846193,0.52128,0.235047,m
46,0,318,-17.2649,-29.9439,3.12074,0,0,1,1,0,0,0.544533,0.446308,0.256927,m
47,0,8,-14.0982,-32.3587,2.48423,0.92388,0.382683,0,-0.382683,0.92388,0,0.451648,0.213538,0.115993,m
48,0,133,-16.0648,-31.7858,0.530725,0,0,1,0,1,-0,0.502903,0.408956,0.384625,m
49,0,191,-18.7383,-30.6347,0.942709,0,0,1,-0.707107,0.707107,0,0.145765,0.145758,0.107321,m
50,0,8,-18.6468,-29.8878,0.931502,0.382683,0.92388,0,-0,0,1,0.147364,0.13407,0.0350009,m
51,0,233,-13.972,-29.5742,4.66875,0,1,0,0,0,1,0.295629,0.252486,0.102427,m
52,0,191,-18.4933,-30.0716,0.807045,0,0,1,-0.382683,0.92388,0,0.275961,0.215315,0.1079,m
53,0,8,-18.7719,-32.4144,1.7599,0,1,0,0,0,1,0.234961,0.0963917,0.0878038,m
