object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
62,1,685,0.462584,-2.07701,0.0705542,2.22045e-16,1,0,-0,0,1,2.89013,0.109941,0.0440187,z
66,1,39,2.62695,0.652837,0.692065,1,0,0,-0,0,1,0.564326,0.334083,0.273937,z
67,1,2,2.1217,-2.07468,4.34449,0,1,0,1,-0,0,3.10148,1.80352,1.18072,z
68,1,0,2.1319,-2.06828,1.9165,0,1,0,0,0,1,3.11341,1.84528,1.83227,z
69,1,339,3.27742,-2.1092,1.81418,0,0,1,0,1,-0,1.70152,1.22033,0.628258,z
70,1,29,0.951723,-0.437885,1.79459,0,0,1,-0.92388,0.382683,0,1.64264,0.471127,0.199872,z
71,1,29,1.06351,-3.72029,1.79499,0,0,1,1,0,0,1.65346,0.609892,0.168798,z
72,1,5,2.59837,0.838398,1.98364,0,0,1,1,0,0,1.43716,0.633543,0.210031,z
73,1,10,3.71342,-0.778248,1.48899,0,0,1,0,1,-0,0.549275,0.214222,0.156256,z
74,1,143,0.995669,-1.26394,0.48339,2.22045e-16,1,0,-0,0,1,0.709713,0.33786,0.162749,z
75,1,33,1.80933,-4.66848,0.616301,0,0,1,1,0,0,0.488776,0.410334,0.368816,z
76,1,75,3.61787,-3.37041,1.47425,0,0,1,1,0,0,0.534792,0.265666,0.204152,z
77,1,10,0.872682,-2.04595,0.407797,-0.92388,0.382683,0,-0.382683,-0.92388,0,0.28854,0.271104,0.255728,z
78,1,339,1.38071,-2.05823,0.693468,0,1,0,0,0,1,0.715929,0.41679,0.374006,z
79,1,5,2.71284,-5.08421,1.69117,0,0,1,1,0,0,1.26886,0.714242,0.1155,z
80,1,228,3.64837,-0.204447,0.722608,0,0,1,0,1,-0,0.594825,0.292153,0.221364,z
81,1,6,1.94531,0.580889,0.586319,0,0,1,-0.92388,-0.382683,0,0.445346,0.352323,0.343267,z
82,1,143,1.00254,0.156522,0.513148,2.22045e-16,1,0,-0,0,1,0.708239,0.382646,0.182981,z
83,1,143,1.06011,-2.9135,0.478926,0,1,0,0,0,1,0.709538,0.337791,0.227987,z
84,1,14,3.55763,-0.746814,0.558334,0,0,1,1,0,0,0.417584,0.305282,0.255094,z
85,1,10,3.5165,-2.87562,1.60409,0,0,1,-0.92388,0.382683,0,0.17635,0.156497,0.148591,z
86,1,7,3.86669,-3.7257,1.10336,0,0,1,-0.707107,0.707107,0,0.97575,0.0923939,0.0820184,z
87,1,10,3.57213,-1.23185,1.62026,1,0,0,0,1,0,0.266093,0.235476,0.208146,z
88,1,457,1.3193,-0.906786,0.904751,0,0,1,0,1,-0,0.450884,0.332345,0.272789,z
89,1,14,3.51991,-3.42396,0.565795,0,0,1,0,1,-0,0.442703,0.271248,0.240535,z
90,1,228,3.20886,0.572952,0.560302,0,0,1,0.382683,0.92388,-0,0.362671,0.202929,0.118478,z
91,1,39,1.05253,-4.92806,0.440747,-1,2.22045e-16,0,0,0,1,0.663877,0.350916,0.224648,z
92,1,39,2.09908,-2.06859,1.30229,0,1,0,1,-0,0,3.07964,1.7809,1.18706,z
93,1,63,2.81181,0.91747,1.46249,0,0,1,1,0,0,0.54887,0.162649,0.0632558,z
94,1,39,3.0736,-4.70132,0.376302,1,0,0,0,1,0,0.797685,0.341051,0.266829,z
95,1,685,2.12749,-2.0662,0.352782,0,1,0,1,-0,0,2.95529,1.728,0.303358,z
