object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
395,8,0,11.8425,14.3602,2.40531,1,0,0,0,1,0,4.45875,3.96256,2.37893,n
396,8,2,11.9744,13.818,4.8719,1,0,0,0,1,0,4.21747,3.15586,0.395538,n
397,8,4,8.96695,10.5047,2.82449,0,0,1,-1,2.22045e-16,0,0.98471,0.714981,0.0803533,n
398,8,24,9.37135,15.9025,0.514273,0,0,1,-0.707107,0.707107,0,0.482645,0.38859,0.3215,n
399,8,51,15.3495,11.3084,1.29479,0,0,1,-0.707107,-0.707107,0,1.27305,1.0438,0.336136,n
400,8,4,7.62019,11.5136,2.64816,0,0,1,2.22045e-16,1,-0,0.847077,0.716688,0.141092,n
401,8,35,14.8072,10.9246,1.96659,0,0,1,0.92388,0.382683,-0,0.345911,0.175049,0.0989624,n
402,8,35,15.7482,11.8947,1.99063,0,0,1,0.92388,0.382683,-0,0.328047,0.168747,0.112993,n
403,8,13,8.50215,18.1071,2.00507,0,0,1,-1,2.22045e-16,0,1.47851,0.529185,0.174536,n
404,8,1,11.8988,10.6468,1.73293,0,0,1,-1,2.22045e-16,0,1.68506,1.57778,0.246209,n
405,8,23,15.7487,16.5067,0.494677,0,1,0,0,0,1,0.890161,0.457819,0.444098,n
406,8,221,11.9724,12.7549,0.548838,-1,2.22045e-16,0,0,0,1,3.4029,0.529283,0.351191,n
407,8,7,16.0507,13.6054,1.88397,0,0,1,0,1,-0,1.83525,1.79018,0.248557,n
408,8,5,8.91132,18.7072,1.80585,0,0,1,-1,2.22045e-16,0,0.880904,0.466814,0.0334301,n
409,8,13,14.9146,18.0727,1.70453,0,0,1,-1,2.22045e-16,0,1.67497,0.807796,0.13669,n
410,8,4,7.60184,13.8088,3.70595,2.22045e-16,1,0,-0,0,1,0.946783,0.103188,0.0429831,n
411,8,266,11.4062,11.999,0.3936,0,0,1,0,1,-0,0.36027,0.337912,0.318297,n
412,8,3,11.7863,14.4544,0.147712,-1,2.22045e-16,0,2.22045e-16,1,0,4.35619,3.95244,0.133655,n
413,8,4,7.63646,16.6058,2.79909,0,0,1,0,1,-0,0.882058,0.712919,0.109086,n
414,8,39,11.8656,14.2155,1.84778,1,0,0,0,1,0,4.40267,3.864,1.82032,n
415,8,24,9.34005,17.1791,0.574077,0,0,1,-0.707107,0.707107,0,0.469541,0.344067,0.322564,n
416,8,7,7.6965,13.7567,1.70527,0,0,1,0,1,-0,1.68299,1.5757,0.312771,n
417,8,1,16.0541,13.0216,1.41957,0,0,1,0.382683,0.92388,-0,1.38438,0.146726,0.123352,n
418,8,23,8.05107,16.464,0.507322,0,1,0,0,0,1,1.26041,0.477984,0.439184,n
419,8,72,9.60862,11.9218,0.440747,0,0,1,1,0,0,0.406645,0.211756,0.203011,n
420,8,6,14.5305,17.1953,0.472999,0,0,1,-0.707107,0.707107,0,0.404902,0.320583,0.250852,n
421,8,72,7.84493,11.8145,0.448243,2.22045e-16,1,0,-0,0,1,0.613547,0.410074,0.237017,n
422,8,1,7.66487,13.0735,1.41498,0,0,1,1,0,0,1.38788,0.230716,0.121488,n
423,8,1,11.1995,10.5962,1.42191,0,0,1,0,1,-0,1.376,0.20345,0.128559,n
424,8,11,7.90719,14.849,2.08887,0.92388,0.382683,0,-0,0,1,0.25763,0.24894,0.159254,n
425,8,24,8.82221,11.7256,0.511048,0,0,1,0.707107,0.707107,-0,0.475707,0.286017,0.263697,n
426,8,35,10.4198,17.7677,0.55704,0,0,1,1,0,0,0.469591,0.192168,0.129835,n
427,8,24,14.4068,15.808,0.520918,0,0,1,-0.707107,0.707107,0,0.397075,0.32709,0.306669,n
428,8,4,16.1428,11.4519,2.70372,0,0,1,0,1,-0,0.848972,0.73203,0.145444,n
429,8,4,16.1772,16.6369,2.80191,0,0,1,2.22045e-16,1,-0,0.923968,0.760374,0.0925016,n
430,8,1,7.65201,14.5358,1.4208,0,0,1,-1,2.22045e-16,0,1.40071,0.272794,0.130822,n
431,8,80,12.0249,16.2964,0.446012,1,0,0,0,1,0,0.705057,0.581301,0.412647,n
