object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
168,7,0,0.12442,4.07907,2.68282,1,0,0,-0,0,1,3.34411,2.69666,2.131,o
169,7,2,0.452519,3.55359,2.50578,1,0,0,0,1,0,3.66175,1.57357,0.12099,o
170,7,77,-0.0718615,4.81107,1.53308,-0.92388,-0.382683,0,0,0,1,2.3085,1.54344,0.789834,o
171,7,87,-1.70903,4.74001,1.23802,-0.92388,-0.382683,0,0,0,1,1.29843,1.26116,0.311921,o
172,7,30,-0.344066,4.68177,1.85516,0,0,1,-0.92388,-0.382683,0,1.85399,1.65046,0.167774,o
173,7,2,0.570251,4.06156,4.8808,1,0,0,0,1,0,3.63968,2.09739,0.509762,o
174,7,3,0.216714,3.67091,0.140166,1,0,0,0,1,0,3.19886,1.63918,0.169528,o
175,7,63,-3.10269,3.02746,1.43521,0,1,0,0,0,1,0.448804,0.257892,0.0899634,o
176,7,5,-3.09418,3.09572,1.86084,0,0,1,0,1,-0,0.717003,0.445987,0.0965521,o
177,7,63,-2.34621,3.29914,3.06717,0,1,0,1,-0,0,1.23882,0.313681,0.251821,o
178,7,30,-1.94613,3.08044,3.19793,2.22045e-16,1,0,-0,0,1,1.03927,0.618554,0.134652,o
179,7,93,0.482077,4.45724,0.958109,-0.382683,0.92388,0,0,0,1,0.279344,0.199482,0.0623976,o
180,7,39,-0.022548,3.88936,1.77881,1,0,0,-0,0,1,2.97674,1.78821,1.47041,o
181,7,0,3.75605,4.3006,2.19582,0,1,0,1,-0,0,0.798191,0.369954,0.354091,o
182,7,10,-2.42521,3.87535,1.03521,-0.92388,0.382683,0,0.382683,0.92388,0,0.235074,0.221696,0.190827,o
183,7,209,2.31126,4.22634,0.673003,0,0,1,1,0,0,0.683087,0.289063,0.264961,o
184,7,133,-0.362943,4.02579,0.475176,0,0,1,2.22045e-16,1,-0,0.49645,0.357338,0.350518,o
185,7,11,1.27055,2.14521,3.9037,0,0,1,1,0,0,0.162055,0.128052,0.100858,o
186,7,10,-2.8316,2.88796,0.88343,0,1,0,1,-0,0,0.215483,0.172009,0.103396,o
187,7,1226,-2.52888,3.23957,0.52784,2.22045e-16,1,0,-0,0,1,1.11455,0.554226,0.469413,o
188,7,63,2.88076,3.62968,2.94758,-0.707107,0.707107,0,0.707107,0.707107,0,0.213631,0.124811,0.117581,o
189,7,247,-2.59365,3.42893,0.97357,0,1,0,1,-0,0,0.274384,0.259271,0.132448,o
190,7,44,-2.26939,2.26689,0.437745,0,0,1,0,1,-0,0.452177,0.228888,0.209347,o
191,7,44,-2.43904,2.52736,1.09432,0,1,0,0,0,1,0.289731,0.254128,0.236928,o
192,7,10,0.589566,3.87027,0.82656,0,0,1,1,0,0,0.0979845,0.0804779,0.0724939,o
193,7,10,0.475032,3.25901,0.803004,1,0,0,-0,0,1,0.0822831,0.0778617,0.0724862,o
194,7,236,0.351152,4.12336,0.449002,0,1,0,1,-0,0,1.02585,0.464014,0.391535,o
195,7,10,0.639296,4.25765,0.778087,0,0,1,-0.92388,-0.382683,0,0.0367138,0.0310361,0.0232835,o
196,7,6,0.802649,4.08724,0.382098,2.22045e-16,1,0,-0,0,1,0.418543,0.387369,0.322666,o
197,7,10,-2.43706,3.04865,0.158022,2.22045e-16,1,0,-1,2.22045e-16,0,0.379363,0.341438,0.172257,o
198,7,50,-0.881284,4.76658,0.143749,1,0,0,0,1,0,0.220617,0.173624,0.157896,o
199,7,39,0.407582,4.85388,0.313624,0.92388,0.382683,0,-0,0,1,0.439639,0.317794,0.154308,o
200,7,67,2.98845,4.91922,0.193162,1,0,0,0,1,0,0.391393,0.201524,0.191718,o
201,7,10,-2.47903,2.68388,0.28539,-0.92388,0.382683,0,0,0,1,0.373658,0.249506,0.204873,o
202,7,10,-2.53636,4.02941,0.28432,-0.92388,0.382683,0,0.382683,0.92388,0,0.416484,0.263187,0.175067,o
