object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
365,15,12,2.61207,-0.850762,0.34915,2.22045e-16,1,0,-0,0,1,0.978835,0.381547,0.267465,e
366,15,1,-0.808316,-2.18377,1.19918,0,0,1,0,1,-0,1.24012,0.64959,0.0179037,e
367,15,15,2.48823,0.775523,0.315219,-1,2.22045e-16,0,2.22045e-16,1,0,0.401658,0.373286,0.354829,e
368,15,0,1.04804,1.14497,1.47715,-1,2.22045e-16,0,0,0,1,1.82799,1.52627,0.0475478,e
369,15,0,2.82085,-0.820363,1.48594,0,1,0,0,0,1,2.00281,1.51836,0.0830042,e
370,15,33,2.51939,-2.15281,0.315067,0,1,0,1,-0,0,0.44397,0.381719,0.332865,e
371,15,4,2.78737,-0.840885,1.75453,2.22045e-16,1,0,-0,0,1,1.12298,1.03386,0.0930452,e
372,15,1,-0.37435,0.908812,1.4389,0,0,1,-0.92388,0.382683,0,1.49717,0.57691,0.088349,e
373,15,74,-1.1186,-0.695015,1.39583,0,0,1,2.22045e-16,1,-0,1.45111,0.788139,0.319259,e
374,15,39,0.746487,-1.92726,1.48583,0,1,0,1,-0,0,3.10158,2.15566,1.58765,e
375,15,7,-1.17581,-4.0359,1.38647,0,0,1,2.22045e-16,1,-0,1.46723,0.971045,0.382887,e
376,15,15,2.6675,-0.178283,0.859716,0,0,1,0.707107,0.707107,-0,0.179344,0.173285,0.121272,e
377,15,0,-1.10105,-1.93135,1.47757,0,1,0,0,0,1,3.10933,1.52673,0.323707,e
378,15,7,-0.951611,0.562702,1.37164,0,0,1,0,1,-0,1.47177,0.584829,0.150581,e
379,15,3,0.704371,-1.96146,0.00364733,0,1,0,1,-0,0,3.13374,2.18302,0.104864,e
380,15,6,1.45251,0.785261,0.304957,2.22045e-16,1,0,-1,2.22045e-16,0,0.386027,0.385743,0.346315,e
