object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
129,3,972,-15.6535,-0.496163,0.610778,0,0,1,-0.92388,0.382683,0,0.723116,0.410303,0.358988,u
130,3,12,-14.4989,1.01496,1.14793,0,0,1,0,1,-0,1.25399,1.22975,0.365931,u
131,3,39,-15.424,0.336421,1.28345,2.22045e-16,1,0,-0,0,1,1.94669,1.41099,1.28826,u
132,3,12,-14.6069,0.600509,2.23789,0,1,0,1,-0,0,0.307897,0.195117,0.156302,u
133,3,74,-16.4074,1.24964,1.26682,0,0,1,0,1,-0,1.33784,1.0135,0.281002,u
134,3,7,-16.498,-1.04533,1.2056,0,0,1,0,1,-0,0.917946,0.534973,0.210696,u
135,3,97,-14.5719,0.239061,1.69106,0,1,0,0,0,1,0.393103,0.300436,0.168568,u
136,3,1,-14.6119,-1.36459,0.959176,0,0,1,-0.92388,0.382683,0,1.07214,0.520683,0.165035,u
137,3,0,-15.4463,-1.54482,1.34574,0,0,1,-1,2.22045e-16,0,1.34377,1.25402,0.0683401,u
138,3,2,-15.4138,0.32723,2.65842,2.22045e-16,1,0,-1,2.22045e-16,0,1.92599,1.25299,0.0857224,u
139,3,0,-16.5668,0.147563,1.50958,2.22045e-16,1,0,-0,0,1,1.70511,1.18961,0.145355,u
140,3,97,-14.4149,1.19736,0.967031,-1,2.22045e-16,0,2.22045e-16,1,0,0.279088,0.240414,0.182009,u
141,3,10,-16.3728,-0.355522,0.515876,0,0,1,0.92388,0.382683,-0,0.634632,0.470863,0.284456,u
142,3,97,-14.4657,1.12551,1.57853,0,1,0,0,0,1,0.300888,0.196411,0.154922,u
143,3,10,-15.7339,2.03179,0.253939,-1,2.22045e-16,0,0,0,1,0.513547,0.366679,0.231025,u
144,3,209,-15.4674,-1.24204,0.560975,0,0,1,0,1,-0,0.681259,0.356061,0.314855,u
145,3,92,-15.4764,1.90069,2.62281,1,0,0,0,1,0,0.981065,0.13391,0.0706714,u
146,3,10,-16.5424,0.150222,0.955211,0,0,1,1,0,0,0.562523,0.125019,0.0859818,u
147,3,0,-15.397,2.23433,1.42623,0,0,1,-1,2.22045e-16,0,1.26203,1.08194,0.0487425,u
148,3,97,-14.3746,0.83219,0.872449,1,0,0,-0,0,1,0.206129,0.0864522,0.0439731,u
149,3,10,-14.3621,0.20262,0.871237,1,0,0,0,1,0,0.202199,0.184649,0.092823,u
150,3,10,-16.3419,1.27096,0.309718,0,0,1,0,1,-0,0.42762,0.33696,0.205909,u
151,3,10,-16.1608,-1.12743,1.10436,2.22045e-16,1,0,-0,0,1,0.423317,0.164421,0.109743,u
152,3,0,-14.2407,-0.640061,1.29104,0,0,1,0,1,-0,1.39974,0.96565,0.105801,u
153,3,10,-14.9666,2.15846,0.90213,0,0,1,-1,2.22045e-16,0,1.024,0.199687,0.0983056,u
154,3,97,-14.6695,1.12476,2.18851,2.22045e-16,1,0,-0,0,1,0.342398,0.183875,0.0820041,u
155,3,10,-16.1032,2.19935,0.623757,0,0,1,1,0,0,0.197459,0.138661,0.0812242,u
156,3,3,-15.3767,0.0746541,-0.0272017,-0.382683,0.92388,0,-0.92388,-0.382683,0,1.86648,1.2431,0.101503,u
157,3,516,-16.1779,0.679807,0.102574,0,1,0,1,-0,0,0.346233,0.311086,0.214927,u
158,3,405,-16.3666,1.75069,0.962506,2.22045e-16,1,0,-1,2.22045e-16,0,0.463675,0.130843,0.0451062,u
159,3,10,-16.097,-0.796919,0.573564,0,0,1,-0.92388,-0.382683,0,0.693487,0.221522,0.164067,u
160,3,10,-14.3207,-0.037331,1.00441,1,0,0,-0,0,1,0.159581,0.140758,0.113305,u
161,3,7,-14.1259,-0.997268,0.915307,0,0,1,0,1,-0,1.02754,0.462579,0.0904784,u
162,3,85,-15.6105,2.24362,0.617913,-1,2.22045e-16,0,0,0,1,0.282091,0.201225,0.0260894,u
163,3,81,-14.5823,0.740308,0.948085,0,0,1,1,0,0,0.161073,0.130928,0.0838286,u
164,3,209,-15.5235,-1.46933,1.35917,0,0,1,-1,2.22045e-16,0,0.35311,0.260397,0.1275,u
165,3,10,-16.4941,1.97288,1.60353,0.92388,0.382683,0,-0,0,1,0.168093,0.124984,0.0596263,u
166,3,97,-14.5137,1.83042,1.06576,0,1,0,0,0,1,0.357769,0.283771,0.140237,u
167,3,10,-14.4602,0.473997,0.888196,-1,2.22045e-16,0,2.22045e-16,1,0,0.241416,0.182396,0.119055,u
168,3,10,-16.3924,1.83211,0.597501,2.22045e-16,1,0,-0,0,1,0.29365,0.215316,0.197469,u
169,3,66,-16.1914,0.11681,0.310168,0,0,1,0.707107,0.707107,-0,0.432006,0.278021,0.226498,u
170,3,12,-14.6822,1.24347,2.18786,0,1,0,0,0,1,0.484205,0.206348,0.0711141,u
171,3,10,-16.5186,0.756278,0.491894,0,1,0,1,-0,0,0.244857,0.147964,0.0739977,u
172,3,10,-16.5778,0.229477,1.1366,0,0,1,-0.92388,0.382683,0,0.314907,0.122723,0.0628334,u
173,3,10,-16.3893,1.75597,1.3189,0.382683,0.92388,0,-0,0,1,0.372713,0.199914,0.144188,u
