object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
715,23,7,-17.1409,0.061339,4.7779,1,0,0,-0,0,1,2.41172,1.0884,0.186152,y
716,23,8,-18.319,2.10566,5.68723,0.382683,0.92388,0,-0.92388,0.382683,0,1.19029,0.934345,0.920394,y
717,23,0,-15.2751,2.55835,5.17012,0,0,1,-1,2.22045e-16,0,1.3599,1.19791,0.190229,y
718,23,39,-16.835,1.60722,5.07549,1,0,0,0,1,0,2.84447,1.77638,1.47614,y
720,23,0,-17.775,0.201439,4.90502,1,0,0,-0,0,1,2.10313,1.44112,0.473515,y
722,23,24,-16.2532,1.97184,4.47866,-0.382683,0.92388,0,0,0,1,0.306624,0.1308,0.0938169,y
724,23,0,-14.2976,1.4863,4.40574,2.22045e-16,1,0,-0,0,1,1.08027,0.683786,0.163052,y
725,23,127,-17.1549,1.5626,4.58009,-0.382683,0.92388,0,0.92388,0.382683,0,0.181086,0.0973521,0.0838907,y
726,23,0,-19.2784,1.53041,3.65187,2.22045e-16,1,0,-1,2.22045e-16,0,1.74067,0.415144,0.210159,y
729,23,8,-14.6847,2.13551,6.44441,0.707107,0.707107,0,-0.707107,0.707107,0,0.633253,0.551072,0.172678,y
730,23,8,-16.9763,1.00534,6.31491,0.92388,0.382683,0,-0.382683,0.92388,0,0.705749,0.392071,0.0942831,y
