object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
241,11,0,4.17139,-5.97674,1.39987,0,0,1,2.22045e-16,1,-0,1.50261,1.38421,0.0988655,l
332,11,8,6.39972,-10.4695,1.06654,0,0,1,2.22045e-16,1,-0,1.31298,1.29569,0.109521,l
333,11,3,6.67121,-7.89075,-0.933902,-0.382683,0.92388,0,0.92388,0.382683,0,3.56622,2.86219,0.126053,l
334,11,83,8.0175,-10.2573,0.24993,-0.707107,-0.707107,0,0,0,1,2.03083,1.29481,0.223392,l
335,11,2,7.22248,-8.29024,2.24051,0,1,0,1,-0,0,3.67676,3.09154,0.636909,l
336,11,771,5.61761,-12.1294,0.690046,0,0,1,1,0,0,0.624308,0.379137,0.185956,l
338,11,4,8.92927,-5.40904,0.7737,-0.707107,0.707107,0,0,0,1,0.596386,0.510659,0.031731,l
339,11,12,4.49559,-6.37387,-0.50615,0,1,0,0,0,1,1.75273,0.52873,0.371253,l
340,11,33,5.99355,-5.89274,-0.619427,0.382683,0.92388,0,-0.92388,0.382683,0,0.58739,0.523552,0.419797,l
341,11,0,6.20087,-4.64762,0.921587,1,0,0,-0,0,1,2.07394,1.95391,0.186864,l
342,11,18,4.53622,-5.81361,2.67585,0,0,1,1,0,0,0.1409,0.0773778,0.0697052,l
343,11,35,9.61527,-8.09734,-0.437786,0,0,1,0.707107,0.707107,-0,0.151263,0.119276,0.118801,l
344,11,22,5.10462,-10.6272,0.878271,2.22045e-16,1,0,-0,0,1,1.35186,1.23922,0.183828,l
345,11,51,9.93452,-7.30569,0.608449,0,0,1,2.22045e-16,1,-0,1.2687,0.83893,0.379494,l
346,11,66,7.40542,-7.02996,1.84778,2.22045e-16,1,0,-1,2.22045e-16,0,0.536114,0.480863,0.233837,l
347,11,0,8.2163,-9.93973,0.745515,0.707107,0.707107,0,-0,0,1,2.92321,1.79945,0.150053,l
348,11,13,7.99099,-10.0149,0.232386,0.707107,0.707107,0,-0,0,1,2.27779,1.28706,0.208615,l
349,11,33,6.09883,-11.0296,-0.515807,0.382683,0.92388,0,-0,0,1,0.549185,0.512845,0.467838,l
350,11,15,4.34479,-4.85617,0.484537,0,0,1,-0.92388,0.382683,0,0.552099,0.199653,0.123101,l
351,11,9,7.43031,-8.5773,-0.420956,1,0,0,-0,0,1,0.269927,0.21536,0.185663,l
352,11,0,9.21415,-5.68438,0.821149,-0.707107,0.707107,0,0,0,1,1.53549,1.40809,0.0399618,l
353,11,23,6.9486,-8.20406,-0.624616,-0.707107,0.707107,0,0.707107,0.707107,0,1.28023,0.548001,0.419543,l
354,11,0,5.2045,-9.20787,0.857967,0,0,1,0.707107,0.707107,-0,1.89309,0.278305,0.150146,l
355,11,39,7.70502,-9.00789,-0.258929,0.707107,0.707107,0,-0,0,1,3.43415,0.768244,0.751515,l
356,11,0,5.6424,-11.9745,0.842251,0,0,1,-1,2.22045e-16,0,1.88856,0.668885,0.0538487,l
357,11,5,9.11095,-9.23817,-0.0154526,0,0,1,0.707107,0.707107,-0,0.921874,0.363625,0.0504295,l
358,11,0,5.0487,-8.91099,0.81893,0,0,1,-1,2.22045e-16,0,1.85467,0.273459,0.0300555,l
