object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
0,0,339,-5.84511,75.0575,3.8811,0,0,1,1,0,0,2.41568,2.33854,0.355469,z
1,0,0,-0.394724,71.3945,3.90073,2.22045e-16,1,0,-0,0,1,3.81633,2.96724,0.634772,z
2,0,0,-10.2046,71.4644,3.86837,0,1,0,0,0,1,3.89951,2.93674,1.36015,z
3,0,0,-2.21813,75.337,4.10148,0,0,1,-1,2.22045e-16,0,2.77988,1.41626,0.308891,z
4,0,0,-9.3659,75.2362,3.75412,0,0,1,1,0,0,2.44098,1.25889,0.381828,z
5,0,457,-2.80974,68.8683,1.6964,0,0,1,1,0,0,0.763307,0.224316,0.177536,z
6,0,1632,-10.5697,71.3211,2.97241,0,0,1,2.22045e-16,1,-0,1.82724,1.42417,0.967059,z
7,0,339,-5.89283,73.7233,2.46527,1,0,0,-0,0,1,1.92354,1.07455,0.72443,z
8,0,3,-5.86053,68.8922,1.01266,1,0,0,0,1,0,5.65978,1.12909,0.108121,z
9,0,6,-11.1768,74.149,1.82268,0,0,1,0,1,-0,0.515239,0.402111,0.372867,z
10,0,39,-1.66486,74.6523,1.8448,0,0,1,-1,2.22045e-16,0,0.585971,0.445499,0.433281,z
11,0,6,-11.2198,73.4814,1.82194,0,0,1,0,1,-0,0.508786,0.432556,0.344987,z
12,0,6,-11.2046,69.2577,1.38259,0,0,1,2.22045e-16,1,-0,0.442249,0.33857,0.310206,z
13,0,105,-5.82627,67.7363,1.30325,-1,2.22045e-16,0,0,0,1,5.15324,0.394843,0.128452,z
15,0,3,-5.85801,72.6625,1.23168,1,0,0,0,1,0,5.65525,2.72528,0.286728,z
16,0,39,-6.26481,71.4619,1.24059,1,0,0,0,1,0,5.24871,3.69878,0.281348,z
17,0,3,-5.81618,73.8221,1.36929,1,0,0,0,1,0,3.35131,1.56019,0.186174,z
64,0,105,-5.86019,67.711,1.37568,1,0,0,-0,0,1,5.11317,0.354835,0.0415382,z
