object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
444,21,2,9.51817,-6.17386,3.92271,-1,2.22045e-16,0,0,0,1,1.89285,1.17638,0.794221,a
445,21,0,9.55629,-6.32259,3.75812,1,0,0,-0,0,1,1.97252,1.38282,1.11208,a
446,21,1,9.39988,-5.42952,3.79277,0,0,1,-1,2.22045e-16,0,1.05474,0.731718,0.0939679,a
447,21,5,10.8004,-7.07691,4.57333,-1,2.22045e-16,0,0,0,1,0.288548,0.284015,0.0963404,a
449,21,181,9.54156,-7.01181,4.17667,0,0,1,-0.382683,0.92388,0,0.251492,0.0921346,0.0668594,a
450,21,20,11.4373,-6.51051,3.69889,0,0,1,0,1,-0,0.240772,0.190627,0.0761437,a
451,21,39,9.34642,-6.25237,3.88505,-1,2.22045e-16,0,0,0,1,1.73333,1.15574,0.942101,a
452,21,15,11.3096,-6.93978,3.63385,1,0,0,-0,0,1,0.152358,0.114129,0.100494,a
453,21,1,11.3958,-5.72813,3.78505,0,0,1,2.22045e-16,1,-0,1.04553,0.513433,0.107495,a
454,21,327,10.8054,-6.34094,5.04062,1,0,0,0,1,0,0.226717,0.224697,0.0467942,a
455,21,19,10.8388,-7.00809,4.07365,-1,2.22045e-16,0,0,0,1,0.638174,0.425453,0.0336144,a
458,21,90,10.4499,-6.96434,3.66013,-0.92388,0.382683,0,-0.382683,-0.92388,0,0.094012,0.0888192,0.0695297,a
