object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
367,24,21,36.7955,14.7476,-3.34759,-0.707107,-0.707107,0,0,0,1,0.979739,0.62582,0.372122,a
368,24,2,35.6048,15.9864,-1.37999,0,1,0,1,-0,0,2.23833,1.96451,0.0422937,a
369,24,5,35.304,17.5487,-2.8717,0,0,1,0,1,-0,1.45503,0.801281,0.752419,a
370,24,0,35.5588,16.0736,-2.83993,-0.707107,0.707107,0,0,0,1,2.24323,1.48707,0.92159,a
371,24,0,34.7398,14.5872,-2.85579,0,0,1,1,0,0,1.50375,0.992134,0.861636,a
372,24,3,35.5725,16.0242,-4.26083,0,1,0,1,-0,0,2.2963,1.99432,0.100441,a
373,24,0,33.8195,17.2614,-2.85258,0,0,1,0,1,-0,1.50549,0.975853,0.0655556,a
374,24,27,34.2926,14.0208,-4.11915,0,1,0,0,0,1,0.291121,0.234242,0.217592,a
375,24,0,34.264,18.2644,-2.85066,0,0,1,1,0,0,1.48613,0.49473,0.131122,a
376,24,12,34.176,18.3062,-2.87771,0,0,1,1,0,0,0.425194,0.152935,0.0939722,a
377,24,38,33.6932,15.849,-2.84294,0,0,1,0,1,-0,1.50525,0.45041,0.123257,a
378,24,20,37.2903,15.1706,-3.33963,1,0,0,0,1,0,0.243265,0.146221,0.0725504,a
379,24,0,34.2358,18.5213,-2.42112,0,0,1,1,0,0,1.22221,0.440189,0.0159836,a
380,24,20,36.3422,14.396,-3.34047,-0.707107,0.707107,0,-0.707107,-0.707107,0,0.1883,0.124496,0.0756532,a
381,24,39,35.17,16.1407,-2.97224,-0.382683,0.92388,0,-0.92388,-0.382683,0,2.25191,1.55396,1.37894,a
