object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
849,32,87,0.956802,-11.8498,4.6681,0,0,1,1,0,0,1.25516,0.53731,0.265112,b
850,32,39,-0.285649,-13.6583,4.70456,-0.707107,0.707107,0,0.707107,0.707107,0,3.12287,3.04586,1.32652,b
851,32,0,-0.508315,-13.6605,5.04064,-0.707107,0.707107,0,0.707107,0.707107,0,3.117,2.8996,1.65592,b
852,32,13,0.980025,-15.8696,4.98763,0.707107,0.707107,0,-0,0,1,2.30812,1.0504,0.607979,b
853,32,9,-1.77455,-15.8573,4.17596,-0.707107,0.707107,0,-0.707107,-0.707107,0,0.800195,0.349536,0.256845,b
854,32,2,-1.08866,-14.4571,6.74851,1,0,0,0,1,0,2.93554,2.27033,0.140989,b
855,32,87,-2.3989,-11.8286,4.66552,0,0,1,-1,2.22045e-16,0,1.26513,0.667088,0.270636,b
857,32,8,-0.150818,-17.0821,4.72275,0,0,1,1,0,0,0.800691,0.470838,0.079771,b
858,32,6,-2.44922,-14.9351,3.94143,0,1,0,0,0,1,0.489488,0.306918,0.274396,b
859,32,25,-1.27825,-15.3689,4.15177,-0.707107,-0.707107,0,-0.707107,0.707107,0,1.13391,0.934151,0.76796,b
860,32,5,2.18659,-14.8202,4.7439,0,0,1,2.22045e-16,1,-0,0.810027,0.552476,0.0580178,b
861,32,1,0.263869,-12.1175,4.62472,0,0,1,-0.382683,0.92388,0,1.24193,0.483295,0.158581,b
862,32,5,0.92838,-16.695,4.80481,0,0,1,0.707107,0.707107,-0,0.885869,0.689793,0.127759,b
863,32,4,1.12102,-16.0882,4.07134,0.707107,0.707107,0,-0,0,1,0.156257,0.144126,0.092118,b
864,32,22,1.75004,-13.6135,3.91483,0,0,1,0,1,-0,0.491003,0.330645,0.232592,b
865,32,4,-1.8141,-16.4053,5.23161,-0.707107,0.707107,0,0,0,1,0.370463,0.363596,0.0208848,b
866,32,5,1.77037,-15.7919,4.79949,0,0,1,-0.707107,-0.707107,0,0.878198,0.586175,0.127489,b
868,32,93,-3.70146,-14.0681,4.28721,0,1,0,0,0,1,0.228108,0.160438,0.0668936,b
869,32,1,-1.5731,-12.1924,4.65018,0,0,1,-0.382683,-0.92388,0,1.24471,0.37813,0.105942,b
870,32,236,-3.02647,-14.3359,4.03679,-0.707107,0.707107,0,-0.707107,-0.707107,0,1.1336,0.616577,0.138149,b
871,32,87,1.79534,-11.9765,4.67599,0,0,1,1,0,0,1.24806,0.206547,0.138529,b
872,32,19,1.96568,-13.6808,4.94396,0,0,1,0,1,-0,0.60945,0.3688,0.0368392,b
873,32,37,-2.41212,-11.931,4.42926,1,0,0,-0,0,1,0.533193,0.317666,0.115409,b
874,32,1,1.62731,-13.2784,4.65485,0,0,1,-0.92388,-0.382683,0,1.23646,0.402007,0.154421,b
875,32,93,-3.62084,-14.4645,4.25542,-0.707107,0.707107,0,0,0,1,0.40718,0.185701,0.113461,b
876,32,4,-3.47303,-14.7327,5.22971,0,0,1,-0.707107,0.707107,0,0.390434,0.348598,0.0242412,b
877,32,5,-0.0998839,-17.2192,4.84055,0,0,1,1,0,0,0.829176,0.521126,0.100141,b
878,32,370,0.0643578,-14.2955,4.2191,-0.707107,0.707107,0,0,0,1,0.969578,0.825408,0.4171,b
879,32,4,-3.69573,-13.4297,5.27176,0,0,1,-0.707107,-0.707107,0,0.409009,0.375382,0.0346546,b
880,32,4,-2.3181,-15.8981,5.22803,-0.707107,0.707107,0,0,0,1,0.366315,0.360045,0.0164206,b
881,32,1,-3.26968,-12.4509,4.57802,0,0,1,0,1,-0,1.18824,0.407594,0.0632873,b
882,32,4,-0.525619,-16.8125,4.05299,-0.92388,0.382683,0,0,0,1,0.188505,0.127865,0.0944293,b
883,32,6,-3.02921,-14.2198,3.92066,0,0,1,-0.382683,0.92388,0,0.34993,0.275441,0.250472,b
884,32,18,-2.69134,-15.3226,4.7327,-0.707107,0.707107,0,0,0,1,0.164582,0.163995,0.161706,b
885,32,4,1.9677,-15.1955,4.12429,0,0,1,2.22045e-16,1,-0,0.187797,0.172469,0.0795299,b
886,32,200,-3.41097,-13.3468,4.14022,-0.707107,-0.707107,0,-0.707107,0.707107,0,0.101808,0.097914,0.0716095,b
1158,32,6,-0.342744,-14.4789,7.59227,0,0,1,1,0,0,0.339535,0.267703,0.249809,b
1161,32,23,-0.397047,-13.0601,7.63311,0,1,0,1,-0,0,1.27833,0.556239,0.380776,b
1172,32,9,-3.29459,-14.5263,7.56768,-0.707107,0.707107,0,0,0,1,0.529563,0.305094,0.206386,b
1178,32,46,-1.7284,-13.0015,7.50316,0,1,0,1,-0,0,0.653804,0.44344,0.249635,b
