object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
0,0,5,2.12973,24.9963,2.69563,0,0,1,0,1,-0,1.28308,0.594402,0.16855,z
1,0,39,-7.41825,14.621,2.34027,0,1,0,1,-0,0,16.4999,9.77476,2.4757,z
2,0,4,-15.142,26.3663,1.55513,1,0,0,-0,0,1,0.820905,0.712818,0.0634766,z
3,0,4,1.85885,26.0305,2.51744,0,0,1,0,1,-0,1.46128,0.514276,0.17202,z
4,0,0,-15.1866,12.1983,2.69781,2.22045e-16,1,0,-0,0,1,14.2105,2.71088,2.00703,z
5,0,29,-2.0371,3.64549,2.90934,0,0,1,-0.707107,0.707107,0,2.49501,0.615887,0.545716,z
6,0,3,-7.46836,18.2592,0.348864,0,1,0,1,-0,0,12.7706,9.52548,0.51587,z
7,0,29,-2.24566,21.9181,2.01846,0,0,1,-0.382683,0.92388,0,1.60384,0.497123,0.457508,z
8,0,10,-9.93961,-0.731581,2.22627,1,0,0,-0,0,1,1.24743,0.545044,0.216479,z
9,0,267,-4.31404,21.4812,0.458547,0,1,0,1,-0,0,3.18223,2.45353,0.433471,z
10,0,5,0.00264895,26.4811,1.02052,1,0,0,-0,0,1,1.92617,1.03359,0.106922,z
11,0,0,-7.45256,-0.763918,1.46035,-1,2.22045e-16,0,0,0,1,5.31831,1.1172,0.40739,z
12,0,29,-12.8754,8.33094,1.82563,0,0,1,0.707107,0.707107,-0,1.76742,0.544888,0.504494,z
13,0,29,-2.18445,17.4051,1.84754,0,0,1,0.707107,0.707107,-0,1.78933,0.480326,0.459729,z
14,0,10,0.07549,-1.20592,0.892673,1,0,0,-0,0,1,1.14051,0.592329,0.350488,z
15,0,29,-12.582,26.5343,1.82543,0,0,1,0.92388,0.382683,-0,1.5936,0.848311,0.422185,z
16,0,29,-12.7288,12.9514,1.86246,0,0,1,1,0,0,1.80425,0.455664,0.378218,z
17,0,1,-3.44886,30.9716,1.02835,0,0,1,-1,2.22045e-16,0,1.16832,0.969472,0.179306,z
18,0,0,0.277609,12.2509,2.85587,0,1,0,0,0,1,14.2664,2.90489,2.0789,z
19,0,0,-0.00914931,26.4454,1.41374,1,0,0,-0,0,1,1.91129,1.49575,0.142563,z
20,0,29,-2.16989,8.26819,1.80781,0,0,1,1,0,0,1.8145,0.534614,0.499345,z
21,0,0,-7.53736,30.8698,1.64535,1,0,0,-0,0,1,5.34602,1.7297,0.218756,z
22,0,7,-12.9019,30.0761,1.27001,0,0,1,0,1,-0,1.28308,0.432369,0.085639,z
23,0,0,-12.8007,28.5998,1.61145,0,1,0,0,0,1,2.14355,1.75212,0.330572,z
24,0,5,-13.0427,28.2631,1.41257,0,1,0,0,0,1,1.31871,0.641537,0.0689621,z
25,0,10,-2.42385,30.1154,1.73334,0,0,1,-0.707107,0.707107,0,0.463331,0.268119,0.114283,z
26,0,0,-7.51679,17.3171,4.15692,1,0,0,0,1,0,9.65945,9.27091,1.17615,z
27,0,29,-12.775,17.2743,1.9914,0,0,1,0.382683,0.92388,-0,1.64806,0.491583,0.340814,z
28,0,1,-2.19781,27.2993,1.53681,0,0,1,2.22045e-16,1,-0,1.51524,0.571813,0.0790014,z
29,0,10,-2.02827,2.54791,0.993204,0,1,0,0,0,1,0.597946,0.578582,0.326703,z
30,0,0,-7.58802,-1.25214,2.78965,-1,2.22045e-16,0,0,0,1,5.24097,1.11778,0.126619,z
31,0,10,-15.1412,4.09111,0.96317,-0.92388,0.382683,0,0,0,1,1.00046,0.603178,0.534345,z
32,0,267,-14.3626,1.36967,0.78834,1,0,0,0,1,0,1.96378,1.46159,0.481665,z
33,0,10,-17.0856,6.52216,2.01846,2.22045e-16,1,0,-0,0,1,1.10487,1.10487,0.0794163,z
34,0,0,-2.26642,28.7977,1.66205,0,1,0,0,0,1,1.9959,1.74641,0.224838,z
35,0,10,-7.55167,-0.578894,2.99509,0,0,1,1,0,0,2.62311,1.28307,0.721331,z
36,0,-1,-10.4659,14.2444,0.744544,0.92388,0.382683,0,-0.382683,0.92388,0,9.77385,9.75493,0.785597,z
37,0,29,-2.13238,12.9214,1.97073,0,0,1,-0.707107,0.707107,0,1.62739,0.466127,0.418356,z
38,0,29,-2.26676,26.3853,1.6977,0,0,1,0.707107,0.707107,-0,1.71076,0.367854,0.352052,z
39,0,29,-12.9139,3.84845,2.90949,0,0,1,0.707107,0.707107,-0,2.49486,0.515869,0.508598,z
40,0,48,-16.9798,1.35932,0.842313,2.22045e-16,1,0,-0,0,1,0.71792,0.356409,0.161514,z
41,0,1,-7.55166,30.8575,1.41731,0,0,1,1,0,0,1.56346,1.42564,0.279017,z
42,0,10,-9.44063,-1.09548,3.12333,1,0,0,-0,0,1,0.677177,0.285128,0.134527,z
43,0,29,-12.7095,21.802,1.99081,0,0,1,0.707107,0.707107,-0,1.61936,0.478837,0.416947,z
44,0,492,2.0205,7.55575,1.66206,0,0,1,0,1,-0,0.748459,0.285127,0.114282,z
45,0,10,-4.97927,-0.909611,2.2204,-1,2.22045e-16,0,0,0,1,1.21804,0.5227,0.159742,z
46,0,10,-5.58999,-0.897738,2.58872,0,0,1,1,0,0,0.891023,0.686758,0.330803,z
47,0,10,-7.48769,3.8898,1.19328,-1,2.22045e-16,0,0,0,1,1.48568,0.746257,0.514046,z
48,0,5,2.23225,0.588675,2.76692,0,0,1,2.22045e-16,1,-0,1.21179,0.62302,0.124253,z
49,0,10,-3.16783,5.66678,0.917056,0,1,0,0,0,1,0.962305,0.923203,0.748459,z
50,0,5,2.12752,23.4894,2.19667,0,0,1,0,1,-0,0.7841,0.608018,0.15771,z
51,0,1,-12.5607,30.4267,0.843611,0,0,1,-1,2.22045e-16,0,0.999243,0.446951,0.132492,z
52,0,10,-16.9494,8.41113,2.12539,0,0,1,0,1,-0,0.712818,0.28513,0.185043,z
