object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
0,0,2,0.10576,0.125335,4.12256,1,0,0,0,1,0,3.40432,2.44168,1.10054,z
1,0,0,3.43575,0.104726,3.88458,0,0,1,2.22045e-16,1,-0,1.32379,1.12195,0.0959029,z
2,0,0,-0.385842,0.493175,2.61696,-1,2.22045e-16,0,0,0,1,3.89471,2.61011,2.11133,z
3,0,10,0.45508,1.78659,0.90263,0,0,1,-0.707107,0.707107,0,0.890064,0.387769,0.366378,z
4,0,0,2.28471,0.115532,1.34531,0,1,0,0,0,1,2.29533,1.34357,1.22724,z
5,0,39,-0.397982,0.112394,2.60104,1,0,0,-0,0,1,3.91923,2.59812,2.48505,z
6,0,5,2.41563,1.81783,3.81364,-0.92388,0.382683,0,0,0,1,0.880658,0.843464,0.101453,z
7,0,13,-2.01401,2.41902,1.4277,0,0,1,-1,2.22045e-16,0,1.39645,0.915865,0.174029,z
8,0,3,-0.701971,0.0934702,0.0740024,1,0,0,0,1,0,3.32814,2.30599,0.0755057,z
9,0,0,-3.95378,0.0823539,1.96029,0,1,0,0,0,1,2.30252,1.93729,0.289753,z
10,0,13,0.253026,-2.22042,1.40993,0,0,1,1,0,0,1.35285,0.885169,0.12161,z
11,0,5,-1.97358,-2.24717,3.85394,0,0,1,1,0,0,1.12339,0.924816,0.20639,z
12,0,48,-1.83791,0.852383,0.52204,0,1,0,1,-0,0,0.85517,0.576411,0.504299,z
13,0,0,-0.155313,-1.6088,2.5981,1,0,0,-0,0,1,3.67288,2.58684,0.775996,z
14,0,10,-0.821457,-1.13129,0.516036,0,1,0,0,0,1,0.777103,0.510808,0.39488,z
15,0,13,-1.74116,-2.22133,1.40926,0,0,1,1,0,0,1.38033,1.13197,0.145728,z
16,0,10,-0.818933,0.970704,0.518499,2.22045e-16,1,0,-0,0,1,0.736319,0.508888,0.405674,z
17,0,94,2.56681,0.116391,0.717869,0,1,0,0,0,1,1.40628,0.709538,0.487192,z
18,0,110,-0.953428,0.160469,3.04952,0,0,1,1,0,0,0.459574,0.37426,0.370376,z
19,0,10,2.98569,0.142356,2.05985,0,0,1,0,1,-0,1.00235,0.674356,0.491707,z
20,0,5,0.229946,2.41889,3.80702,0,0,1,1,0,0,1.05968,0.942763,0.186586,z
21,0,10,-1.82583,-1.07355,0.521767,0,1,0,1,-0,0,0.751094,0.578136,0.513203,z
22,0,13,0.227573,2.3572,1.42315,0,0,1,-1,2.22045e-16,0,1.34928,0.891523,0.104964,z
23,0,5,0.246195,-2.24152,3.82541,0,0,1,-1,2.22045e-16,0,1.10014,0.941812,0.208516,z
24,0,5,2.41541,-1.59236,3.95704,0,0,1,0.92388,0.382683,-0,0.917359,0.863664,0.111589,z
25,0,10,-3.33134,-2.2065,1.84031,0,0,1,1,0,0,0.461496,0.357322,0.0130014,z
26,0,-1,2.22115,0.115284,2.9696,0,0,1,0,1,-0,1.49284,1.28074,0.920854,z
27,0,3,1.88835,0.11427,0.110893,0,1,0,1,-0,0,1.1723,0.734521,0.106544,z
28,0,36,1.63319,-0.485705,0.197332,0,1,0,1,-0,0,0.330241,0.327904,0.0601821,z
29,0,36,1.62063,0.199561,0.205101,-1,2.22045e-16,0,2.22045e-16,1,0,0.29019,0.25112,0.065635,z
30,0,36,1.61634,0.824222,0.190409,1,0,0,0,1,0,0.327925,0.311452,0.0548354,z
