object_index,region_index,category_index,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,rT
61,3,3,0.894339,53.5794,-0.747015,1,0,0,0,1,0,5.24265,4.67754,0.0795614,z
62,3,29,-0.67364,56.0612,0.891183,0,0,1,1,0,0,1.65597,0.391802,0.331144,z
63,3,29,5.84901,53.9355,0.836701,0,0,1,0,1,-0,1.62936,0.548557,0.339194,z
64,3,0,0.782514,54.7036,1.14745,-1,2.22045e-16,0,2.22045e-16,1,0,5.72728,3.74595,1.97263,z
65,3,0,0.827087,47.7131,1.18088,0,0,1,1,0,0,1.82531,1.4517,1.2328,z
66,3,0,-4.56389,50.916,0.843122,0,0,1,1,0,0,1.34306,0.673969,0.0603695,z
67,3,2,1.77982,53.1195,2.18855,-1,2.22045e-16,0,2.22045e-16,1,0,7.5817,5.16919,0.972272,z
68,3,29,2.78239,57.8675,0.808771,0,0,1,-0.92388,0.382683,0,1.60664,0.439459,0.171835,z
69,3,29,-0.56023,58.0118,0.885973,0,0,1,1,0,0,1.69714,0.443255,0.211164,z
70,3,29,7.09846,50.465,1.12449,0,0,1,1,0,0,1.4881,0.590897,0.312489,z
71,3,2,8.19703,47.4615,2.18368,0,1,0,1,-0,0,0.653164,0.639608,0.325498,z
72,3,5,-5.01337,52.7957,1.89101,0,0,1,0,1,-0,0.590582,0.445442,0.12308,z
73,3,0,9.33067,49.8262,1.18577,0,0,1,0,1,-0,1.42682,0.88582,0.0386124,z
74,3,0,8.38423,45.7392,1.88586,0,0,1,0.382683,0.92388,-0,1.04449,0.196688,0.17943,z
75,3,29,-3.27033,56.1981,0.724476,0,0,1,0.382683,0.92388,-0,1.52523,0.443222,0.259932,z
76,3,0,-2.63279,48.96,1.08649,0,0,1,1,0,0,1.88582,1.59651,0.144421,z
77,3,5,6.53883,52.5702,1.90538,0,0,1,2.22045e-16,1,-0,0.641963,0.451784,0.096976,z
78,3,29,-0.732937,53.8817,0.971627,0,0,1,1,0,0,1.72385,0.630557,0.54958,z
79,3,29,-0.709758,51.4824,1.00407,0,0,1,-1,2.22045e-16,0,1.74586,0.687332,0.508406,z
80,3,29,-5.29834,50.619,1.17191,0,0,1,0.707107,0.707107,-0,1.57286,0.349197,0.181953,z
81,3,0,4.24463,48.9544,1.02911,0,0,1,1,0,0,1.81308,1.57464,0.281208,z
82,3,29,6.11476,49.0552,0.923622,0,0,1,1,0,0,1.68998,0.852282,0.246004,z
